TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.003989	85.70753	88.38426	66.33663	68.46629
0.0170874	85.937	88.85648	66.0594	68.07771
0.0420404	85.937	88.85648	66.0594	68.07771
0.0430102	86.31946	89.1713	65.66337	67.68861
0.063843	86.58717	89.72222	65.42574	67.61076
0.063843	86.81665	90.07639	65.18812	67.49399
0.0921468	87.27559	90.62731	64.67326	67.06583
0.0931281	87.27559	90.62731	64.67326	67.06583
0.0941145	87.42857	91.13889	64.35644	66.75443
0.1152211	87.42857	91.13889	64.35644	66.75443
0.1152211	87.73454	91.57176	63.9604	66.75443
0.1308448	88.34646	92.04398	63.32673	66.24843
0.1308448	88.34646	92.04398	63.32673	66.24843
0.1308448	88.61417	92.55556	62.73267	65.46995
0.1623103	88.61417	92.55556	62.73267	65.46995
0.1623103	89.37907	93.14584	62.09901	65.11964
0.1779175	89.83802	93.73611	61.14851	64.45793
0.1934442	89.83802	93.73611	61.14851	64.45793
0.1934442	90.60293	94.28704	60.71287	64.34116
0.2091131	91.21485	94.83796	59.84158	63.7573
0.2091131	91.21485	94.83796	59.84158	63.7573
0.2403489	91.55905	95.625	59.08911	63.52375
0.2403489	91.55905	95.625	59.08911	63.52375
0.2403489	91.97975	95.90046	58.93069	62.97882
0.2559689	91.94151	96.25463	58.89109	63.13452
0.2559689	91.94151	96.25463	58.89109	63.13452
0.2872357	91.40607	95.78241	59.20792	63.48483
0.2872357	90.79415	96.05787	59.16832	63.71838
0.2872357	90.79415	96.05787	59.16832	63.71838
0.3028649	90.14398	95.38889	59.32673	63.91299
0.3183038	90.14398	95.38889	59.32673	63.91299
0.3341003	89.91451	94.99537	59.56436	64.26331
0.3341003	89.41732	95.03472	59.64357	64.34116
0.3341003	89.41732	95.03472	59.64357	64.34116
0.3810083	89.26434	94.95602	59.64357	64.76932
0.3810083	89.26434	94.95602	59.64357	64.76932
0.4122097	89.53206	95.58565	59.52475	64.53577
0.4122097	90.02924	96.05787	59.20792	64.14654
0.4278129	90.75591	96.53009	58.61386	63.91299
0.4433911	91.06187	96.96296	58.25743	63.64053
0.4433911	91.06187	96.96296	58.25743	63.64053
0.4590582	91.52081	96.96296	57.82178	63.09559
0.4590582	91.71204	97.35648	57.58416	63.01775
0.4902852	91.71204	97.35648	57.58416	63.01775
0.4902852	91.78853	97.6713	57.14851	62.55066
0.4902852	92.24747	97.86806	56.55445	62.1225
0.5058943	92.24747	97.86806	56.55445	62.1225
0.5058943	92.59167	98.18287	56.63366	62.20034
0.5369998	92.59167	98.18287	56.63366	62.20034
0.5369998	92.78291	98.41898	56.15842	62.04465
0.5369998	93.35658	98.96991	55.52475	61.11047
0.5527631	93.35658	98.96991	55.52475	61.11047
0.5683506	94.42744	99.52084	55.44555	60.64339
0.5840146	95.49831	100.4653	54.37624	59.90384
0.5840146	95.49831	100.4653	54.37624	59.90384
