TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.016617	100.3438	131.7016	35.88235	32.85175
0.1893843	100.3438	131.7016	36.5098	32.85175
0.1893843	100.3438	131.7016	36.5098	32.85175
0.1893843	100.3438	131.7016	36.5098	32.85175
0.1893843	99.72034	131.7016	36.5098	32.85175
0.1893843	99.72034	131.7016	36.5098	32.85175
0.1893843	99.72034	130.8884	36.5098	32.85175
0.1893843	99.72034	130.8884	36.5098	32.85175
0.1893843	99.72034	130.8884	36.70588	32.85175
0.1893843	99.72034	130.8884	36.70588	32.85175
0.1893843	100.3438	130.8884	36.70588	32.85175
0.1893843	100.3438	130.8884	36.70588	32.85175
0.1893843	100.3438	130.8884	36.70588	33.04636
0.1893843	100.3438	131.5467	36.70588	33.04636
0.1893843	100.3438	131.5467	36.70588	33.04636
0.1893843	100.3438	131.5467	36.86274	33.04636
0.1893843	100.3438	131.5467	36.86274	33.04636
0.1893843	100.4997	131.5467	36.86274	33.04636
0.1893843	100.4997	131.5467	36.86274	33.04636
0.1893843	100.4997	131.5467	36.86274	33.51345
0.1893843	100.4997	131.5467	36.86274	33.51345
0.1893843	100.4997	131.7016	36.86274	33.51345
0.1893843	100.4997	131.7016	36.35294	33.51345
0.1893843	100.4997	131.7016	36.35294	33.51345
0.1893843	99.72034	131.7016	36.35294	33.51345
0.1893843	99.72034	131.7016	36.35294	33.51345
0.1893843	99.72034	131.7016	36.35294	32.85175
0.1893843	99.72034	131.7016	36.35294	32.85175
0.1893843	99.72034	131.8952	36.35294	32.85175
0.1893843	99.72034	131.8952	36.35294	32.85175
0.1893843	99.72034	131.8952	35.37255	32.85175
0.1893843	100.188	131.8952	35.37255	32.85175
0.1893843	100.188	131.8952	35.37255	32.85175
0.1893843	100.188	131.8952	35.37255	33.04636
0.1893843	100.188	131.8952	35.37255	33.04636
0.1893843	100.188	132.0501	35.37255	33.04636
0.1893843	100.188	132.0501	35.37255	33.04636
0.1893843	100.188	132.0501	35.37255	33.04636
0.1893843	100.188	132.0501	35.37255	33.04636
0.1966523	100.188	132.0501	35.37255	33.04636
0.2032826	100.188	132.0501	35.37255	33.04636
0.2054713	100.188	132.0501	35.37255	33.20206
0.2054713	100.188	132.0501	35.37255	33.20206
0.214746	100.188	132.0501	35.37255	33.20206
0.2228821	100.188	132.0501	36.19608	33.20206
0.2228821	100.188	132.0501	36.19608	33.20206
0.2334496	100.188	132.0501	36.19608	33.20206
0.2424352	100.188	132.0501	36.19608	33.20206
0.2506992	100.188	132.0501	36.19608	33.35776
0.2536328	100.188	132.0501	36.19608	33.35776
0.2616318	100.188	132.3599	36.03922	33.35776
0.2616318	100.3438	132.3599	36.03922	33.35776
0.2702855	100.3438	132.3599	36.03922	33.35776
0.2782895	100.3438	132.3599	36.03922	33.04636
0.2934503	100.3438	132.3599	36.03922	33.04636
