TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0	99.05788	100.18	84.24813	79.21769
0.0091709	99.05788	100.18	84.59966	79.21769
0.0107459	99.05788	100.18	84.59966	79.21769
0.0147486	98.74613	100.18	84.59966	79.21769
0.0200723	98.74613	100.18	84.59966	79.21769
0.0251349	98.74613	100.18	84.59966	79.87302
0.0289599	98.74613	100.18	84.59966	79.87302
0.0314463	98.74613	98.86333	84.59966	79.87302
0.0402469	98.74613	98.86333	85.22459	79.87302
0.0452717	98.74613	98.86333	85.22459	79.87302
0.0452717	98.74613	98.86333	85.22459	79.87302
0.0554852	98.74613	98.86333	85.22459	79.87302
0.0565994	98.74613	98.86333	85.22459	79.37188
0.0648317	98.74613	98.86333	85.22459	79.37188
0.0692939	98.74613	98.39864	85.22459	79.37188
0.0714854	98.74613	98.39864	85.22459	79.37188
0.0714854	98.74613	98.39864	85.06835	79.37188
0.0714854	98.90201	98.39864	85.06835	79.37188
0.0886386	98.90201	98.39864	85.06835	79.37188
0.0917578	98.90201	98.39864	85.06835	80.02721
0.1076277	98.90201	98.39864	85.06835	80.02721
0.1076277	98.90201	98.70843	85.06835	80.02721
0.1076277	98.90201	98.70843	85.06835	80.02721
0.1232644	98.39542	98.70843	86.0448	80.02721
0.1232644	98.39542	98.70843	86.0448	79.87302
0.1232644	98.39542	98.70843	86.0448	79.87302
0.1387494	98.39542	98.39864	86.0448	79.87302
0.1418113	98.39542	98.39864	86.0448	79.87302
0.1418113	98.39542	98.39864	86.70879	79.87302
0.1418113	98.39542	98.39864	86.70879	79.87302
0.1603648	98.39542	98.39864	86.70879	79.87302
0.164547	98.39542	98.39864	86.70879	79.87302
0.1668853	98.39542	98.39864	86.70879	79.87302
0.1668853	98.39542	98.39864	86.70879	79.87302
0.1668853	98.39542	98.39864	86.70879	79.87302
0.1827891	98.39542	98.05012	86.70879	79.87302
0.1827891	98.39542	98.05012	86.70879	79.87302
0.1827891	98.39542	98.05012	86.39632	79.87302
0.1984124	98.39542	98.05012	86.39632	79.87302
0.1984124	98.59026	98.05012	86.39632	79.87302
0.1984124	98.59026	98.05012	86.39632	79.87302
0.2140144	98.59026	98.05012	86.39632	80.02721
0.2167849	98.59026	98.05012	86.39632	80.02721
0.2167849	98.59026	98.05012	86.39632	80.02721
0.2167849	98.59026	98.05012	87.02126	80.02721
0.2337605	98.59026	98.05012	87.02126	80.02721
0.2368804	98.59026	98.05012	87.02126	80.02721
0.2368804	98.59026	98.05012	87.02126	80.02721
0.2368804	98.59026	98.05012	87.02126	79.37188
0.2538779	98.59026	98.05012	87.02126	79.37188
0.2567166	98.59026	96.57859	87.02126	79.37188
0.2567166	98.59026	96.57859	87.17748	79.37188
0.2567166	98.59026	96.57859	87.17748	79.37188
0.2724776	98.23954	96.57859	87.17748	79.37188
0.2881184	98.23954	96.57859	87.17748	79.37188
0.2881184	98.23954	96.57859	87.17748	79.71882
0.2881184	98.23954	97.58542	87.17748	79.71882
0.3054456	98.23954	97.58542	86.70879	79.71882
0.3071594	99.05788	97.58542	86.70879	79.71882
0.3071594	99.05788	97.58542	86.70879	79.71882
0.3071594	99.05788	97.58542	86.70879	79.71882
0.3238882	99.05788	97.58542	86.70879	79.71882
0.3267473	99.05788	97.58542	86.70879	79.71882
0.3267473	99.05788	97.58542	86.70879	79.71882
0.3267473	99.05788	97.58542	86.70879	79.71882
0.3426408	99.05788	97.58542	86.70879	79.71882
0.3426408	98.74613	97.58542	86.70879	79.71882
0.3426408	98.74613	97.58542	86.70879	79.71882
0.3582623	98.74613	97.58542	86.70879	78.7551
0.3582623	98.74613	97.58542	86.70879	78.7551
0.3582623	98.74613	97.58542	86.70879	78.7551
0.3738609	98.74613	97.58542	87.02126	78.7551
0.3738609	98.74613	97.58542	87.02126	78.7551
0.3738609	99.05788	97.58542	87.02126	78.7551
0.3894869	99.05788	97.58542	87.02126	78.7551
0.3894869	99.05788	97.58542	87.02126	79.56463
0.3894869	99.05788	97.58542	87.02126	79.56463
0.4051215	99.05788	97.2369	87.02126	79.56463
0.4051215	99.05788	97.2369	86.55256	79.56463
0.4051215	99.05788	97.2369	86.55256	79.56463
0.4206115	100.188	97.2369	86.55256	79.56463
0.4218821	100.188	97.2369	86.55256	79.56463
0.4218821	100.188	97.2369	86.55256	78.7551
0.4218821	100.188	97.2369	86.55256	78.7551
0.4377128	100.188	97.3918	86.55256	78.7551
0.4377128	100.188	97.3918	86.55256	78.7551
0.4377128	100.188	97.3918	85.88857	78.7551
0.4533379	99.87622	97.3918	85.88857	78.7551
0.456612	99.87622	97.3918	85.88857	78.7551
0.456612	99.87622	97.3918	85.88857	78.7551
0.456612	99.87622	97.3918	85.88857	78.7551
0.4724651	99.87622	98.39864	85.88857	78.7551
0.4724651	99.87622	98.39864	85.88857	78.7551
0.4724651	99.87622	98.39864	85.88857	78.7551
0.4880995	99.87622	98.39864	85.88857	78.7551
0.4880995	100.3438	98.39864	85.88857	78.7551
0.4880995	100.3438	98.39864	85.88857	78.7551
0.5037231	100.3438	98.39864	85.88857	78.7551
0.5037231	100.3438	98.20501	85.88857	78.7551
0.5037231	100.3438	98.20501	85.88857	78.7551
0.5193482	100.3438	98.20501	85.73234	78.7551
0.5193482	100.3438	98.20501	85.73234	78.7551
0.5349856	100.188	98.20501	85.73234	78.7551
0.5349856	100.188	98.20501	85.73234	78.7551
0.5504576	100.188	98.20501	85.73234	78.40816
0.5504576	100.188	99.01823	84.59966	78.40816
0.5504576	100.188	99.01823	84.59966	78.40816
0.5504576	100.4997	99.01823	84.59966	78.40816
0.5704479	100.4997	99.01823	84.59966	78.40816
0.57539	100.4997	99.01823	84.59966	78.7551
0.5800922	100.4997	99.01823	84.59966	78.7551
0.5854049	100.4997	99.36674	84.59966	78.7551
0.5894431	100.4997	99.36674	84.75589	78.7551
0.5951232	100.4997	99.36674	84.75589	78.7551
0.5998358	100.188	99.36674	84.75589	78.7551
0.6058642	100.188	99.36674	84.75589	78.7551
0.6092343	100.188	99.36674	84.75589	78.7551
0.6118532	100.188	99.36674	84.75589	78.7551
