TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0	1.777004	-9.980582	6.823529	-7.200916
0.0050892	1.777004	-9.980582	6.823529	-7.200916
0.0157975	1.777004	-9.980582	6.823529	-7.200916
0.0251978	1.777004	-9.980582	6.823529	-7.200916
0.0272629	1.777004	-9.980582	6.823529	-7.200916
0.0354732	1.777004	-9.980582	6.823529	-7.200916
0.0403538	1.777004	-9.980582	6.823529	-7.200916
0.0429479	1.777004	-9.980582	6.823529	-7.200916
0.0429479	1.777004	-9.980582	6.823529	-7.200916
0.0429479	1.777004	-9.980582	6.823529	-7.200916
0.0590733	1.777004	-9.980582	6.823529	-7.200916
0.0620742	1.777004	-9.980582	6.823529	-7.200916
0.0620742	1.777004	-9.980582	6.823529	-7.200916
0.0750948	1.777004	-9.980582	6.823529	-7.200916
0.0806711	1.777004	-9.980582	6.823529	-7.200916
0.0806711	1.777004	-9.980582	6.823529	-7.200916
0.0888054	1.777004	-9.980582	6.823529	-7.200916
0.0938887	1.777004	-9.980582	6.823529	-7.200916
0.0938887	1.777004	-9.980582	6.823529	-7.200916
0.1032423	1.777004	-9.980582	6.823529	-7.200916
0.1100754	1.777004	-9.980582	6.823529	-7.200916
0.1251647	1.777004	-9.980582	6.823529	-7.200916
0.1272893	1.777004	-9.980582	6.823529	-7.200916
0.1358622	1.777004	-9.980582	6.823529	-7.200916
0.1379579	1.777004	-9.980582	6.823529	-7.200916
0.1427852	1.777004	-9.980582	6.823529	-7.200916
0.1509208	1.777004	-9.980582	6.823529	-7.200916
0.1529804	1.777004	-9.980582	6.823529	-7.200916
0.1609669	1.777004	-9.980582	6.823529	-7.200916
0.1620696	1.777004	-9.980582	6.823529	-7.200916
0.1620696	1.777004	-9.980582	6.823529	-7.200916
0.1759171	1.777004	-9.980582	6.823529	-7.200916
0.176913	1.777004	-9.980582	6.823529	-7.200916
0.1820857	1.777004	-9.980582	6.823529	-7.200916
0.1820857	1.777004	-9.980582	6.823529	-7.200916
0.192039	1.777004	-9.980582	6.823529	-7.200916
0.192039	1.777004	-9.980582	6.823529	-7.200916
0.192039	1.777004	-9.980582	6.823529	-7.200916
0.2106711	1.777004	-9.980582	6.823529	-7.200916
0.2120914	1.777004	-9.980582	6.823529	-7.200916
0.2120914	1.777004	-9.980582	6.823529	-7.200916
0.2120914	1.777004	-9.980582	6.823529	-7.200916
0.2309778	1.777004	-9.980582	6.823529	-7.200916
0.2320971	1.777004	-9.980582	6.823529	-7.200916
0.2320971	1.777004	-9.980582	18.90196	-7.200916
0.2320971	1.777004	-9.980582	18.90196	-7.200916
0.2491863	-9.042974	-9.980582	18.90196	-7.200916
0.2522179	-9.042974	-9.980582	18.90196	-7.200916
0.2522179	-9.042974	-9.980582	18.90196	-3.308529
0.2522179	-9.042974	-9.980582	18.90196	-3.308529
0.2680001	-9.042974	-15.33981	18.90196	-3.308529
0.2680001	-9.042974	-15.33981	18.90196	-3.308529
0.2680001	-9.042974	-15.33981	19.72549	-3.308529
0.2836256	-9.042974	-15.33981	19.72549	-3.308529
0.2836256	-9.042974	-15.33981	19.72549	-3.308529
0.2836256	-9.042974	-15.33981	19.72549	-2.958214
0.2992521	-9.042974	-15.33981	19.72549	-2.958214
0.2992521	-9.042974	-16	19.72549	-2.958214
0.2992521	-9.042974	-16	19.72549	-2.958214
0.3148719	-9.042974	-16	19.88235	-2.958214
0.3148719	-9.042974	-16	19.88235	-2.958214
0.3305222	-9.358885	-16	19.88235	-2.958214
0.3305222	-9.358885	-16	19.88235	-2.958214
0.3459751	-9.358885	-16	19.88235	-2.958214
0.3459751	-9.358885	-15.84466	21.52941	-2.958214
0.3459751	-9.358885	-15.84466	21.52941	-2.958214
0.3459751	-10.18815	-15.84466	21.52941	-2.958214
0.3629485	-10.18815	-15.84466	21.52941	-2.958214
0.3629485	-10.18815	-15.84466	21.52941	-2.802519
0.3629485	-10.18815	-16.81553	21.52941	-2.802519
0.3804134	-10.18815	-16.81553	21.52941	-2.802519
0.3825139	-10.18815	-16.81553	21.37255	-2.802519
0.3825139	-10.18815	-16.81553	21.37255	-2.802519
0.3825139	-10.66202	-16.81553	21.37255	-2.802519
0.3983938	-10.66202	-16.81553	21.37255	-2.802519
0.3983938	-10.66202	-16.81553	21.37255	-2.958214
0.3983938	-10.66202	-16.81553	21.37255	-2.958214
0.4140183	-10.66202	-16.15534	21.37255	-2.958214
0.4171158	-10.66202	-16.15534	21.37255	-2.958214
0.4171158	-10.66202	-16.15534	21.37255	-2.958214
0.4171158	-11.17538	-16.15534	21.37255	-2.958214
0.4341577	-11.17538	-16.15534	21.37255	-2.958214
0.4370783	-11.17538	-16.15534	21.37255	-3.308529
0.4370783	-11.17538	-16.15534	21.37255	-3.308529
0.4370783	-11.17538	-16.31068	21.37255	-3.308529
0.4560064	-11.17538	-16.31068	20.70588	-3.308529
0.4570191	-11.17538	-16.31068	20.70588	-3.308529
0.4570191	-10.81998	-16.31068	20.70588	-3.308529
0.4570191	-10.81998	-16.31068	20.70588	-3.308529
0.4760082	-10.81998	-16.31068	20.70588	-3.113909
0.4771288	-10.81998	-16.31068	20.70588	-3.113909
0.4771288	-10.81998	-16.50485	20.70588	-3.113909
0.4771288	-10.81998	-16.50485	20.70588	-3.113909
0.4952328	-10.81998	-16.50485	20.86275	-3.113909
0.4971549	-10.81998	-16.50485	20.86275	-3.113909
