TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0045526	111.6837	98.39864	77.29581	35.14825
0.0090562	111.6837	98.39864	77.29581	34.83686
0.0120471	111.6837	98.39864	77.29581	34.83686
0.0192801	111.6837	98.39864	77.29581	34.83686
0.0243514	111.6837	98.20501	77.29581	34.83686
0.0345709	111.6837	98.20501	77.45204	34.83686
0.040067	112.6579	98.20501	77.45204	34.83686
0.0421612	112.6579	98.20501	77.45204	34.83686
0.0421612	112.6579	98.20501	77.45204	34.01946
0.051494	112.6579	98.20501	77.45204	34.01946
0.0590548	112.6579	98.20501	77.45204	34.01946
0.0645358	112.6579	98.20501	77.10052	34.01946
0.0645358	112.6579	98.20501	77.10052	34.01946
0.073446	113.2814	98.20501	77.10052	34.01946
0.0795546	113.2814	98.20501	77.10052	34.01946
0.0845562	113.2814	98.20501	77.10052	33.66915
0.0888668	113.2814	98.20501	77.10052	33.66915
0.0922682	113.2814	98.20501	77.10052	33.66915
0.0922682	113.2814	98.20501	76.78806	33.66915
0.1019421	113.2814	98.20501	76.78806	33.66915
0.1090677	114.0997	98.20501	76.78806	33.66915
0.1108879	114.0997	98.20501	76.78806	33.66915
0.1194344	114.0997	98.20501	76.78806	33.51345
0.1215353	114.0997	98.20501	76.78806	33.51345
0.1258974	114.0997	98.55353	76.78806	33.51345
0.1340471	114.0997	98.55353	75.96783	33.51345
0.1358022	114.0997	98.55353	75.96783	33.51345
0.1422479	113.9438	98.55353	75.96783	33.51345
0.1422479	113.9438	98.55353	75.96783	33.51345
0.1522115	113.9438	98.55353	75.96783	33.51345
0.1593264	113.9438	98.55353	75.96783	33.51345
0.1609076	113.9438	99.01823	75.96783	33.51345
0.1691449	113.9438	99.01823	75.96783	33.51345
0.1708581	113.9438	99.01823	76.12407	33.51345
0.1758899	114.0997	99.01823	76.12407	33.51345
0.1840545	114.0997	99.01823	76.12407	33.51345
0.1861097	114.0997	99.01823	76.12407	33.20206
0.1923706	114.0997	99.01823	76.12407	33.20206
0.1923706	114.0997	99.01823	76.12407	33.20206
0.2017648	114.0997	99.01823	76.12407	33.20206
0.2094291	114.0997	99.01823	75.3429	33.20206
0.2114314	114.0997	99.01823	75.3429	33.20206
0.2195709	114.2556	99.01823	75.3429	33.20206
0.2246857	114.2556	99.01823	75.3429	33.20206
0.226805	114.2556	99.01823	75.3429	33.20206
0.226805	114.2556	99.01823	75.3429	33.04636
0.2371419	114.2556	99.01823	75.3429	33.04636
0.2445628	114.2556	99.01823	75.3429	33.04636
0.2539282	114.2556	99.01823	75.3429	33.04636
0.2595339	114.2556	99.01823	76.31936	33.04636
0.2595339	114.2556	99.01823	76.31936	33.04636
