TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0	56.03484	80.00455	54.98039	28.60905
0.0053896	56.03484	80.00455	54.98039	28.60905
0.0096878	56.03484	80.00455	54.98039	28.29765
0.0156705	56.03484	79.53986	54.98039	28.29765
0.0197034	56.03484	79.53986	54.98039	28.29765
0.0257426	56.03484	79.53986	54.31372	28.29765
0.027841	56.03484	79.53986	54.31372	28.29765
0.0359516	56.1928	79.53986	54.31372	28.29765
0.04065	56.1928	79.53986	54.31372	28.29765
0.0422373	56.1928	79.53986	54.31372	28.45335
0.0503762	56.1928	79.69476	54.31372	28.45335
0.0503762	56.1928	79.69476	54.31372	28.45335
0.0609419	56.1928	79.69476	54.47059	28.45335
0.0620495	56.1928	79.69476	54.47059	28.45335
0.0702856	56.5482	79.69476	54.47059	28.45335
0.0754264	56.5482	79.69476	54.47059	28.45335
0.0806705	56.5482	79.69476	54.47059	28.76474
0.0854302	56.5482	79.69476	54.47059	28.76474
0.0854302	56.5482	79.84966	54.47059	28.76474
0.0929555	56.5482	79.84966	54.62745	28.76474
0.0929555	56.5482	79.84966	54.62745	28.76474
0.102245	56.1928	79.84966	54.62745	28.76474
0.1083242	56.1928	79.84966	54.62745	28.76474
0.1083242	56.1928	79.84966	54.62745	28.76474
0.1175141	56.1928	79.84966	54.62745	28.76474
0.1256185	56.1928	79.34624	54.62745	28.76474
0.1276216	56.1928	79.34624	54.62745	28.76474
0.1357333	56.1928	79.34624	54.78431	28.76474
0.1382522	56.35075	79.34624	54.78431	28.76474
0.1502377	56.35075	79.34624	54.78431	28.76474
0.1585881	56.35075	79.34624	54.78431	28.45335
0.1585881	56.35075	79.34624	54.78431	28.45335
0.1679871	56.35075	79.69476	54.47059	28.45335
0.1753893	56.70615	79.69476	54.47059	28.45335
0.1773871	56.70615	79.69476	54.47059	28.45335
0.1855543	56.70615	79.69476	54.47059	29.11506
0.1855543	56.70615	79.69476	54.47059	29.11506
