TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0136451	73.33868	68.61959	77.7645	48.88838
0.0158492	73.33868	68.61959	77.7645	48.88838
0.0250462	73.33868	67.80582	77.7645	48.88838
0.0271847	73.33868	67.80582	77.7645	48.88838
0.0271847	72.36447	67.80582	77.10052	48.88838
0.0365349	72.36447	67.80582	77.10052	48.57699
0.043947	72.36447	67.80582	77.10052	48.57699
0.0455484	72.36447	68.30979	77.10052	48.57699
0.0455484	72.36447	68.30979	77.10052	48.57699
0.0595052	72.36447	68.30979	77.60827	48.57699
0.060507	73.33868	68.30979	77.60827	48.57699
0.060507	73.33868	68.30979	77.60827	48.57699
0.060507	73.33868	68.30979	77.60827	48.73269
0.0771873	73.33868	68.30979	77.60827	48.73269
0.0771873	73.33868	67.96117	77.60827	48.73269
0.0854131	73.33868	67.96117	77.60827	48.73269
0.0939747	73.33868	67.96117	77.7645	48.73269
0.0959809	72.87106	67.96117	77.7645	48.73269
0.0959809	72.87106	67.96117	77.7645	48.73269
0.0959809	72.87106	67.96117	77.7645	48.57699
0.1118396	72.87106	67.96117	77.7645	48.57699
0.1118396	72.87106	68.1549	77.7645	48.57699
0.1118396	72.87106	68.1549	77.7645	48.57699
0.1267346	72.87106	68.1549	78.07697	48.57699
0.1267346	72.87106	68.1549	78.07697	48.57699
0.1267346	72.52035	68.1549	78.07697	48.57699
0.1438354	72.52035	68.1549	78.07697	48.57699
0.1456407	72.52035	68.1549	78.07697	48.4213
0.1456407	72.52035	67.96117	78.07697	48.4213
0.1456407	72.52035	67.96117	78.07697	48.4213
0.1614925	72.52035	67.96117	77.92074	48.4213
0.1614925	72.52035	67.96117	77.92074	48.4213
0.1614925	73.02693	67.96117	77.92074	48.4213
0.1781612	73.02693	67.96117	77.92074	48.4213
0.1820922	73.02693	67.96117	77.92074	48.4213
0.1820922	73.02693	67.49515	77.92074	48.4213
0.1943498	73.02693	67.49515	77.92074	48.4213
0.1956073	73.02693	67.49515	77.7645	48.4213
0.2041736	73.02693	67.49515	77.7645	48.4213
0.2064819	72.87106	67.49515	77.7645	48.4213
0.2064819	72.87106	67.49515	77.7645	48.4213
0.2165624	72.87106	67.49515	77.7645	48.88838
0.2324398	72.87106	67.49515	77.7645	48.88838
0.235841	72.87106	67.65048	77.7645	48.88838
0.235841	73.02693	67.65048	78.07697	48.88838
0.235841	73.02693	67.65048	78.07697	48.88838
0.2535556	73.02693	67.65048	78.07697	48.88838
0.2594002	73.02693	67.65048	78.07697	48.88838
0.2630432	73.02693	67.65048	78.07697	48.07098
0.2658515	73.02693	67.65048	78.07697	48.07098
0.2658515	73.02693	68.30979	78.07697	48.07098
0.2658515	73.02693	68.30979	78.27225	48.07098
0.2842903	73.02693	68.30979	78.27225	48.07098
0.2887716	73.18281	68.30979	78.27225	48.07098
0.2944572	73.18281	68.30979	78.27225	48.07098
0.2994086	73.18281	68.30979	78.27225	47.91528
0.3043736	73.18281	68.30979	78.27225	47.91528
0.3094203	73.18281	68.61959	78.27225	47.91528
0.3139325	73.18281	68.61959	77.7645	47.91528
0.3177714	73.18281	68.61959	77.7645	47.91528
0.3208139	73.65043	68.61959	77.7645	47.91528
0.3264356	73.65043	68.61959	77.7645	47.91528
0.3345381	73.65043	68.61959	77.7645	48.2656
0.3360234	73.65043	68.61959	77.7645	48.2656
0.3425528	73.65043	68.61959	77.7645	48.2656
0.3457338	73.65043	68.61959	77.7645	48.2656
0.3457338	73.65043	68.61959	76.47559	48.2656
