TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0044871	80.78166	124.8861	33.92157	35.80996
0.0076758	80.78166	124.8861	33.92157	34.33085
0.0135598	80.78166	124.8861	33.92157	34.33085
0.0184885	80.78166	124.8861	33.92157	34.33085
0.0343309	80.78166	126.5125	33.92157	34.33085
0.037639	80.78166	126.5125	34.07843	34.33085
0.0416445	81.09341	126.5125	34.07843	34.33085
0.0485569	81.09341	126.5125	34.07843	34.99256
0.050665	81.09341	125.041	34.07843	34.99256
0.050665	81.09341	125.041	34.07843	34.99256
0.0644356	81.09341	125.041	35.21569	34.99256
0.0665419	81.09341	125.041	35.21569	34.99256
0.0665419	79.18395	125.041	35.21569	34.99256
0.0665419	79.18395	125.041	35.21569	37.44476
0.0841446	79.18395	125.041	35.21569	37.44476
0.089153	79.18395	122.4465	35.21569	37.44476
0.089153	79.18395	122.4465	35.21569	37.44476
0.0988318	79.18395	122.4465	38.47059	37.44476
0.1005987	79.18395	122.4465	38.47059	37.44476
0.1088493	75.75473	122.4465	38.47059	37.44476
0.1106332	75.75473	122.4465	38.47059	37.44476
0.115717	75.75473	122.4465	38.47059	39.74127
0.115717	75.75473	119.1936	38.47059	39.74127
0.115717	75.75473	119.1936	38.47059	39.74127
0.1318968	75.75473	119.1936	41.09804	39.74127
0.1477655	75.75473	119.1936	41.09804	39.74127
0.1477655	72.87106	119.1936	41.09804	39.74127
0.1477655	72.87106	119.1936	41.09804	39.74127
0.1633756	72.87106	115.7859	41.09804	42.34917
0.1655918	72.87106	115.7859	42.39216	42.34917
0.1655918	72.87106	115.7859	42.39216	42.34917
0.1655918	71.39026	115.7859	42.39216	42.34917
0.1813634	71.39026	115.7859	42.39216	42.34917
0.1813634	71.39026	115.7859	42.39216	43.16657
0.1813634	71.39026	115.7859	42.39216	43.16657
0.1991556	71.39026	114.3144	42.39216	43.16657
0.2041747	71.39026	114.3144	42.39216	43.16657
0.2041747	71.39026	114.3144	42.23529	43.16657
0.2118966	70.92264	114.3144	42.23529	43.16657
0.2118966	70.92264	114.3144	42.23529	43.16657
0.2118966	70.92264	114.3144	42.23529	45.77447
0.2294159	70.92264	114.3144	42.23529	45.77447
0.230517	70.92264	113.656	42.23529	45.77447
0.230517	70.92264	113.656	42.23529	45.77447
0.230517	70.92264	113.656	43.88235	45.77447
0.2474525	70.92264	113.656	43.88235	45.77447
0.2506819	69.94843	113.656	43.88235	45.77447
0.2506819	69.94843	113.656	43.88235	45.96909
0.2506819	69.94843	113.656	43.88235	45.96909
0.2665835	69.94843	111.8747	43.88235	45.96909
0.2665835	69.94843	111.8747	43.88235	45.96909
0.2665835	69.94843	111.8747	44.5098	45.96909
0.2821913	69.94843	111.8747	44.5098	45.96909
0.2821913	69.44183	111.8747	44.5098	45.96909
0.2821913	69.44183	111.8747	44.5098	45.96909
0.2978277	69.44183	111.8747	44.5098	45.96909
0.2978277	69.44183	111.8747	44.5098	48.2656
0.2978277	69.44183	111.8747	44.5098	48.2656
0.3133079	69.44183	110.2483	44.5098	48.2656
0.3133079	69.44183	110.2483	44.5098	48.2656
0.3133079	69.44183	110.2483	45.17647	48.2656
0.3290795	69.44183	110.2483	45.17647	48.2656
0.3314825	69.44183	110.2483	45.17647	48.2656
0.3314825	69.44183	110.2483	45.17647	48.2656
0.3314825	69.44183	110.2483	45.17647	48.07098
0.3472736	69.44183	110.7517	45.17647	48.07098
0.3506603	69.44183	110.7517	45.17647	48.07098
0.3506603	69.44183	110.7517	45.33333	48.07098
0.3506603	69.44183	110.7517	45.33333	48.07098
0.3665815	69.94843	110.7517	45.33333	48.07098
0.3665815	69.94843	110.7517	45.33333	48.07098
0.3665815	69.94843	110.7517	45.33333	47.91528
0.3844129	69.94843	110.7517	45.33333	47.91528
0.3855171	69.94843	110.0934	45.33333	47.91528
0.3855171	69.94843	110.0934	46	47.91528
0.3855171	69.94843	110.0934	46	47.91528
0.4026137	69.44183	110.0934	46	47.91528
0.4058241	69.44183	110.0934	46	47.91528
0.4058241	69.44183	110.0934	46	47.60389
0.4217508	69.44183	110.0934	46	47.60389
0.4217508	69.44183	109.1253	46	47.60389
0.4373486	69.44183	109.1253	46	47.60389
0.4373486	68.15588	109.1253	46.62745	47.60389
0.4373486	68.15588	109.1253	46.62745	49.39439
0.4529731	68.15588	109.1253	46.62745	49.39439
0.4529731	68.15588	106.8405	46.62745	49.39439
0.4529731	68.15588	106.8405	46.62745	49.39439
0.4685965	68.15588	106.8405	48.58823	49.39439
0.4685965	67.17073	106.8405	48.58823	49.39439
0.4685965	67.17073	106.8405	48.58823	49.39439
0.4845311	67.17073	106.8405	48.58823	51.6909
0.4856562	67.17073	106.8405	48.58823	51.6909
0.4856562	67.17073	103.7426	48.58823	51.6909
0.4856562	67.17073	103.7426	48.58823	51.6909
0.5029666	67.17073	103.7426	50.54902	51.6909
0.5059876	67.17073	103.7426	50.54902	51.6909
0.5059876	66.02555	103.7426	50.54902	51.6909
0.5059876	66.02555	103.7426	50.54902	51.6909
0.521882	66.02555	103.7426	50.54902	52.66399
0.5255642	66.02555	102.6196	50.54902	52.66399
0.5255642	66.02555	102.6196	50.54902	52.66399
0.5255642	66.02555	102.6196	51.52941	52.66399
0.5426104	66.02555	102.6196	51.52941	52.66399
0.5458253	65.8676	102.6196	51.52941	52.66399
0.5458253	65.8676	102.6196	51.52941	52.66399
0.5458253	65.8676	102.6196	51.52941	52.5083
0.5627914	65.8676	102.6196	51.52941	52.5083
0.5659805	65.8676	101.303	51.52941	52.5083
0.5659805	65.8676	101.303	51.68628	52.5083
0.5659805	65.8676	101.303	51.68628	52.5083
0.5831446	66.85482	101.303	51.68628	52.5083
0.5831446	66.85482	101.303	51.68628	52.5083
0.5831446	66.85482	101.303	51.68628	52.00229
0.598962	66.85482	101.303	51.68628	52.00229
0.598962	66.85482	102.9294	51.68628	52.00229
0.598962	66.85482	102.9294	51.68628	52.00229
0.614441	66.85482	102.9294	51.05882	52.00229
0.614441	67.68409	102.9294	51.05882	52.00229
0.614441	67.68409	102.9294	51.05882	52.00229
0.614441	67.68409	102.9294	51.05882	50.7178
0.6335537	67.68409	102.9294	51.05882	50.7178
0.6386597	67.68409	103.7426	51.05882	50.7178
0.6435863	67.68409	103.7426	51.05882	50.7178
0.6503839	67.68409	103.7426	51.05882	50.7178
0.653094	67.68409	103.7426	51.05882	50.7178
0.658855	67.36818	103.7426	51.05882	50.7178
0.6683697	67.36818	103.7426	51.05882	50.7178
0.6683697	67.36818	103.7426	51.05882	50.7178
0.6838421	67.36818	102.9294	51.05882	50.7178
0.6856726	67.36818	102.9294	51.68628	50.7178
0.6856726	67.01278	102.9294	51.68628	50.7178
0.6988032	67.01278	102.9294	51.68628	50.7178
0.7091056	67.01278	102.9294	51.68628	52.66399
0.7138939	67.01278	100.3349	51.68628	52.66399
0.7148928	67.01278	100.3349	51.68628	52.66399
0.723136	67.01278	100.3349	52.66667	52.66399
0.7257575	65.23577	100.3349	52.66667	52.66399
0.7342708	65.23577	100.3349	52.66667	52.66399
