TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0273867	126.4138	104.5558	42.07843	23.70464
0.2298715	126.4138	104.5558	42.07843	23.70464
0.2298715	124.7771	104.5558	42.07843	23.70464
0.2298715	124.7771	104.5558	42.07843	23.70464
0.2298715	124.7771	104.5558	42.07843	24.36634
0.2298715	124.7771	104.5558	42.07843	24.36634
0.2298715	124.7771	104.4009	42.07843	24.36634
0.2298715	124.7771	104.4009	42.07843	24.36634
0.2298715	123.647	104.4009	41.92157	24.36634
0.2298715	123.647	104.4009	41.92157	24.36634
0.2298715	123.647	104.4009	41.92157	24.36634
0.2298715	123.647	104.4009	41.92157	24.36634
0.2298715	123.647	104.0911	41.92157	24.36634
0.2298715	123.647	104.0911	41.92157	24.36634
0.2298715	123.647	104.0911	43.52941	24.36634
0.2298715	123.647	104.0911	43.52941	24.36634
0.2298715	121.6986	104.0911	43.52941	24.36634
0.2298715	121.6986	104.0911	43.52941	24.36634
0.2298715	121.6986	104.0911	43.52941	25.65083
0.2298715	121.6986	103.4328	43.52941	25.65083
0.2298715	121.6986	103.4328	43.52941	25.65083
0.2298715	121.6986	103.4328	45.01961	25.65083
0.2298715	121.6986	103.4328	45.01961	25.65083
0.2298715	120.2567	103.4328	45.01961	25.65083
0.2298715	120.2567	103.4328	45.01961	25.65083
0.2298715	120.2567	103.4328	45.01961	26.66285
0.2298715	120.2567	103.4328	45.01961	26.66285
0.2298715	120.2567	102.7745	45.01961	26.66285
0.2298715	120.2567	102.7745	44.86274	26.66285
0.2298715	120.2567	102.7745	44.86274	26.66285
0.2298715	118.7759	102.7745	44.86274	26.66285
0.2298715	118.7759	102.7745	44.86274	26.66285
0.2298715	118.7759	102.7745	44.86274	27.12994
0.2298715	118.7759	102.7745	44.86274	27.12994
0.2298715	118.7759	103.0843	44.86274	27.12994
0.2298715	118.7759	103.0843	44.86274	27.12994
0.2298715	118.7759	103.0843	46	27.12994
0.2298715	117.1782	103.0843	46	27.12994
0.2298715	117.1782	103.0843	46	27.12994
0.2298715	117.1782	103.0843	46	28.76474
0.2298715	117.1782	103.0843	46	28.76474
0.2298715	117.1782	102.4647	46	28.76474
0.2298715	117.1782	102.4647	46	28.76474
0.2298715	117.1782	102.4647	47.13726	28.76474
0.2298715	117.1782	102.4647	47.13726	28.76474
0.2298715	116.7106	102.4647	47.13726	28.76474
0.2298715	116.7106	102.4647	47.13726	29.58214
0.2298715	116.7106	102.4647	47.13726	29.58214
0.2472753	116.7106	100.9932	47.13726	29.58214
0.2501623	116.7106	100.9932	47.13726	29.58214
0.2501623	116.7106	100.9932	47.80392	29.58214
0.2501623	116.7106	100.9932	47.80392	29.58214
0.2671862	114.9181	100.9932	47.80392	29.58214
0.2701964	114.9181	100.9932	47.80392	29.58214
0.2701964	114.9181	100.9932	47.80392	30.74986
