TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0029928	-50.66434	7.495146	-17.96078	-1.985117
0.0093496	-50.66434	7.495146	-17.96078	-2.140813
0.0141442	-50.66434	7.495146	-17.96078	-2.140813
0.0173925	-50.66434	7.495146	-17.96078	-2.140813
0.0339239	-50.66434	7.495146	-17.96078	-2.140813
0.0339239	-50.66434	7.495146	-18.62745	-2.140813
0.0439796	-50.66434	7.495146	-18.62745	-2.140813
0.0452578	-50.66434	7.495146	-18.62745	-1.985117
0.0452578	-50.66434	7.650486	-18.62745	-1.985117
0.0452578	-50.66434	7.650486	-18.62745	-1.985117
0.06047	-50.66434	7.650486	-17.96078	-1.985117
0.06047	-50.66434	7.650486	-17.96078	-1.985117
0.06047	-50.8223	7.650486	-17.96078	-1.985117
0.0782948	-50.8223	7.650486	-17.96078	-2.140813
0.0804639	-50.8223	7.650486	-17.96078	-2.140813
0.0804639	-50.8223	7.145631	-17.96078	-2.140813
0.0804639	-50.8223	7.145631	-17.96078	-2.140813
0.0977985	-50.8223	7.145631	-17.96078	-2.140813
0.1005363	-50.8223	7.145631	-17.96078	-2.140813
0.1005363	-50.8223	7.145631	-17.96078	-2.140813
0.1133077	-50.8223	7.145631	-17.96078	-2.140813
0.1133077	-50.8223	7.145631	-17.96078	-2.491128
0.1133077	-50.8223	6.990291	-17.96078	-2.491128
0.1284068	-50.8223	6.990291	-17.96078	-2.491128
0.1324782	-50.8223	6.990291	-17.96078	-2.491128
0.1353491	-50.8223	6.990291	-17.96078	-2.491128
0.1353491	-50.50639	6.990291	-17.96078	-2.491128
0.1353491	-50.50639	6.990291	-17.96078	-2.491128
0.1539013	-50.50639	6.990291	-17.96078	-1.985117
0.1589271	-50.50639	6.990291	-17.96078	-1.985117
0.1618661	-50.50639	7.495146	-17.96078	-1.985117
0.1618661	-50.50639	7.495146	-17.80392	-1.985117
0.1618661	-50.50639	7.495146	-17.80392	-1.985117
0.1785675	-50.34843	7.495146	-17.80392	-1.985117
0.1803227	-50.34843	7.495146	-17.80392	-1.985117
0.1942081	-50.34843	7.495146	-17.80392	-2.958214
0.1953304	-50.34843	7.495146	-17.80392	-2.958214
0.1953304	-50.34843	7.145631	-17.80392	-2.958214
0.1953304	-50.34843	7.145631	-17.80392	-2.958214
0.2118815	-49.83508	7.145631	-17.96078	-2.958214
0.2118815	-49.83508	7.145631	-17.96078	-2.958214
0.2118815	-49.83508	7.145631	-17.96078	-2.802519
0.2285055	-49.83508	7.145631	-17.96078	-2.802519
0.2305041	-49.83508	7.650486	-17.96078	-2.802519
0.2305041	-49.83508	7.650486	-17.96078	-2.802519
0.2305041	-49.83508	7.650486	-18.11765	-2.802519
0.2462855	-50.34843	7.650486	-18.11765	-2.802519
0.2462855	-50.34843	7.650486	-18.11765	-2.802519
0.2462855	-50.34843	7.650486	-18.11765	-2.296508
0.2633416	-50.34843	7.650486	-18.11765	-2.296508
0.2633416	-50.34843	7.961165	-18.11765	-2.296508
0.2633416	-50.34843	7.961165	-18.11765	-2.296508
0.2790453	-50.34843	7.961165	-17.80392	-2.296508
0.2790453	-50.34843	7.961165	-17.80392	-2.296508
0.2790453	-49.20325	7.961165	-17.80392	-2.296508
0.2790453	-49.20325	7.961165	-17.80392	-2.296508
0.2959081	-49.20325	7.961165	-17.80392	-2.140813
0.2959081	-49.20325	8.116505	-17.80392	-2.140813
0.2959081	-49.20325	8.116505	-17.80392	-2.140813
0.3117742	-49.20325	8.116505	-17.96078	-2.140813
0.3117742	-49.20325	8.116505	-17.96078	-2.140813
0.3117742	-49.36121	8.116505	-17.96078	-2.140813
0.327391	-49.36121	8.116505	-17.96078	-2.140813
0.3305792	-49.36121	8.116505	-17.96078	-2.296508
0.3305792	-49.36121	6.834951	-17.96078	-2.296508
0.3305792	-49.36121	6.834951	-17.96078	-2.296508
0.3463635	-49.36121	6.834951	-18.11765	-2.296508
0.3463635	-49.36121	6.834951	-18.11765	-2.296508
0.3463635	-49.0453	6.834951	-18.11765	-2.296508
0.3619838	-49.0453	6.834951	-18.11765	-2.296508
0.3619838	-49.0453	6.834951	-18.11765	-2.140813
0.3619838	-49.0453	6.834951	-18.11765	-2.140813
0.3776051	-49.0453	6.019417	-18.11765	-2.140813
0.3776051	-49.0453	6.019417	-18.78431	-2.140813
0.3776051	-49.0453	6.019417	-18.78431	-2.140813
0.3932133	-50.34843	6.019417	-18.78431	-2.140813
0.3953004	-50.34843	6.019417	-18.78431	-2.140813
0.3953004	-50.34843	6.019417	-18.78431	-1.985117
0.3953004	-50.34843	6.019417	-18.78431	-1.985117
0.4136598	-50.34843	5.203884	-18.78431	-1.985117
0.4180682	-50.34843	5.203884	-18.78431	-1.985117
0.4236042	-50.34843	5.203884	-18.47059	-1.985117
0.4283596	-50.34843	5.203884	-18.47059	-1.985117
0.433877	-50.34843	5.203884	-18.47059	-1.985117
0.4349966	-50.34843	5.203884	-18.47059	-1.985117
0.4436427	-50.34843	5.203884	-18.47059	-1.985117
0.4482568	-50.34843	5.203884	-18.47059	-1.829422
0.4503609	-50.34843	5.203884	-18.47059	-1.829422
0.458621	-50.34843	4.854369	-18.47059	-1.829422
0.4604836	-50.34843	4.854369	-17.80392	-1.829422
0.4690766	-50.34843	4.854369	-17.80392	-1.829422
0.4690766	-50.8223	4.854369	-17.80392	-1.829422
0.4774051	-50.8223	4.854369	-17.80392	-1.829422
0.4803587	-50.8223	4.854369	-17.80392	-1.829422
0.4803587	-50.8223	4.854369	-17.80392	-1.829422
0.4990633	-50.8223	4.38835	-17.80392	-1.829422
0.5040656	-50.8223	4.38835	-17.80392	-1.829422
0.5040656	-50.8223	4.38835	-16.66667	-1.829422
0.5040656	-50.66434	4.38835	-16.66667	-1.829422
0.5163415	-50.66434	4.38835	-16.66667	-1.167716
0.5163415	-50.66434	4.38835	-16.66667	-1.167716
0.5163415	-50.66434	4.699029	-16.66667	-1.167716
0.5336831	-50.66434	4.699029	-16.66667	-1.167716
0.5352321	-50.66434	4.699029	-16.5098	-1.167716
0.5352321	-50.66434	4.699029	-16.5098	-1.167716
0.5352321	-51.33566	4.699029	-16.5098	-1.167716
0.5511084	-51.33566	4.699029	-16.5098	-1.012021
0.5511084	-51.33566	4.699029	-16.5098	-1.012021
0.5511084	-51.33566	5.048543	-16.5098	-1.012021
0.5667359	-51.33566	5.048543	-16.5098	-1.012021
0.5667359	-51.33566	5.048543	-16	-1.012021
