TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0053582	119.2825	100.18	61.64706	37.44476
0.0107639	119.2825	100.18	61.64706	37.44476
0.0149457	119.2825	100.18	61.96078	37.44476
0.0203385	119.2825	100.18	61.96078	37.44476
0.0250819	119.945	100.18	61.96078	37.44476
0.0347204	119.945	100.18	61.96078	37.44476
0.0441724	119.945	100.18	61.96078	37.13337
0.0505366	119.945	100.18	61.96078	37.13337
0.0526529	119.945	99.67654	61.96078	37.13337
0.0526529	120.1009	99.67654	61.96078	37.13337
0.0526529	120.1009	99.67654	61.96078	37.13337
0.068743	120.1009	99.67654	61.96078	37.13337
0.068743	120.1009	99.67654	61.96078	37.13337
0.068743	120.1009	99.67654	61.96078	37.60046
0.0847675	120.1009	99.67654	61.96078	37.60046
0.0847675	120.1009	99.67654	61.96078	37.60046
0.0941273	120.1009	99.67654	61.96078	37.60046
0.100569	120.1009	99.67654	61.96078	37.60046
0.1020746	120.5685	99.67654	61.96078	37.60046
0.1020746	120.5685	99.67654	61.96078	37.60046
0.1020746	120.5685	99.67654	61.96078	37.79508
0.1176178	120.5685	99.67654	61.96078	37.79508
0.1176178	120.5685	99.52164	61.96078	37.79508
0.1176178	120.5685	99.52164	61.96078	37.79508
0.1340346	120.5685	99.52164	62.15686	37.79508
0.1371566	120.5685	99.52164	62.15686	37.79508
0.1371566	120.5685	99.52164	62.15686	37.79508
0.1507298	120.5685	99.52164	62.15686	37.79508
0.1521417	120.5685	99.52164	62.15686	37.79508
0.1521417	120.5685	98.70843	62.15686	37.79508
0.1521417	120.5685	98.70843	62.15686	37.79508
0.1678648	120.5685	98.70843	62.47059	37.79508
0.1678648	120.5685	98.70843	62.47059	37.79508
0.1678648	120.7244	98.70843	62.47059	37.79508
0.183807	120.7244	98.70843	62.47059	36.78306
0.183807	120.7244	98.70843	62.47059	36.78306
0.183807	120.7244	99.21185	62.47059	36.78306
0.1995777	120.7244	99.21185	62.47059	36.78306
0.202143	120.7244	99.21185	63.13726	36.78306
0.202143	120.7244	99.21185	63.13726	36.78306
0.202143	121.3868	99.21185	63.13726	36.78306
0.2195196	121.3868	99.21185	63.13726	36.78306
0.2222002	121.3868	99.21185	63.13726	37.44476
0.2222002	121.3868	99.21185	63.13726	37.44476
0.2222002	121.3868	98.20501	63.13726	37.44476
0.2392139	121.3868	98.20501	63.60784	37.44476
0.242177	121.3868	98.20501	63.60784	37.44476
0.242177	120.8802	98.20501	63.60784	37.44476
0.242177	120.8802	98.20501	63.60784	37.44476
0.2580616	120.8802	98.20501	63.60784	37.13337
0.2580616	120.8802	98.20501	63.60784	37.13337
0.2580616	120.8802	96.92711	63.60784	37.13337
0.2736871	120.8802	96.92711	63.60784	37.13337
0.2736871	120.8802	96.92711	64.27451	37.13337
0.2736871	120.5685	96.92711	64.27451	37.13337
0.2893104	120.5685	96.92711	64.27451	37.13337
0.2893104	120.5685	96.92711	64.27451	37.95077
0.2893104	120.5685	96.92711	64.27451	37.95077
0.3049337	120.5685	96.77221	64.27451	37.95077
0.3049337	120.5685	96.77221	64.27451	37.95077
0.3049337	120.5685	96.77221	65.09804	37.95077
0.3205613	120.5685	96.77221	65.09804	37.95077
0.3205613	118.9708	96.77221	65.09804	37.95077
0.3205613	118.9708	96.77221	65.09804	39.07956
0.3205613	118.9708	96.77221	65.09804	39.07956
0.3373124	118.9708	94.95216	65.09804	39.07956
0.3373124	118.9708	94.95216	65.09804	39.07956
