TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0039935	100.4997	43.18447	172.324	41.88208
0.0089616	100.4997	43.18447	172.324	42.03778
0.0139814	100.4997	43.18447	172.324	42.03778
0.0189661	100.4997	43.18447	172.324	42.03778
0.0237859	100.4997	43.33981	172.324	42.03778
0.0289819	100.4997	43.33981	171.8553	42.03778
0.033983	101.1622	43.33981	171.8553	42.03778
0.0389581	101.1622	43.33981	171.8553	42.03778
0.0408426	101.1622	43.33981	171.8553	41.68747
0.0408426	101.1622	43.33981	171.8553	41.68747
0.0408426	101.1622	43.02913	171.8553	41.68747
0.0565812	101.1622	43.02913	171.8553	41.68747
0.0740548	101.1622	43.02913	171.699	41.68747
0.0769234	101.1622	43.02913	171.699	41.68747
0.0769234	101.4739	43.02913	171.699	41.68747
0.0769234	101.4739	43.84466	171.699	41.22038
0.0928822	101.4739	43.84466	171.699	41.22038
0.0928822	101.4739	43.84466	171.1913	41.22038
0.0928822	101.4739	43.84466	171.1913	41.22038
0.1089145	101.8246	43.84466	171.1913	41.22038
0.1139856	101.8246	43.84466	171.1913	41.22038
0.1189831	101.8246	43.84466	171.1913	41.22038
0.1237908	101.8246	43.84466	171.1913	41.37607
0.1339939	101.8246	43.84466	171.1913	41.37607
0.1389803	101.8246	43.68932	171.1913	41.37607
0.1410362	101.8246	43.68932	171.1913	41.37607
0.1410362	101.8246	43.68932	170.0586	41.37607
0.1410362	102.4481	43.68932	170.0586	41.37607
0.1566663	102.4481	43.68932	170.0586	41.37607
0.1566663	102.4481	43.68932	170.0586	40.55867
0.1566663	102.4481	44	170.0586	40.55867
0.1724249	102.4481	44	170.0586	40.55867
0.1724249	102.4481	44	169.7461	40.55867
0.1724249	102.4481	44	169.7461	40.55867
0.1880295	102.9547	44	169.7461	40.55867
0.1880295	102.9547	44	169.7461	40.55867
0.1880295	102.9547	44	169.7461	41.06468
0.2037059	102.9547	44	169.7461	41.06468
0.2037059	102.9547	44.97087	169.7461	41.06468
0.2037059	102.9547	44.97087	168.9259	41.06468
0.2191898	102.9547	44.97087	168.9259	41.06468
