TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0019942	106.0332	101.9613	30.15686	43.67258
0.0071451	106.0332	101.9613	30.5098	43.67258
0.0118258	106.0332	101.9613	30.5098	43.67258
0.0174536	106.0332	101.9613	30.5098	43.67258
0.0226191	104.9032	101.9613	30.5098	43.67258
0.0277854	104.9032	101.9613	30.5098	43.82828
0.0301623	104.9032	101.8064	30.5098	43.82828
0.0301623	104.9032	101.8064	30.5098	43.82828
0.0422799	104.9032	101.8064	31.64706	43.82828
0.0438913	104.9032	101.8064	31.64706	43.82828
0.0438913	105.059	101.8064	31.64706	43.82828
0.0578951	105.059	101.8064	31.64706	43.82828
0.0599912	105.059	101.8064	31.64706	43.67258
0.0599912	105.059	101.8064	31.64706	43.67258
0.0599912	105.059	101.6515	31.64706	43.67258
0.0754588	105.059	101.6515	31.64706	43.67258
0.0754588	105.059	101.6515	31.64706	43.67258
0.0754588	103.4223	101.6515	31.64706	43.67258
0.0926038	103.4223	101.6515	31.64706	43.67258
0.0946683	103.4223	101.6515	31.64706	44.48998
0.0946683	103.4223	101.6515	31.64706	44.48998
0.0946683	103.4223	101.1481	31.64706	44.48998
0.1093329	103.4223	101.1481	31.64706	44.48998
0.1093329	103.4223	101.1481	32.27451	44.48998
0.1093329	103.2665	101.1481	32.27451	44.48998
0.1257087	103.2665	101.1481	32.27451	44.48998
0.1257087	103.2665	101.1481	32.27451	45.15169
0.1257087	103.2665	101.1481	32.27451	45.15169
0.1428279	103.2665	100.8383	32.27451	45.15169
0.1439343	103.2665	100.8383	32.27451	45.15169
0.1439343	103.2665	100.8383	33.09804	45.15169
0.1439343	103.2665	100.8383	33.09804	45.15169
0.1595054	103.2665	100.8383	33.09804	45.15169
0.1595054	103.2665	100.8383	33.09804	45.15169
0.1595054	103.2665	100.8383	33.09804	45.77447
0.1757135	103.2665	100.0251	33.09804	45.77447
0.1791001	103.2665	100.0251	33.09804	45.77447
0.1791001	103.2665	100.0251	33.76471	45.77447
0.1925414	103.2665	100.0251	33.76471	45.77447
0.1925414	101.6298	100.0251	33.76471	45.77447
0.1925414	101.6298	100.0251	33.76471	45.77447
0.1925414	101.6298	100.0251	33.76471	45.96909
0.2122971	101.6298	100.0251	33.76471	45.96909
0.213301	101.6298	99.52164	33.76471	45.96909
0.213301	101.6298	99.52164	33.76471	45.96909
0.2258583	101.6298	99.52164	33.76471	45.96909
0.2290671	101.6298	99.52164	33.76471	45.96909
0.2290671	101.6298	99.52164	33.76471	45.96909
0.2426487	101.6298	99.52164	33.76471	46.12479
0.2447117	101.6298	99.52164	33.76471	46.12479
0.2447117	101.6298	99.83144	33.76471	46.12479
0.2579329	101.6298	99.83144	33.76471	46.12479
0.2600576	101.6298	99.83144	34.07843	46.12479
0.2600576	101.0063	99.83144	34.07843	46.12479
0.2600576	101.0063	99.83144	34.07843	46.12479
0.2748142	101.0063	99.83144	34.07843	46.43618
0.2748142	101.0063	99.83144	34.07843	46.43618
0.2748142	101.0063	99.83144	34.07843	46.43618
0.290588	101.0063	99.83144	34.07843	46.43618
0.290588	101.0063	99.83144	34.39216	46.43618
0.290588	101.0063	99.83144	34.39216	46.43618
0.3062194	101.0063	99.83144	34.39216	46.43618
0.3090251	101.0063	99.83144	34.39216	46.28048
0.3090251	101.0063	99.83144	34.39216	46.28048
0.3090251	101.0063	99.83144	34.39216	46.28048
0.3260973	101.0063	99.83144	34.39216	46.28048
0.3291495	101.0063	99.83144	35.05882	46.28048
0.3291495	101.0063	99.83144	35.05882	46.28048
0.3291495	100.6946	99.83144	35.05882	46.28048
0.3464117	100.6946	99.83144	35.05882	46.28048
0.3490318	100.6946	99.83144	35.05882	47.25358
0.3490318	100.6946	98.55353	35.05882	47.25358
0.3490318	100.6946	98.55353	35.05882	47.25358
0.367333	100.6946	98.55353	35.72549	47.25358
0.3726976	100.6946	98.55353	35.72549	47.25358
0.3775141	100.0321	98.55353	35.72549	47.25358
0.3820896	100.0321	98.55353	35.72549	47.25358
0.3873297	100.0321	98.55353	35.72549	47.60389
0.3925321	100.0321	98.55353	35.72549	47.60389
0.3970992	100.0321	98.55353	35.72549	47.60389
0.4027901	100.0321	98.55353	36.19608	47.60389
0.4069414	100.0321	98.55353	36.19608	47.60389
0.4112873	99.36963	98.55353	36.19608	47.60389
0.4139858	99.36963	98.55353	36.19608	47.60389
0.4222628	99.36963	98.55353	36.19608	48.2656
0.431187	99.36963	98.55353	36.19608	48.2656
0.4406841	99.36963	97.3918	36.19608	48.2656
0.4406841	99.36963	97.3918	36.19608	48.2656
0.4502568	99.21375	97.3918	35.21569	48.2656
0.4502568	99.21375	97.3918	35.21569	48.2656
0.4502568	99.21375	97.3918	35.21569	48.2656
0.4675692	99.21375	97.3918	35.21569	48.4213
0.4686246	99.21375	97.3918	35.21569	48.4213
0.4686246	99.21375	96.92711	35.21569	48.4213
0.4686246	99.21375	96.92711	35.21569	48.4213
0.4866419	99.21375	96.92711	36.86274	48.4213
0.4866419	98.08366	96.92711	36.86274	48.4213
0.4866419	98.08366	96.92711	36.86274	48.4213
