// Start Time : 13/05/2022 05:02:17																																
// Update Rate : 100Hz																																
// Filter Profile : 46.1 human																																
// Firmware Version : 4.4.0																																
PacketCounter	Time_Of_Arrival	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Euler_X	Euler_Y	Euler_Z
27022	1652418181733	9.68134228271569	0.307340822953769	2.01758019593487	3.03576608295941E-16	-2.77555756156289E-15	0.0814258619464123	-0.0026942928762083	0.0113405310200411	-0.00678053360084186	0.627197265625	0.41064453125	0.07861328125	0	0	0	-0.411904247487045	-0.477916546223937	-0.524886579989652	0.571335929112009	-0.00782029401569873	-0.206061413045668	0.978507811443082	0.993484834381581	0.109657938097797	0.0310325710495102	-0.113695764456339	0.972375354822284	0.20386133149503	8.65534211968101	-78.0996738922557	-92.1734050178647
27023	1652418181734	9.66303493671494	0.343094463865199	2.03378415973975	0	-1.38777878078145E-15	0.0680128064606293	0.00233893511907649	0.0145450318221514	-0.00456903547886521	0.627685546875	0.40625	0.075927734375	0	0	0	-0.407342801599042	-0.480822415057305	-0.522589501412302	0.574266366921785	-0.00857996361579488	-0.208492049492899	0.977986426042101	0.991930247977139	0.12194410999817	0.034698950773265	-0.126494139675966	0.970392033837358	0.205763294327808	9.57203182603707	-77.9556645806072	-92.3565333850631
27024	1652418181734	9.70836968110807	0.300369120519838	2.07293597437411	-0.0303816853560748	0.0357386212178019	0.118955319098395	-0.00360464577094862	0.0207249122508835	-0.00702653166834028	0.633544921875	0.413818359375	0.06494140625	0	0	0	-0.409653132110252	-0.479274709353779	-0.523867847425515	0.572749982767236	-0.00828353718478342	-0.207417829514532	0.978217372065733	0.992763372826557	0.115493579572036	0.032895571915925	-0.119800954026862	0.971410869342689	0.204960128652222	9.11806345646286	-78.0192426100911	-92.2869761944482
27025	1652418181734	9.68070139905869	0.295793216770685	2.05424966814373	-0.0328994125328847	0.0208335263846129	0.0879135392946466	-0.0023359743812317	0.0173226241846346	-0.00798419001545067	0.6259765625	0.411376953125	0.064453125	0	0	0	-0.409595312934866	-0.479235334510889	-0.523931788934209	0.57276579360348	-0.00834205059913018	-0.20759532014912	0.978179223477981	0.992765507382853	0.115454320331976	0.0329688833227405	-0.119779203297853	0.971377621200358	0.20513034755605	9.13058654740483	-78.0087176362509	-92.301146639836
27026	1652418181735	9.68365836445474	0.305602408904314	2.07776779898714	-0.026757569993964	0.0432924287576776	0.0959533574120605	-0.00170544002961986	0.00465756115463178	-0.00863537267121905	0.6318359375	0.4052734375	0.074462890625	0	0	0	-0.409567963624642	-0.479249505031672	-0.523961176938787	0.572746610780179	-0.00843080602436314	-0.207623488856289	0.978172483964317	0.992764464232047	0.11543753646657	0.0330589433071448	-0.119781634935557	0.971373595507759	0.205147990198522	9.15433244259594	-78.0068591895441	-92.3252878250629
27027	1652418181736	9.67994509104507	0.310654231594582	2.0237671608631	-0.0159901979820528	-0.00821264893308346	0.0814095323222528	-0.00033424933092477	0.00154479301155208	-0.00809452842922426	0.639892578125	0.410888671875	0.06787109375	0	0	0	-0.409545476927055	-0.479260781407543	-0.523988321476736	0.572728421408625	-0.00850931527875209	-0.207647837803881	0.978166635604006	0.992764178979823	0.115417482569168	0.0331374358077859	-0.119778447510418	0.971370773789684	0.205163211466445	9.17502927902856	-78.0052467117205	-92.3466423486667
27028	1652418181736	9.65623259608951	0.302002446656988	2.05781384845157	-0.029262795311324	0.0283765694476606	0.0649120241544541	-0.00180787721384792	0.00436816744915492	-0.0101338854661162	0.6240234375	0.411865234375	0.06494140625	0	0	0	-0.409514954212945	-0.479263681054611	-0.524030610885859	0.57270912787605	-0.0086035142468463	-0.207702939475575	0.978154112845113	0.992765517087602	0.115378842261125	0.033231774557914	-0.119760626352695	0.9713635836759	0.205207652595906	9.19874500011094	-78.0017947234558	-92.3719616817546
27029	1652418181737	9.65609709632058	0.302854389579102	2.05832440034412	-0.0292627951988312	0.0283765698238639	0.0649120241537062	0.00158525691834451	0.0061995389782004	-0.00755909236502002	0.6298828125	0.414794921875	0.064453125	0	0	0	-0.409476056530131	-0.479265559238579	-0.524061151269964	0.572707423197801	-0.00867113308533568	-0.207771880628346	0.97813887412329	0.992762965539231	0.115378537716265	0.0333089670840886	-0.119776899712628	0.971348875870363	0.205267765712531	9.21709212503728	-77.997595380069	-92.389790134266
27030	1652418181738	9.65555720891242	0.316820613907512	2.02695159493333	-0.0121947844047892	-0.000977371815979315	0.0584089996311565	-0.00479089767691356	0.00369361533474305	-0.00671445998005146	0.622802734375	0.410400390625	0.064208984375	0	0	0	-0.40946399410539	-0.479254256311501	-0.524099482824336	0.572690428976977	-0.00872982017885332	-0.207818791327931	0.978128386363796	0.992768239253194	0.115317939269048	0.033361594878754	-0.119728916180507	0.971346036618124	0.205309190677142	9.22957394765326	-77.9947061029521	-92.4054030758606
27031	1652418181738	9.65863223078365	0.326380933294761	2.04991132027913	-0.0059299061869229	0.0212069037656963	0.066449875311136	0.00178999357781092	0.00677827442349778	-0.00456170693633761	0.6298828125	0.41162109375	0.06298828125	0	0	0	-0.409430174647654	-0.479248876598541	-0.524122132566339	0.572698381804193	-0.00876699113370089	-0.207889891886144	0.978112944765598	0.992765696867875	0.115325844484209	0.0334098895006599	-0.11974727967225	0.971329883430738	0.205374892734055	9.23979850573621	-77.9904533373816	-92.414807810399
27032	1652418181738	9.64026028335963	0.36235397162282	2.06617101851765	0.0274252774484802	0.0434888340802311	0.0530278955060215	0.00877625881345029	0.0209600934541648	-0.0093105849209009	0.62890625	0.405517578125	0.06982421875	0	0	0	-0.409327727406655	-0.4792284133756	-0.524170796546846	0.572744197209412	-0.00882979227809888	-0.208108609426219	0.97806586764441	0.992754518849145	0.115391575247097	0.0335149170757832	-0.119835303950584	0.971275239592094	0.205581878779217	9.25917156295375	-77.9774969907119	-92.4295322556643
27033	1652418181739	9.64251223962472	0.385637033312854	2.05908083287307	0.0507223435967781	0.036352363017092	0.0545654055140794	0.00943927219357107	0.0278103622843877	-0.00601787822361913	0.626220703125	0.4052734375	0.07177734375	0	0	0	-0.409213384777866	-0.479185822262325	-0.524222324088767	0.572814375158649	-0.00885619466049636	-0.208385661503182	0.978006637961122	0.992742670565306	0.115470721291228	0.0335931922173063	-0.119931471495187	0.971206429449664	0.205850706922843	9.26851163858066	-77.961215588725	-92.433552320341
27034	1652418181739	9.56383440352384	0.366233476564981	2.05425609118148	0.0323891400096568	0.043037794089007	-0.0240142301961654	0.0174047189598589	0.0265771578776814	-0.00152231980551861	0.62890625	0.413330078125	0.074951171875	0	0	0	-0.409086855563543	-0.47915609700064	-0.52424214724291	0.57291146817496	-0.00884078847748887	-0.208655754420075	0.977949189174206	0.992721598604443	0.115636231318551	0.0336465402483213	-0.120106902896277	0.971128744376271	0.206114758624492	9.27128886718238	-77.9454444287752	-92.4261831430466
27035	1652418181740	9.54252213712119	0.379469512181052	2.08057945448342	0.0424016083743967	0.0725007027581409	-0.0389735202508099	0.0104814757992677	0.0163031816365151	-0.000673698875553964	0.62548828125	0.406494140625	0.064453125	0	0	0	-0.409012480728226	-0.479138245495466	-0.52425231039945	0.572970197613199	-0.00882788651126765	-0.208814854973757	0.977915346419123	0.992708944581238	0.115736611298763	0.0336747405852395	-0.120212394403191	0.971082588221706	0.206270664624138	9.27203289593998	-77.9361632355406	-92.4208030000239
27036	1652418181741	9.53630228392583	0.347745950510943	2.06877096148828	0.012759846694286	0.0572508239629149	-0.0485508832898862	-0.00194248965333872	0.00974731213150678	0.00910462342669822	0.6279296875	0.405029296875	0.07080078125	0	0	0	-0.409006227354255	-0.479083524192898	-0.524257441351485	0.573015722314796	-0.0087337759309844	-0.20891922323442	0.977893899828153	0.992711802505292	0.115736082346068	0.0335922075767452	-0.120195666829891	0.971060202771338	0.206385765664706	9.24463198146569	-77.9302852632494	-92.3938309239636
27037	1652418181743	9.55344982468934	0.33878327008534	1.99097675901954	0.0135146316523271	-0.0237168931013838	-0.048138169786748	0.0194358359067051	0.00838739591929747	0.00197173719358976	0.626220703125	0.4091796875	0.06494140625	0	0	0	-0.408933277125606	-0.479106405553468	-0.524222384803245	0.573080725804094	-0.00870411314233027	-0.208998384501894	0.977877248784327	0.992688594561291	0.115928932261022	0.0336130464663206	-0.120389337743561	0.971020163508677	0.206461254033896	9.24694403418624	-77.9257235740756	-92.3848075133105
27038	1652418181744	9.63731645711677	0.390396041446681	2.01236071126742	0.0612897041911041	-0.015692912864685	0.0400214224777198	0.0308565112215895	0.0128942539028371	0.00514600405338103	0.626708984375	0.4111328125	0.065673828125	0	0	0	-0.408813790589972	-0.47913667384099	-0.524167933402871	0.573190465723405	-0.00864794925448753	-0.20914076404172	0.977847305968441	0.992651483416146	0.116238524431244	0.0336398262446802	-0.120698986927882	0.970952494334348	0.206598664808101	9.24813507515836	-77.9175247644484	-92.3678257378227
27039	1652418181744	9.66123537861304	0.386614729450237	2.01110030661278	0.0575417053055021	-0.0229726913077197	0.0630215057941807	0.0127912746443152	0.00139498918074508	0.00371731073501031	0.628173828125	0.413818359375	0.068115234375	0	0	0	-0.408782379810332	-0.47915860018731	-0.524129486281438	0.573229695177678	-0.00860936504621385	-0.209149985527172	0.977845674116056	0.992636357091796	0.116370495133913	0.0336299039816501	-0.120826079192483	0.970934699872381	0.206608003646277	9.24504371032866	-77.9170780953171	-92.3571694331508
