TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0021873	112.8138	76.44191	47.29412	38.26217
0.007772	112.8138	76.44191	46.82353	38.26217
0.0121099	113.6321	76.44191	46.82353	38.26217
0.0138576	113.6321	76.44191	46.82353	38.26217
0.0226382	113.6321	76.44191	46.82353	38.92387
0.0271147	113.6321	76.44191	46.82353	38.92387
0.0289282	113.6321	76.75171	46.82353	38.92387
0.0371546	113.6321	76.75171	46.82353	38.92387
0.0388878	113.6321	76.75171	46	38.92387
0.0428767	113.6321	76.75171	46	38.92387
0.0521531	113.6321	76.75171	46	38.92387
0.0539565	113.6321	76.75171	46	38.92387
0.060547	113.6321	76.75171	46	38.41786
0.060547	113.6321	76.59681	46	38.41786
0.060547	113.6321	76.59681	46	38.41786
0.0775446	113.6321	76.59681	45.4902	38.41786
0.0795564	113.6321	76.59681	45.4902	38.41786
0.0795564	114.6063	76.59681	45.4902	38.41786
0.0795564	114.6063	76.59681	45.4902	38.41786
0.0951569	114.6063	76.59681	45.4902	38.26217
0.0951569	114.6063	76.59681	45.4902	38.26217
0.0951569	114.6063	77.41003	45.4902	38.26217
0.1119909	114.6063	77.41003	45.33333	38.26217
0.1159321	114.6063	77.41003	45.33333	38.26217
0.1226881	116.0481	77.41003	45.33333	38.26217
0.1278581	116.0481	77.41003	45.33333	38.26217
0.1327384	116.0481	77.41003	45.33333	37.44476
0.1371601	116.0481	77.41003	45.33333	37.44476
0.1419114	116.0481	77.41003	45.33333	37.44476
0.144667	116.0481	77.41003	44.35294	37.44476
0.1530677	116.0481	77.41003	44.35294	37.44476
0.1551745	116.5158	77.41003	44.35294	37.44476
0.1624013	116.5158	77.41003	44.35294	37.44476
0.1676859	116.5158	77.41003	44.35294	37.79508
0.1676859	116.5158	77.41003	44.35294	37.79508
0.1777902	116.5158	77.91344	44.35294	37.79508
0.1788971	116.5158	77.91344	44.35294	37.79508
