// Start Time : 24/06/2022 06:59:50																																
// Update Rate : 100Hz																																
// Filter Profile : 46.1 human																																
// Firmware Version : 4.4.0																																
PacketCounter	Time_Of_Arrival	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Euler_X	Euler_Y	Euler_Z
1864	1656054026558	5.09841216649761	1.36099103524862	8.59139119824697	-2.29850860566927E-15	1.9298798670242E-15	0.269877086210792	0.00487598350848337	-0.00650482176834263	-0.00825969641679807	0.19140625	-0.319580078125	0.6357421875	0	0	0	-0.254047826929884	0.0969430118859965	-0.780218678301513	-0.563312140920214	-0.236278267048177	0.829756985108579	0.505644070650721	-0.928269631131281	-0.346562968676714	0.134942953359482	0.287207368359703	-0.437489947776522	0.85212350815735	8.99867818596733	-30.3741165453741	105.894620332397
1865	1656054026556	5.07625084848295	1.33748551757049	8.60056890648802	0.0273872950497323	-0.0117584568963713	0.263328086012086	0.00187646201896289	-0.00804096471595771	-0.00771201428118778	0.18896484375	-0.318603515625	0.6572265625	0	0	0	-0.254398868289971	0.0956929298769354	-0.782943197054276	-0.559574864670295	-0.244314373284006	0.827542320944261	0.50545444310346	-0.924919013200436	-0.355437668001578	0.134866167684597	0.291265009960299	-0.434554681497951	0.852248157968699	8.9923475341862	-30.3615239554605	106.448121236589
1866	1656054026556	5.06092458686418	1.35835745422043	8.55210234489111	-0.00162875427161258	-0.0112411608828772	0.217089211400072	0.000596661788941223	-0.00643034536469638	-0.00602332808998815	0.1904296875	-0.31689453125	0.65087890625	0	0	0	-0.25442859235202	0.0957009236811452	-0.782918449894705	-0.559594608100201	-0.244239931957905	0.827535783688524	0.505501120030625	-0.924931988884452	-0.355390415583516	0.134901699209561	0.291286236501914	-0.434605774497296	0.85221484920069	8.99502371779951	-30.3646234780849	106.443503186751
1867	1656054026558	5.0932261066373	1.31197232055	8.57095261314781	0.0396353441554962	0.0235329229463467	0.243222712663295	0.00186082900508983	-0.00649661857196209	-0.00777226141161375	0.18505859375	-0.31689453125	0.64501953125	0	0	0	-0.254464898284878	0.0956926387326059	-0.782890779576763	-0.559618228515608	-0.24415010770784	0.827539067212494	0.505539135125389	-0.92494073753931	-0.355340714410888	0.134972622120921	0.291333755247289	-0.43464016026943	0.852181068866516	9.00002626661899	-30.3671478952097	106.437720518364
1868	1656054026559	5.07718366719771	1.36348337577466	8.59756413241331	0.00457208878465653	-0.0198696698273008	0.264741581390615	0.00438905433152967	-0.00662909675020766	-0.0112702089222182	0.18310546875	-0.31640625	0.647216796875	0	0	0	-0.254508520331643	0.0956796671897397	-0.782852908285114	-0.559653587815353	-0.244026549448002	0.827550296662326	0.505580408697369	-0.924955458751464	-0.355266525863728	0.135067001619882	0.291390532602502	-0.43467942451284	0.852141628730117	9.00662641775947	-30.3698887674259	106.429639562503
1869	1656054026560	5.10135275915562	1.33977453456266	8.59135006623332	0.0197210163717721	0.0109263792713159	0.268462540914289	0.0018768155085549	-0.00804139101834601	-0.00771193199281168	0.1943359375	-0.31689453125	0.652587890625	0	0	0	-0.254548501379655	0.0956853349927773	-0.782822134765053	-0.559677480728479	-0.243932356021589	0.827542723234746	0.50563825696537	-0.924968957740433	-0.355210868465486	0.13512093154124	0.291426548039697	-0.434739324360261	0.852098754225384	9.01060954416318	-30.3737304520742	106.423781765472
1870	1656054026561	5.09418198145328	1.33857869032245	8.56783469829747	0.0166831415038151	0.0153006413994226	0.244636429247599	0.00638349840567246	-0.00650883612428815	-0.00850425194773258	0.188232421875	-0.31884765625	0.65185546875	0	0	0	-0.254595909347694	0.0956677395933441	-0.782793105022781	-0.559699527669369	-0.243834723340213	0.827544631974167	0.505682222135942	-0.92497109260219	-0.355168244655572	0.135218326563346	0.291501467481578	-0.434770514270485	0.852057213089042	9.01743010019723	-30.3766502657108	106.417526419994
1871	1656054026562	5.08684821349306	1.34337271519968	8.62132879351185	0.0305128873538551	-0.0160236237534066	0.287154088455868	0.00210456916770159	-0.00643496565342408	-0.00626701939811688	0.190673828125	-0.314453125	0.646240234375	0	0	0	-0.254629273772442	0.095670711936949	-0.782768661029133	-0.559718028230514	-0.243759323623729	0.827538335220136	0.505728875868867	-0.924980590827327	-0.355125687502446	0.135265119926179	0.291534386889833	-0.434817260256537	0.852022095631192	9.02086503187368	-30.3797487274549	106.412841115607
1872	1656054026562	5.07905442310063	1.36631237402028	8.5960099191133	0.00453424369053767	-0.0198813716952247	0.264741575410344	0.00359607633790353	-0.00489437104903655	-0.00657146673118227	0.193115234375	-0.311767578125	0.65576171875	0	0	0	-0.254661636749726	0.095661968250358	-0.782745758351298	-0.559736827787372	-0.243684268772961	0.82754038866848	0.505761685257997	-0.924986122305826	-0.355086942897994	0.135328993659855	0.291579578664591	-0.434844993193872	0.851992477196836	9.02536327171433	-30.3819277895648	106.40802082622
1873	1656054026563	5.1031714824177	1.3425121919266	8.58984246546292	0.019647631369023	0.0109253849177001	0.268462685282575	0.00138978065716559	-0.00816673715499286	-0.0107216677766052	0.193115234375	-0.31689453125	0.639892578125	0	0	0	-0.254700504009495	0.0956666297033864	-0.782706658296145	-0.559773022105733	-0.243563633959847	0.827543465468741	0.505814757566701	-0.92500882067811	-0.355004119367619	0.135391125631312	0.291608363871763	-0.434906757813682	0.851951098437008	9.02987005419486	-30.3854527327313	106.400276974053
