TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0059484	92.27737	105.8724	60.82353	57.7241
0.0090339	92.27737	105.8724	60.82353	57.7241
0.0145373	92.27737	105.8724	60.82353	58.07441
0.0190309	92.27737	105.8724	60.82353	58.07441
0.0243213	92.27737	105.5239	60.82353	58.07441
0.0293469	92.27737	105.5239	60.82353	58.07441
0.0335515	92.27737	105.5239	61.01961	58.07441
0.0387591	92.27737	105.5239	61.01961	58.07441
0.0443112	91.92665	105.5239	61.01961	58.07441
0.0490379	91.92665	105.5239	61.01961	58.07441
0.0510414	91.92665	105.5239	61.01961	58.23011
0.0591658	91.92665	104.9043	61.01961	58.23011
0.0639836	91.92665	104.9043	61.01961	58.23011
0.069036	91.92665	104.9043	62.31372	58.23011
0.069036	91.92665	104.9043	62.31372	58.23011
0.0795895	91.45902	104.9043	62.31372	58.23011
0.0828295	91.45902	104.9043	62.31372	58.23011
0.0856085	91.45902	104.9043	62.31372	58.5415
0.0856085	91.45902	104.9043	62.31372	58.5415
0.0992828	91.45902	105.0592	62.31372	58.5415
0.1003945	91.45902	105.0592	62.78431	58.5415
0.1003945	91.45902	105.0592	62.78431	58.5415
0.1003945	91.14728	105.0592	62.78431	58.5415
0.1157324	91.14728	105.0592	62.78431	58.5415
0.1157324	91.14728	105.0592	62.78431	58.5415
0.1157324	91.14728	105.0592	62.78431	58.5415
0.1320107	91.14728	104.9043	62.78431	58.5415
0.1320107	91.14728	104.9043	62.78431	58.5415
0.1320107	91.14728	104.9043	62.78431	58.5415
0.1486401	90.79656	104.9043	62.78431	58.5415
0.1506165	90.79656	104.9043	62.78431	58.5415
0.1506165	90.79656	104.9043	62.78431	58.89182
0.1506165	90.79656	104.9043	62.78431	58.89182
0.1664179	90.79656	104.246	62.78431	58.89182
0.1664179	90.79656	104.246	62.78431	58.89182
0.1664179	90.79656	104.246	63.13726	58.89182
0.1817971	90.79656	104.246	63.13726	58.89182
0.1817971	90.64069	104.246	63.13726	58.89182
0.1817971	90.64069	104.246	63.13726	58.89182
0.1983101	90.64069	104.246	63.13726	58.5415
0.2005902	90.64069	103.4328	63.13726	58.5415
0.2005902	90.64069	103.4328	63.13726	58.5415
0.2005902	90.64069	103.4328	63.13726	58.5415
0.2163864	90.64069	103.4328	63.13726	58.5415
0.2163864	90.48482	103.4328	63.13726	58.5415
0.2163864	90.48482	103.4328	63.13726	58.5415
0.2334241	90.48482	103.4328	63.13726	59.04751
0.2355935	90.48482	103.4328	63.13726	59.04751
0.2355935	90.48482	103.5877	63.13726	59.04751
0.2355935	90.48482	103.5877	63.45098	59.04751
0.2526548	90.48482	103.5877	63.45098	59.04751
0.2556592	89.82235	103.5877	63.45098	59.04751
