TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0053821	119.4384	118.5353	44.5098	36.62736
0.0101984	119.4384	118.0706	44.5098	36.62736
0.0113006	119.4384	118.0706	44.5098	36.62736
0.0200004	119.4384	118.0706	45.01961	36.62736
0.0250957	119.4384	118.0706	45.01961	36.62736
0.0250957	118.9708	118.0706	45.01961	36.62736
0.0332267	118.9708	118.0706	45.01961	37.95077
0.0392652	118.9708	118.0706	45.01961	37.95077
0.0415711	118.9708	117.4123	45.01961	37.95077
0.0415711	118.9708	117.4123	45.17647	37.95077
0.0547438	118.9708	117.4123	45.17647	37.95077
0.0568476	118.1524	117.4123	45.17647	37.95077
0.0568476	118.1524	117.4123	45.17647	37.95077
0.0568476	118.1524	117.4123	45.17647	38.26217
0.0750742	118.1524	117.4123	45.17647	38.26217
0.0764943	118.1524	116.5991	45.17647	38.26217
0.0847765	118.1524	116.5991	45.17647	38.26217
0.089651	118.1524	116.5991	45.4902	38.26217
0.0915292	117.1782	116.5991	45.4902	38.26217
0.0997567	117.1782	116.5991	45.4902	38.26217
0.1057315	117.1782	116.5991	45.4902	38.92387
0.1224232	117.1782	116.5991	45.4902	38.92387
0.1224232	117.1782	116.4442	45.4902	38.92387
0.1224232	117.1782	116.4442	45.4902	38.92387
0.1391115	115.7364	116.4442	47.13726	38.92387
0.1415714	115.7364	116.4442	47.13726	40.40298
0.1415714	115.7364	115.631	47.13726	40.40298
0.1558435	115.7364	115.631	47.13726	40.40298
0.1558435	115.7364	115.631	47.60784	40.40298
0.1558435	115.7364	115.631	47.60784	40.40298
0.1725973	114.6063	115.631	47.60784	40.40298
0.1725973	114.6063	115.631	47.60784	40.87006
0.1725973	114.6063	115.631	47.60784	40.87006
0.1890117	114.6063	114.6241	47.60784	40.87006
0.1912704	114.6063	114.6241	48.7451	40.87006
0.1912704	114.6063	114.6241	48.7451	40.87006
0.2044644	113.6321	114.6241	48.7451	40.87006
0.2065662	113.6321	114.6241	48.7451	40.87006
0.2065662	113.6321	114.6241	48.7451	42.03778
0.2065662	113.6321	114.6241	48.7451	42.03778
0.2236464	113.6321	113.8109	48.7451	42.03778
0.2236464	113.6321	113.8109	48.7451	42.03778
0.2236464	113.6321	113.8109	49.56863	42.03778
0.2403368	112.502	113.8109	49.56863	42.03778
0.2414606	112.502	113.8109	49.56863	42.03778
0.2414606	112.502	113.8109	49.56863	42.85518
0.2573548	112.502	113.8109	49.56863	42.85518
0.2573548	112.502	113.5011	49.56863	42.85518
0.2750185	112.502	113.5011	49.56863	42.85518
0.2901779	112.502	113.5011	50.07843	42.85518
0.2921713	111.3719	113.5011	50.07843	42.85518
0.2921713	111.3719	113.5011	50.07843	43.67258
0.2921713	111.3719	112.0296	50.70588	43.67258
0.308056	111.3719	112.0296	50.70588	43.67258
0.308056	110.7095	112.0296	50.70588	43.67258
0.308056	110.7095	112.0296	50.70588	43.67258
0.323655	110.7095	112.0296	50.70588	44.13967
