// Start Time : 01/07/2022 05:29:58																																
// Update Rate : 100Hz																																
// Filter Profile : 46.1 human																																
// Firmware Version : 4.4.0																																
PacketCounter	Time_Of_Arrival	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Euler_X	Euler_Y	Euler_Z
24567	1656653427461	5.8954009466283	-0.292046725278645	8.16391901318561	1.23165366794353E-14	1.11943874309128E-15	0.261567786669982	0.0161744665734488	-0.00833261688801018	-0.0150679631994888	0.266845703125	-0.44287109375	0.5439453125	0	0	0	-0.230982447082132	0.203589949212068	-0.744108961487922	-0.59287443455857	-0.190294027973613	0.788274950243571	0.585158769682274	-0.976377768924894	-0.214102074853367	-0.029099035941594	0.102345665598623	-0.57687338676869	0.810396483439555	-2.05644519996952	-35.8142071530136	103.571860524148
24568	1656653427462	5.9225083035008	-0.411771440842148	8.09603571168442	0.0298013019268787	0.0942162344939016	0.226321030308597	-0.0320186525881826	-0.000680503763500938	-0.0144863235429185	0.26123046875	-0.458251953125	0.5537109375	0	0	0	-0.228807288860732	0.204625479521063	-0.747287124325446	-0.589353536947377	-0.200619266103638	0.787193017270789	0.583162982045459	-0.974472222074955	-0.221581643236784	-0.036131202371196	0.100775981624293	-0.575524742248846	0.811551275389955	-2.5491910496868	-35.6733188544171	104.297695543638
24569	1656653427463	5.88699057532924	-0.33046292721423	8.14824812766811	-0.0370693355416403	0.0173639213595622	0.245052711226911	0.00686481606175468	-0.0137923075981696	-0.0129145161624187	0.257080078125	-0.449951171875	0.554443359375	0	0	0	-0.228892263987576	0.204625696593259	-0.747240309150392	-0.589379823340767	-0.200479510650897	0.787142244873784	0.583279566026651	-0.974491200726847	-0.221519496265061	-0.0360001733387911	0.100870538390186	-0.575618101791054	0.811473311560732	-2.54020230346424	-35.6815419991718	104.289027313365
24570	1656653427464	5.89615282323416	-0.363533571668844	8.14870045238133	-0.00617674981135798	0.0309355761290166	0.251958614673418	-0.0170093702179675	-0.00380027873904056	-0.0148543831231587	0.260986328125	-0.453369140625	0.556884765625	0	0	0	-0.228863607702372	0.204682411629694	-0.747180086574949	-0.589447603833249	-0.200345942809392	0.787158313009459	0.583303774597694	-0.974535733644634	-0.221313265409388	-0.0360630337540962	0.10070554626996	-0.575675454413279	0.811453118877814	-2.54469520065571	-35.6832496349016	104.279617274905
24571	1656653427468	5.87218447437343	-0.387317626670691	8.1458937148725	0.0219770185005234	0.0181964956772401	0.236558159094844	0.00373517795879788	-0.0116854945471837	-0.0129783104091116	0.27294921875	-0.454833984375	0.552490234375	0	0	0	-0.228931553235662	0.204688045177365	-0.747132284141039	-0.589479853844701	-0.200207691688675	0.787119755093784	0.583403266471653	-0.974557963538685	-0.221232612145398	-0.0359570163758606	0.100765350652011	-0.575759170543054	0.811386296189152	-2.5374328305184	-35.6902680239687	104.270836542363
24572	1656653427469	5.93066203635491	-0.372032914063012	8.15099603514259	-0.00329648625729826	0.0571154314594043	0.274265793732747	-0.00688508098588288	-0.00612006596357869	-0.0126268633721415	0.26708984375	-0.455078125	0.554931640625	0	0	0	-0.228947350002128	0.204718009562822	-0.747080902079858	-0.589528432931936	-0.200078675383637	0.787111575378795	0.583458560277797	-0.974590158527269	-0.221093526650903	-0.0359398855710237	0.100710210795735	-0.575823775453721	0.811347294975278	-2.53634727055406	-35.694168845126	104.262157710768
24573	1656653427465	5.86685384609793	-0.405313334676933	8.15847148964543	0.0433319383134537	0.00923937970324195	0.244297615506307	0.000604835576767603	-0.00957996935648502	-0.013040965026049	0.26708984375	-0.454833984375	0.555908203125	0	0	0	-0.228998265748316	0.204729059438402	-0.74703211209621	-0.58956664593819	-0.199941928562913	0.787085234354013	0.583540966055025	-0.974615632592725	-0.220994364437321	-0.035858884433685	0.10073526645831	-0.575897842285274	0.811291613011462	-2.53081176474664	-35.699982693017	104.253264886334
24574	1656653427470	5.92266435922312	-0.409085261051804	8.13509360421185	0.034515871231258	0.0667316577674337	0.25803293159046	0.000531734663474854	-0.00749564010947975	-0.014668435642599	0.2646484375	-0.46435546875	0.556884765625	0	0	0	-0.229043332282737	0.204734556043783	-0.74698063226672	-0.58961245620898	-0.199792606840067	0.787072000763246	0.58360995524973	-0.974644340562025	-0.220881826089537	-0.0357718927898349	0.10075377741041	-0.57595909969189	0.81124582699675	-2.52482241743297	-35.7048503074447	104.243283215891
24575	1656653427472	5.88877490456299	-0.345554376734869	8.11671905912983	-0.0207640000783762	0.0360234356348308	0.22107946111247	0.0148401083177028	-0.0108015420374602	-0.0166285146044231	0.268310546875	-0.455810546875	0.553955078125	0	0	0	-0.229144444956786	0.204691928482657	-0.746934425954138	-0.589646505191085	-0.199619644522774	0.787046511062948	0.583703509449997	-0.974662584420118	-0.220836426659982	-0.0355544538918387	0.100919988367508	-0.576011338502717	0.811188075518995	-2.50967343487375	-35.7114516097973	104.231895995807
24576	1656653427466	5.8963878291141	-0.358354198157574	8.18783563615075	-0.00134522740016995	0.00323085370046169	0.283670758400433	-0.00818852435305459	-0.00479316999823559	-0.0137196169131629	0.26708984375	-0.45751953125	0.55859375	0	0	0	-0.229154225650606	0.204725587945418	-0.746879374918924	-0.589700749387001	-0.19948273407776	0.787043187029775	0.583754794888124	-0.974698121335764	-0.220680919625624	-0.0355458011264451	0.100847464367695	-0.576075475491887	0.811151549013749	-2.50917628471811	-35.7150706070076	104.222588773169
