TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0	45.01246	54.01833	68.3868	91.69994
0.0012181	45.01246	54.01833	68.3868	91.69994
0.0033758	44.78143	53.78465	68.61889	92.09232
0.0253212	44.85844	53.66781	68.88965	92.56319
0.0255889	44.85844	53.66781	68.88965	92.56319
0.0505305	44.81993	53.66781	69.04436	92.40623
0.051594	44.74292	53.78465	68.92833	92.6809
0.0529098	44.74292	53.78465	68.92833	92.6809
0.0745651	45.20498	53.55097	69.31513	92.64166
0.0761878	45.20498	53.55097	69.31513	92.64166
0.1005207	44.85844	53.27835	69.7793	92.79861
0.1011863	44.43488	53.08362	69.97269	93.15176
0.1045249	44.43488	53.08362	69.97269	93.15176
0.1254857	44.35787	52.53837	70.20478	93.58338
0.1271997	44.01133	52.38259	70.51422	93.81881
0.1505811	44.01133	52.38259	70.51422	93.81881
0.151672	43.62627	51.64261	70.7463	93.93652
0.1555961	43.62627	51.64261	70.7463	93.93652
0.1756491	43.24122	51.2142	71.09443	94.13272
0.1770156	42.66365	50.66896	71.24915	94.28967
0.200935	42.66365	50.66896	71.24915	94.28967
0.2019345	42.08607	50.04582	71.51991	94.48586
0.2301768	41.73952	49.73425	72.02275	94.839
0.2323089	41.73952	49.73425	72.02275	94.839
0.2501835	41.46999	49.11111	72.75768	95.38834
0.2549449	41.31597	48.79954	72.79636	95.78072
0.2563526	41.27746	48.37114	73.64732	96.09464
0.2769173	41.27746	48.37114	73.64732	96.09464
0.2780157	41.35447	48.21535	74.07281	96.76169
0.3007739	41.27746	48.21535	74.53697	97.11483
0.302013	41.27746	48.21535	74.53697	97.11483
0.3249001	41.62401	48.13746	74.80774	96.95788
0.3269659	41.73952	47.98167	74.84641	97.03635
0.3280019	41.73952	47.98167	74.84641	97.03635
0.3509232	41.66251	47.59221	75.0785	97.03635
0.3518858	41.66251	47.59221	75.0785	97.03635
0.3594098	41.46999	47.2417	75.00114	96.91864
0.3750256	41.04643	46.6575	75.15586	96.72245
0.3793831	41.04643	46.6575	75.15586	96.72245
0.4000012	40.73839	46.11226	75.42662	96.80093
0.4020485	40.58437	45.83963	75.81342	96.8794
0.4249584	40.58437	45.83963	75.81342	96.8794
0.4260458	40.27633	45.33333	75.81342	96.91864
0.4288752	40.27633	45.33333	75.81342	96.91864
0.4511187	40.23783	45.09966	76.27759	97.27178
0.4511187	40.19932	45.06071	76.74175	97.74265
0.4750563	40.19932	45.06071	76.74175	97.74265
0.4760596	40.31483	45.1386	77.2446	98.01731
0.4815867	40.19932	44.90493	77.20592	98.29198
0.5006189	40.19932	44.90493	77.20592	98.29198
0.5016129	40.23783	44.67125	76.93515	98.44893
0.5259717	40.31483	44.67125	76.93515	98.44893
0.5259717	40.31483	45.17755	77.2446	98.37045
0.5309703	40.58437	44.86598	76.97383	98.2135
0.5509249	40.58437	44.86598	76.97383	98.2135
0.5509249	40.35334	44.82703	76.74175	98.25274
0.5748904	40.66138	45.02176	76.20023	98.09579
0.5763574	40.66138	45.02176	76.20023	98.09579
0.6008374	40.69989	45.1386	76.20023	97.93884
0.6018344	40.50736	45.45017	75.92947	97.54645
0.603172	40.50736	45.45017	75.92947	97.54645
0.6255462	40.85391	45.95647	75.69738	97.50721
0.62602	40.85391	45.95647	75.69738	97.50721
0.6505177	41.20045	46.50172	75.11718	97.07559
0.651119	41.5085	47.1638	74.92377	96.44778
0.6531127	41.5085	47.1638	74.92377	96.44778
0.6746998	41.5855	47.35853	74.88509	96.25159
0.6762461	41.70102	47.51432	74.73038	96.29082
0.7004362	41.70102	47.51432	74.73038	96.29082
0.7015687	41.5085	47.90378	74.92377	96.40854
0.7029379	41.93205	48.13746	74.57565	96.17311
0.7252598	41.93205	48.13746	74.57565	96.17311
0.7268356	42.58664	49.03322	74.26621	95.81997
0.7506676	42.58664	49.03322	74.26621	95.81997
0.751684	43.24122	49.85109	73.53129	95.07444
0.75424	43.89581	51.40894	72.17747	94.17196
0.7742635	43.89581	51.40894	72.17747	94.17196
0.78025	44.51189	52.34364	71.44255	92.9948
0.7843474	45.12797	53.39519	70.39818	92.05309
0.8002197	45.12797	53.39519	70.39818	92.05309
0.8255243	45.359	54.21306	69.70193	91.58223
0.826879	45.359	54.21306	69.70193	91.58223
0.8704783	45.70555	54.99198	68.77361	90.79746
0.8720158	45.70555	54.99198	68.77361	90.79746
0.8760784	46.01359	55.53723	68.15472	90.05193
0.9008725	46.36013	55.80985	68	89.85574
0.90131	46.28313	55.69301	68	89.89498
0.9261842	46.28313	55.69301	68	89.89498
0.9261842	46.70668	55.73196	68.15472	89.77727
0.9499395	46.36013	55.45934	68.03868	89.93422
0.9519043	46.43715	55.65407	68.15472	90.3266
0.9757587	46.43715	55.65407	68.15472	90.3266
0.9767522	46.47565	55.42039	68.61889	90.24812
0.9999598	46.28313	55.03093	68.88965	90.56203
1.0019527	45.89808	54.56358	69.08305	90.87594
1.0249509	45.89808	54.56358	69.08305	90.87594
1.0269981	45.47452	53.90149	69.35381	91.03289
1.0279974	45.12797	52.92783	69.7793	91.26832
1.0497198	45.12797	52.92783	69.7793	91.26832
1.0517244	44.70442	52.3047	69.85666	91.38603
1.0758032	44.31937	52.03207	70.28214	92.01385
1.076801	44.31937	52.03207	70.28214	92.01385
1.0779476	43.97282	51.40894	70.97839	92.367
1.1008541	43.97282	51.40894	70.97839	92.367
1.1008541	44.01133	51.17526	71.1331	92.95557
1.1257977	43.97282	50.63001	71.67463	93.30872
1.1257977	43.97282	50.63001	71.67463	93.30872
1.1282778	43.54926	50.35739	72.40955	94.09348
1.1507525	43.47225	50.00687	72.719	94.56434
1.1517566	43.47225	50.00687	72.719	94.56434
1.1755555	43.51076	49.85109	72.9124	95.07444
1.1766448	43.51076	49.85109	72.9124	95.07444
1.1794113	43.20272	49.57846	73.26052	94.91748
1.2006413	43.16421	49.6953	73.22184	95.34911
1.2012608	43.16421	49.6953	73.22184	95.34911
1.2258671	43.27973	49.65636	72.87372	95.15292
1.2268638	43.20272	49.53952	72.40955	94.68205
1.2305199	43.20272	49.53952	72.40955	94.68205
1.2505951	43.16421	49.7732	72.25484	94.32891
1.2511908	43.24122	49.7732	72.25484	94.32891
1.2756641	43.24122	49.81214	72.06143	93.89729
1.276756	43.39524	49.89003	72.17747	93.85805
1.2798342	43.39524	49.89003	72.17747	93.85805
1.3019193	43.51076	49.65636	72.06143	93.77957
1.3032194	43.27973	50.04582	72.21616	93.89729
1.3252969	43.27973	50.04582	72.21616	93.89729
1.3268686	43.43375	49.6953	72.37087	94.13272
1.330224	43.12571	49.6953	72.37087	94.13272
1.3503879	43.12571	49.50057	72.48692	94.28967
1.3521008	43.20272	49.46163	72.9124	94.76053
1.3756307	43.20272	49.46163	72.9124	94.76053
1.3766599	43.20272	49.53952	72.83504	94.64281
1.3992828	43.24122	49.50057	72.9124	94.87824
1.4017505	43.24122	49.50057	72.9124	94.87824
1.4257693	43.54926	49.89003	72.719	95.0352
1.4271765	43.54926	49.89003	72.719	95.0352
1.4507565	43.7803	50.43528	72.40955	94.48586
1.4517488	43.7803	50.43528	72.40955	94.48586
1.4528445	43.8188	50.94158	72.17747	94.13272
1.4749615	44.31937	51.09737	71.82935	94.13272
1.4759681	44.31937	51.09737	71.82935	94.13272
1.509948	44.24236	51.36999	71.51991	93.85805
1.5150757	44.31937	51.48683	71.24915	93.34795
1.5257421	44.04983	51.56472	70.78498	93.11252
1.5503316	44.04983	51.56472	70.78498	93.11252
1.5518896	44.04983	51.64261	70.70762	92.91633
1.5539539	44.04983	51.64261	70.70762	92.91633
1.5752462	44.35787	51.99313	70.59158	92.6809
1.5767581	44.74292	52.18786	70.3595	92.95557
1.6011066	44.74292	52.18786	70.3595	92.95557
1.6011066	44.66591	52.53837	70.32082	92.95557
1.6057984	45.01246	52.92783	70.24346	92.87709
1.6252597	45.01246	52.92783	70.24346	92.87709
1.626832	45.16648	53.00573	70.39818	93.07328
1.6511342	45.16648	53.00573	70.39818	93.07328
1.6511342	45.16648	53.3173	70.1661	92.52395
1.654905	45.62854	53.51203	69.66325	92.24928
1.6758558	45.62854	53.51203	69.66325	92.24928
1.6758558	45.43601	53.62886	69.16041	91.97461
1.7006535	45.74405	54.252	68.88965	91.42528
1.7017762	45.74405	54.252	68.88965	91.42528
1.7248082	45.93658	54.95304	68.58021	90.95441
1.7268587	45.97509	55.06987	68	90.16965
1.750991	46.39864	55.65407	67.76712	89.97346
1.750991	46.39864	55.65407	67.76712	89.97346
1.7759419	46.74519	56.16037	67.49543	89.46336
1.7759419	46.8607	56.51088	67.61187	89.42412
1.8015805	46.8607	56.51088	67.61187	89.50259
1.8025791	47.05323	56.54983	67.34018	89.46336
1.8059246	47.05323	56.54983	67.34018	89.46336
1.8256371	46.97622	56.3551	67.84475	89.81651
1.8262716	46.97622	56.3551	67.84475	89.81651
1.8504451	46.70668	56.04353	67.76712	89.97346
1.8514435	46.55266	55.7709	67.76712	89.97346
1.8758072	46.55266	55.7709	67.76712	89.97346
1.876802	46.47565	55.69301	68.11604	89.65955
1.8781651	46.43715	55.53723	68.23208	90.05193
1.9001688	46.43715	55.53723	68.23208	90.05193
1.9019428	46.1291	55.30355	68.23208	89.93422
1.9255437	46.1291	55.30355	68.23208	89.93422
1.9262066	46.51416	55.18671	68.42548	89.73803
1.931973	46.74519	55.42039	68.46416	89.69879
1.9507185	46.74519	55.42039	68.46416	89.69879
1.9523023	46.70668	55.49828	68.30944	89.58107
1.9754774	47.01472	55.96564	68.19341	89.26717
1.9772792	47.01472	55.96564	68.19341	89.26717
1.9803238	47.36127	56.39404	68.34812	89.22793
2.0002144	47.66931	56.39404	68.34812	89.22793
2.0032254	47.66931	56.51088	67.92237	88.91402
2.0256564	47.78482	56.74456	67.76712	88.83555
2.0266807	47.78482	56.74456	67.76712	88.83555
2.0300813	47.90034	56.90034	67.61187	88.63935
2.0502244	48.01585	57.17297	67.57306	88.20773
2.0519697	48.01585	57.17297	67.57306	88.20773
2.0752279	47.74632	57.21191	67.45662	87.85458
2.0766496	48.24689	57.17297	66.99087	87.50144
2.0801996	48.24689	57.17297	66.99087	87.50144
2.1001888	48.43941	57.48454	67.0685	87.54068
2.1020012	48.43941	57.48454	67.0685	87.54068
2.1256243	48.28539	57.48454	67.02968	87.34449
2.126704	48.24689	57.40664	67.14612	87.34449
2.1541742	48.24689	57.40664	67.14612	87.34449
2.1753252	48.05436	57.01718	67.379	87.34449
2.1768794	47.5923	56.74456	67.57306	87.61916
2.2006457	47.5923	56.74456	67.57306	87.61916
2.2023281	47.51529	56.54983	67.96119	87.89383
2.2257875	47.39977	56.16037	68.27076	88.1685
2.2262644	47.55379	56.27721	68.69624	88.28621
2.2503625	47.32276	56.04353	68.85097	88.56087
2.2512337	47.32276	56.04353	68.85097	88.56087
2.2522869	47.51529	56.27721	68.69624	88.52164
2.2752002	47.51529	56.27721	68.69624	88.52164
2.2761372	47.55379	56.27721	68.58021	87.77611
2.29869	47.93885	56.54983	68.23208	87.38373
2.301727	47.93885	56.54983	68.23208	87.38373
2.3036828	48.09286	56.58878	68.27076	86.99135
2.3236916	48.43941	56.70561	67.92237	86.75591
2.3277518	48.43941	56.70561	67.92237	86.75591
2.3507404	48.05436	56.90034	68.03868	87.1483
2.3517358	48.28539	56.93929	67.84475	86.91286
2.353577	48.28539	56.93929	67.84475	86.91286
2.3758479	48.47792	56.82245	67.80594	86.55972
2.3774274	48.47792	56.82245	67.80594	86.55972
2.3997773	48.43941	56.62772	68.07736	86.67744
2.4013778	48.16988	56.62772	68.27076	86.91286
2.404789	48.16988	56.62772	68.27076	86.91286
2.4257094	48.13137	56.51088	68.58021	87.03059
2.4267028	47.82333	56.08247	68.69624	86.99135
2.4506348	47.82333	56.08247	68.69624	86.99135
2.4513187	47.82333	56.04353	68.96701	87.38373
2.4556376	47.82333	56.04353	68.96701	87.38373
2.4754581	47.47678	55.69301	69.35381	87.73687
2.4764566	47.24575	55.26461	69.43118	88.01154
2.4994728	47.24575	55.26461	69.43118	88.01154
2.5013529	47.13024	55.10882	69.81798	88.24697
2.5247622	47.13024	54.87514	69.81798	88.12926
2.5270359	47.13024	54.87514	69.81798	88.12926
2.5544123	46.8222	54.252	70.66895	88.63935
2.5557722	46.8222	54.252	70.66895	88.63935
