TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0036105	51.17327	45.95647	58.76256	63.99075
0.0103371	50.94224	45.91753	58.95662	63.79422
0.0304355	50.86523	46.2291	58.72374	64.06937
0.0304355	50.86523	46.2291	58.72374	64.06937
0.0396119	51.05776	46.1512	58.64612	63.75491
0.0494204	51.05776	46.1512	58.64612	63.75491
0.0494204	51.05776	46.42382	58.37443	63.55838
0.0792853	51.28879	46.50172	58.14155	63.40116
0.0792853	51.28879	46.50172	58.14155	63.40116
0.1137745	51.3658	46.54066	58.14155	63.0867
0.1137745	51.4043	47.1638	57.71461	62.92948
0.1283071	51.98188	47.6701	57.59818	62.49711
0.1478549	51.98188	47.6701	57.59818	62.49711
0.1478549	52.21291	47.78694	57.55936	62.26127
0.1632672	52.21291	47.78694	57.55936	62.26127
0.1806912	51.98188	47.748	57.32648	62.10405
0.1806912	52.1744	48.44903	57.05479	61.71098
0.204361	52.1744	48.44903	57.05479	61.71098
0.204361	52.79049	48.44903	56.93835	61.55376
0.2136191	52.79049	48.48797	56.7831	61.51445
0.2323679	52.79049	48.48797	56.7831	61.51445
0.2323679	52.71348	48.52692	56.93835	61.51445
0.2390413	52.67497	48.6827	56.89954	61.27861
0.25523	52.67497	48.6827	56.89954	61.27861
0.25523	52.71348	48.7606	56.82192	61.47514
0.2705732	52.71348	48.7606	56.82192	61.47514
0.2864432	52.63647	48.44903	56.7831	61.39653
0.3059904	52.98301	48.7606	56.7831	61.55376
0.3059904	52.98301	48.7606	56.7831	61.55376
0.3140448	52.67497	48.64376	56.62785	61.47514
0.333377	52.75198	48.56586	56.39498	61.39653
0.333377	52.75198	48.56586	56.39498	61.39653
0.3552221	52.79049	48.72165	56.51142	61.31792
0.3552221	52.79049	48.72165	56.51142	61.31792
0.3640425	52.82899	48.83849	56.4726	61.23931
0.3858474	52.94451	48.6827	56.35616	61.16069
0.3868412	52.94451	48.6827	56.35616	61.16069
0.4062075	52.94451	48.64376	56.51142	61.08208
0.4062075	52.98301	48.60481	56.43379	61.08208
0.4157691	52.98301	48.60481	56.43379	61.08208
0.4336597	53.06002	48.60481	56.23973	60.96416
0.4336597	53.06002	48.60481	56.23973	60.96416
0.4552378	52.79049	48.52692	56.66667	61.31792
0.4552378	52.75198	48.56586	56.55023	61.59306
0.4640395	52.75198	48.56586	56.55023	61.59306
0.4833735	52.94451	48.48797	56.89954	61.90751
0.4833735	52.94451	48.48797	56.89954	61.90751
0.5052382	52.906	48.41008	56.7831	61.7896
0.5052382	52.94451	48.33219	56.86073	61.59306
0.5140427	52.94451	48.33219	56.86073	61.59306
0.5348073	52.8675	47.94273	56.39498	61.59306
0.5369284	52.59796	48.09851	56.58904	61.55376
0.5546448	52.59796	48.09851	56.58904	61.55376
0.5546448	52.48244	47.748	56.97717	62.10405
0.5802278	52.67497	47.82589	56.82192	62.18266
0.5802278	52.67497	47.82589	56.82192	62.18266
0.58767	52.32843	47.55326	57.32648	62.30058
0.6045541	52.32843	47.55326	57.32648	62.30058
0.6045541	52.63647	47.47537	57.24886	62.33989
0.6302336	52.40544	47.47537	57.40411	62.18266
0.6302336	52.40544	47.47537	57.40411	62.18266
0.6376602	52.40544	47.08591	57.63699	62.30058
0.6544775	51.98188	47.20275	57.59818	62.77225
0.6544775	51.98188	47.20275	57.59818	62.77225
0.6811835	51.82786	47.1638	57.79224	62.61503
0.6811835	51.86636	46.77434	57.59818	62.65434
0.6876409	51.86636	46.77434	57.59818	62.65434
0.704507	52.05889	46.89118	57.83105	62.96878
0.704507	52.05889	46.89118	57.83105	62.96878
0.7301534	52.05889	46.96907	58.06393	63.12601
0.7301534	51.75085	47.31959	57.71461	62.65434
0.7390071	51.75085	47.31959	57.71461	62.65434
0.7572971	51.86636	47.1638	57.75343	62.81156
0.7572971	51.86636	46.81329	57.48174	62.61503
0.7744649	51.94337	47.20275	57.48174	63.0474
0.7744649	51.94337	47.20275	57.48174	63.0474
0.8104473	51.71235	47.28064	57.59818	62.73295
0.8120687	51.75085	47.20275	57.55936	62.85087
0.8301707	51.75085	47.20275	57.55936	62.85087
0.8301707	51.75085	47.2417	57.59818	62.92948
0.8383858	51.94337	47.51432	57.32648	62.89017
0.8597949	51.94337	47.51432	57.32648	62.89017
0.8614488	52.1359	47.70905	57.17123	62.92948
0.8791535	52.1359	47.70905	57.17123	62.92948
0.8791535	52.25142	47.86483	57.05479	62.61503
0.8883704	52.25142	47.94273	56.7831	62.4185
0.9042909	52.25142	47.94273	56.7831	62.4185
0.9042909	52.1359	48.37114	56.55023	62.4578
0.9310788	52.25142	48.52692	56.58904	62.22197
0.9310788	52.25142	48.52692	56.58904	62.22197
0.9542482	52.1744	48.37114	56.43379	62.10405
0.9542482	52.28992	48.64376	56.31735	62.18266
0.9806838	52.36693	48.7606	56.35616	62.33989
0.9806838	52.36693	48.7606	56.35616	62.33989
1.0108192	52.36693	48.60481	56.27854	62.18266
1.0118217	52.40544	48.72165	56.58904	62.22197
1.0132392	52.40544	48.72165	56.58904	62.22197
1.0358085	52.1744	48.56586	56.4726	62.33989
1.036938	52.44394	48.41008	56.43379	62.26127
