TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0243217	57.33409	47.31959	57.48174	57.34798
0.2059082	57.33409	47.31959	57.48174	57.34798
0.2059082	57.21857	47.12486	57.55936	57.5052
0.2059082	57.37259	46.73539	57.48174	57.74104
0.2059082	57.37259	46.73539	57.48174	57.74104
0.2059082	56.87203	46.34593	57.86986	57.89827
0.2059082	56.71801	46.11226	58.14155	58.13411
0.2059082	56.641	46.07331	58.37443	58.21272
0.2059082	56.641	46.07331	58.37443	58.21272
0.2059082	56.71801	45.99542	58.68493	58.60578
0.2059082	56.48698	45.60596	58.76256	58.64509
0.2059082	56.40997	45.37228	58.76256	58.68439
0.2059082	56.48698	45.68385	58.80137	58.56647
0.2059082	56.48698	45.68385	58.80137	58.56647
0.2059082	56.37146	45.45017	58.80137	58.64509
0.2059082	56.37146	45.52806	58.64612	58.56647
0.2059082	56.37146	45.33333	59.1895	59.03815
0.2059082	56.37146	45.33333	59.1895	59.03815
0.2059082	56.29445	45.33333	59.30593	58.95954
0.2226396	56.21744	45.45017	59.26712	58.80231
0.2226396	56.21744	45.45017	59.26712	58.80231
0.2479288	56.02491	45.33333	59.42237	59.15607
0.2545956	55.9094	44.98282	58.84018	58.84162
0.2559896	55.9094	44.98282	58.84018	58.84162
0.2757456	55.8709	45.06071	58.56849	59.03815
0.2757456	55.8709	45.06071	58.56849	59.03815
0.2968	55.60136	44.90493	58.64612	58.95954
0.2968	55.75538	44.98282	58.91781	59.39191
0.3064268	55.75538	44.98282	58.91781	59.39191
0.3274309	55.60136	45.41122	58.95662	59.43121
0.3297777	55.67837	45.37228	58.84018	59.70636
0.3621673	55.67837	45.37228	58.84018	59.70636
0.3621673	55.67837	45.41122	59.1895	59.82428
0.3648666	55.56285	45.17755	59.07306	59.78497
0.3648666	55.56285	45.45017	58.76256	59.86358
0.3969769	55.56285	45.45017	58.76256	59.86358
0.3969769	55.52435	45.45017	58.52968	59.39191
0.4222302	55.44734	45.41122	58.45205	59.90289
0.4222302	55.44734	45.41122	58.45205	59.90289
0.4472488	55.25481	45.29439	58.56849	60.17804
0.4472488	55.25481	45.29439	58.56849	60.17804
0.4598086	55.10079	45.60596	58.60731	60.45318
0.4645915	55.10079	45.60596	58.60731	60.45318
0.4806541	55.1393	45.6449	58.33562	60.37457
0.4995099	55.02378	45.80069	58.21918	60.53179
0.4995099	55.02378	45.80069	58.21918	60.53179
0.5221831	54.63873	45.45017	58.18037	60.29596
0.5221831	54.67724	45.45017	58.41324	60.72832
0.5312717	54.67724	45.45017	58.41324	60.72832
0.5501635	54.48471	45.68385	58.02512	60.72832
0.5501635	54.48471	45.68385	58.02512	60.72832
0.5721257	54.29219	45.37228	58.25799	60.76763
0.5721257	54.29219	45.37228	58.49087	61.12139
0.5811863	54.29219	45.37228	58.49087	61.12139
0.5989162	53.94564	45.37228	58.33562	61.31792
0.5989162	53.98415	45.41122	58.52968	61.16069
0.6221298	53.98415	45.41122	58.52968	61.16069
0.6221298	54.06115	44.94387	58.41324	61.35723
0.6312354	54.06115	44.94387	58.41324	61.35723
0.6501314	53.75311	45.1386	58.49087	61.59306
0.6501314	53.79162	45.09966	58.56849	61.90751
0.6721469	53.79162	45.09966	58.56849	61.90751
0.6721469	53.94564	45.1386	58.56849	62.06474
0.68123	53.90714	45.1386	58.64612	62.02543
0.6988086	53.90714	45.1386	58.64612	62.02543
0.6988086	54.02265	45.33333	58.49087	62.06474
0.722135	53.79162	45.45017	58.60731	61.7896
0.722135	53.79162	45.45017	58.60731	61.7896
0.7487069	53.79162	45.41122	58.45205	62.06474
0.7487069	53.79162	45.41122	58.45205	62.06474
0.7722058	53.79162	45.91753	58.33562	61.75029
0.7722058	53.79162	45.91753	58.33562	61.75029
0.7972216	53.86863	45.83963	57.83105	61.7896
0.7972216	53.86863	45.95647	57.90868	61.71098
0.8062526	53.86863	45.95647	57.90868	61.71098
0.8239604	53.6376	45.80069	57.48174	62.06474
0.8299259	54.02265	46.03436	57.40411	61.94682
0.8546642	54.02265	46.03436	57.40411	61.94682
0.8546642	53.90714	46.34593	57.55936	61.86821
0.8572294	53.90714	46.34593	57.55936	61.86821
0.8746812	54.06115	46.30699	57.44292	61.90751
0.8746812	53.79162	46.26804	57.55936	61.8289
0.8970532	53.79162	46.26804	57.55936	61.8289
0.8970532	53.98415	46.46277	57.28767	62.06474
0.90621	54.02265	46.73539	57.21004	61.59306
0.9282037	54.02265	46.73539	57.21004	61.59306
0.9304743	54.09966	46.6575	57.17123	61.51445
0.9535389	54.06115	46.77434	57.01598	61.59306
0.954639	54.06115	46.77434	57.01598	61.59306
0.9561067	53.98415	46.81329	57.09361	61.43584
1.0013997	53.98415	46.81329	57.09361	61.43584
1.002542	54.36919	46.73539	57.13242	61.23931
1.0280125	54.13816	46.73539	57.17123	61.59306
1.0297691	54.06115	46.57961	57.09361	61.43584
1.0492386	54.36919	46.61856	57.32648	61.47514
1.0492386	54.36919	46.61856	57.32648	61.47514
1.0746031	54.29219	46.54066	57.01598	61.16069
1.0794617	54.29219	46.85223	56.86073	61.00347
1.0819667	54.29219	46.85223	56.86073	61.00347
1.0989296	54.29219	46.57961	56.66667	60.96416
1.0989296	54.60023	46.61856	57.09361	61.04277
1.1220123	54.60023	46.61856	57.09361	61.04277
1.1220123	54.71574	46.6575	57.24886	61.08208
1.1311536	54.63873	46.46277	57.09361	61.12139
1.1504525	54.63873	46.46277	57.09361	61.12139
1.1504525	54.71574	46.73539	57.3653	60.96416
1.1736358	54.71574	46.73539	57.3653	60.96416
1.1736358	54.90827	46.6575	57.01598	60.49249
1.1810584	55.02378	46.6575	57.21004	60.68902
1.1986972	55.02378	46.6575	57.21004	60.68902
1.1986972	54.90827	46.38488	57.32648	60.84624
1.2222036	54.67724	46.42382	57.3653	60.72832
1.2222036	54.67724	46.42382	57.3653	60.72832
1.2322153	54.90827	46.42382	57.52055	60.72832
1.2499592	54.90827	46.42382	57.52055	60.72832
1.2499592	54.56172	46.50172	57.59818	60.76763
1.2721298	54.94677	46.30699	57.63699	60.80694
1.2721298	54.94677	46.30699	57.63699	60.80694
1.2812301	54.71574	46.19015	57.83105	60.49249
1.2971535	54.98528	45.76174	57.9863	60.80694
1.2971535	54.98528	45.76174	57.9863	60.80694
1.3264793	54.79275	46.2291	57.90868	60.84624
1.3264793	54.79275	46.2291	57.90868	60.84624
1.3326409	54.71574	46.1512	57.9863	60.53179
1.3513718	54.67724	45.83963	58.18037	60.25665
1.3513718	54.67724	45.83963	58.18037	60.25665
1.3721557	54.75425	45.99542	57.86986	60.33526
1.3721557	54.90827	46.03436	58.06393	60.53179
1.3812212	54.90827	46.03436	58.06393	60.53179
1.3971444	55.1393	46.2291	57.9863	60.41387
1.3971444	55.1393	46.2291	57.9863	60.41387
