TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0053864	58.1427	45.06071	66.25343	69.60877
0.0363316	58.1427	45.06071	66.25343	69.60877
0.0377331	58.29671	44.6323	66.56393	70.1581
0.0615843	58.1427	44.67125	66.83562	70.27583
0.0627026	58.06569	44.6323	67.22375	70.8644
0.0862734	57.87316	44.35968	67.57306	70.8644
0.087858	57.87316	44.47652	67.49543	70.98211
0.110533	57.87316	44.47652	67.49543	70.98211
0.1133381	58.06569	44.2039	67.57306	71.25678
0.1133381	57.56512	44.2039	67.76712	70.90363
0.1363847	57.56512	44.2039	67.76712	70.90363
0.1380001	57.37259	43.89233	67.88356	71.21754
0.1612144	57.37259	43.89233	67.88356	71.21754
0.1622137	57.52662	43.58076	68.11604	71.13907
0.1641533	57.25708	43.85338	67.84475	71.25678
0.1861745	57.25708	43.85338	67.84475	71.25678
0.188211	57.4111	43.65865	68	71.17831
0.2101271	57.52662	43.73654	67.61187	71.29602
0.2161119	57.52662	43.73654	67.61187	71.29602
0.2360851	57.37259	43.77549	67.76712	71.49221
0.237088	57.4496	43.30813	68.07736	71.45297
0.2608868	57.10306	43.50286	68.27076	71.76688
0.2622436	57.10306	43.50286	68.27076	71.76688
0.2650644	56.98754	43.38602	68.42548	71.92383
0.287235	57.21857	43.23024	68.23208	71.45297
0.287235	57.21857	43.23024	68.23208	71.45297
0.3113504	56.91053	43.1913	68.19341	72.12003
0.3128769	56.91053	43.1913	68.3868	72.04155
0.3203827	56.91053	43.1913	68.3868	72.04155
0.3369585	56.79502	42.99656	68.46416	72.1985
0.3369585	56.79502	42.99656	68.46416	72.1985
0.3619095	56.52548	42.6071	68.65756	72.1985
0.3629059	56.44847	42.52921	69.04436	72.31622
0.3856594	56.44847	42.52921	69.04436	72.31622
0.3872582	56.33295	42.33448	68.85097	72.63012
0.4111799	56.21744	42.45132	69.00569	72.66936
0.4129802	55.8709	42.68499	68.85097	72.7086
0.4368554	55.8709	42.68499	68.85097	72.7086
0.4378888	56.17894	42.33448	68.81229	72.51241
0.4390006	56.17894	42.56816	69.16041	72.55164
0.4615344	56.17894	42.56816	69.16041	72.55164
0.4626416	56.25595	42.49026	68.96701	72.78707
0.4864883	56.29445	42.33448	68.96701	73.10098
0.4876574	56.29445	42.33448	68.96701	73.10098
0.4887196	56.44847	42.25659	69.08305	72.78707
0.5120578	56.25595	42.33448	69.04436	72.98327
0.5120578	56.25595	42.33448	69.04436	72.98327
0.5366015	56.56399	42.29553	69.08305	72.86555
0.5367918	56.56399	42.29553	69.08305	72.86555
0.5391034	56.52548	42.02291	68.77361	72.74783
0.5667191	56.25595	42.1787	68.73492	72.74783
0.5674828	56.25595	42.1787	68.73492	72.74783
0.5704063	56.10192	41.82818	69.04436	73.02251
0.5865573	56.10192	41.82818	69.23777	72.78707
0.5900345	56.10192	41.82818	69.23777	72.78707
0.6109007	56.29445	41.86713	69.19909	72.78707
0.6124261	56.29445	41.86713	69.19909	72.78707
0.635845	56.10192	41.71134	69.39249	72.7086
0.6378396	56.21744	41.51661	69.58589	72.98327
0.6418079	56.21744	41.51661	69.58589	72.98327
0.6615592	56.17894	41.1661	69.81798	73.06174
0.6632037	55.9094	40.89347	70.12742	73.29717
0.686553	55.9094	40.89347	70.12742	73.29717
0.6882102	55.75538	40.81558	70.28214	73.2187
0.691549	56.06342	40.73769	70.47554	73.45412
0.7103869	56.06342	40.73769	70.47554	73.45412
0.71535	56.33295	40.97136	70.39818	73.29717
0.7353539	56.33295	40.97136	70.39818	73.29717
0.7377725	56.48698	40.85453	70.39818	72.94403
0.7613053	56.91053	41.55556	70.1661	73.06174
0.7630856	56.91053	41.55556	70.1661	73.06174
0.7852564	57.06455	42.1787	69.39249	72.15926
0.7878267	57.06455	42.1787	69.39249	72.15926
0.810243	57.18007	42.6071	68.96701	72.00231
0.8128319	57.18007	42.6071	68.96701	72.00231
0.8352074	57.60362	43.34708	68.50285	71.25678
0.8378406	57.60362	43.34708	68.50285	71.25678
0.8616848	57.87316	43.89233	68.11604	70.90363
0.8626773	58.41223	44.32073	67.65069	70.62897
0.8640152	58.41223	44.32073	67.65069	70.62897
0.8861093	58.48924	45.25544	67.41781	70.04039
0.8880766	58.48924	45.25544	67.41781	70.04039
0.9111131	58.79728	45.45017	66.83562	69.37334
0.9121154	58.83579	45.91753	66.68037	69.21638
0.9141348	58.83579	45.91753	66.68037	69.21638
0.936061	58.68177	45.72279	66.44749	69.05943
0.9380465	58.75878	45.60596	66.1758	69.05943
0.9610066	58.75878	45.60596	66.1758	69.05943
0.9630174	58.75878	45.87858	66.13699	69.0202
0.9649768	58.75878	45.87858	66.13699	69.0202
0.9859824	58.52775	45.87858	66.25343	69.25562
0.9879557	58.48924	45.80069	66.40868	69.33411
1.0111191	58.48924	45.80069	66.40868	69.33411
1.0121179	58.41223	45.76174	66.68037	69.37334
1.0149703	58.06569	45.56701	67.0685	70.07963
1.0357808	58.06569	45.56701	67.0685	70.07963
1.0378282	58.33522	45.29439	67.379	70.1581
1.0447853	58.25821	45.1386	67.26256	70.70744
1.06077	58.25821	45.1386	67.26256	70.70744
1.0867831	58.37373	45.37228	67.18493	70.39354
1.0877761	58.37373	45.37228	67.18493	70.39354
1.110765	58.29671	45.41122	66.64156	69.92268
1.112953	58.29671	45.41122	66.64156	69.92268
1.115768	58.2197	45.17755	66.75799	69.72649
1.1357249	58.45074	45.17755	66.33105	69.80496
1.1376233	58.45074	45.17755	66.33105	69.80496
1.1606848	58.72027	44.98282	66.56393	69.33411
1.1628576	58.72027	44.98282	66.56393	69.33411
1.2056398	58.72027	45.25544	66.1758	69.5303
1.2075004	58.98981	45.60596	66.33105	69.33411
1.208498	59.29785	45.37228	66.40868	69.17715
1.2365683	59.29785	45.37228	66.40868	69.17715
1.237566	59.45187	45.91753	66.60274	68.98096
1.2390541	59.60589	45.91753	66.44749	69.05943
1.2625466	59.60589	45.91753	66.44749	69.05943
1.2643626	59.91393	46.11226	66.13699	68.94172
1.2864622	59.91393	46.11226	66.13699	68.94172
1.2875861	60.06795	46.42382	66.13699	68.62782
1.2904754	59.91393	45.91753	65.90411	68.47086
1.3114462	59.91393	45.91753	65.90411	68.47086
1.3127974	59.52888	45.72279	66.02055	68.54934
1.3354134	59.49038	45.72279	65.94292	68.66705
1.3378041	59.49038	45.72279	65.94292	68.66705
1.3412741	59.52888	45.80069	66.02055	68.58858
1.3613795	59.83692	46.03436	65.82648	68.58858
1.3654172	59.83692	46.03436	65.82648	68.58858
1.3853739	59.95243	46.07331	65.63242	68.54934
