TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0019967	127.1931	79.69476	57.09804	34.01946
0.0069872	127.1931	79.69476	57.09804	34.68117
0.011973	127.1931	80.00455	57.09804	34.68117
0.0169532	127.1931	80.00455	57.09804	34.68117
0.0223636	127.1931	80.00455	57.56863	34.68117
0.0271446	127.1931	80.00455	57.56863	34.68117
0.0323437	127.1931	80.00455	57.56863	34.68117
0.0373764	127.1931	80.00455	57.56863	34.68117
0.0424484	127.1931	80.00455	57.56863	34.99256
0.0424484	127.1931	79.84966	57.56863	34.99256
0.0424484	127.1931	79.84966	57.56863	34.99256
0.0424484	127.1931	79.84966	57.56863	34.99256
0.0581789	127.1931	79.84966	57.56863	34.99256
0.0581789	126.5696	79.84966	57.56863	34.99256
0.0722787	126.5696	79.84966	57.56863	34.99256
0.0773474	126.5696	79.84966	57.56863	34.83686
0.0823417	126.5696	79.84966	57.56863	34.83686
0.0873337	126.5696	79.34624	57.56863	34.83686
0.0922823	126.5696	79.34624	57.09804	34.83686
0.0973427	126.5696	79.34624	57.09804	34.83686
0.1023435	127.0372	79.34624	57.09804	34.83686
0.1073378	127.0372	79.34624	57.09804	34.83686
0.1094934	127.0372	79.34624	57.09804	34.99256
0.1094934	127.0372	79.34624	57.09804	34.99256
0.1094934	127.0372	79.19135	57.09804	34.99256
0.1252569	127.0372	79.19135	57.09804	34.99256
0.1252569	127.0372	79.19135	57.2549	34.99256
0.1408802	126.8814	79.19135	57.2549	34.99256
0.1408802	126.8814	79.19135	57.2549	34.99256
0.1408802	126.8814	79.19135	57.2549	34.99256
0.1565071	126.8814	78.88155	57.2549	34.99256
0.1565071	126.8814	78.88155	57.2549	34.99256
0.1565071	126.8814	78.88155	58.23529	34.99256
0.1721265	126.8814	78.88155	58.23529	34.99256
0.1721265	126.8814	78.88155	58.23529	34.99256
0.1721265	126.8814	78.88155	58.23529	34.99256
0.1876034	126.8814	78.88155	58.23529	34.48655
0.1876034	126.8814	78.06834	58.23529	34.48655
0.1876034	126.8814	78.06834	58.23529	34.48655
0.1876034	126.8814	78.06834	57.88235	34.48655
0.2032744	126.8814	78.06834	57.88235	34.48655
0.2032744	127.0372	78.06834	57.88235	34.48655
0.2032744	127.0372	78.06834	57.88235	34.48655
0.2189589	127.0372	78.06834	57.88235	34.17516
0.2189589	127.0372	78.06834	57.88235	34.17516
0.2189589	127.0372	78.88155	57.88235	34.17516
0.2348645	127.0372	78.88155	58.54902	34.17516
0.2348645	127.0372	78.88155	58.54902	34.17516
0.2348645	126.8814	78.88155	58.54902	34.17516
0.250211	126.8814	78.88155	58.54902	34.17516
0.250211	126.8814	78.88155	58.54902	34.68117
0.250211	126.8814	78.88155	58.54902	34.68117
0.2661026	126.8814	78.06834	58.54902	34.68117
0.2661026	126.8814	78.06834	57.88235	34.68117
0.2661026	126.8814	78.06834	57.88235	34.68117
0.2814598	127.5438	78.06834	57.88235	34.68117
0.2814598	127.5438	78.06834	57.88235	34.68117
0.2814598	127.5438	78.06834	57.88235	34.68117
0.2971071	127.5438	78.06834	57.88235	34.68117
0.2971071	127.5438	78.06834	57.88235	34.68117
0.2971071	127.5438	78.06834	57.88235	34.68117
0.3125718	127.5438	78.06834	57.72549	34.68117
0.3125718	127.5438	78.06834	57.72549	34.68117
0.3125718	127.5438	78.06834	57.72549	34.68117
0.3125718	127.5438	78.06834	57.72549	33.86377
0.3282235	127.5438	78.06834	57.72549	33.86377
0.3282235	127.5438	77.91344	57.72549	33.86377
0.3282235	127.5438	77.91344	57.72549	33.86377
0.3441336	127.5438	77.91344	58.07843	33.86377
0.3441336	127.5438	77.91344	58.07843	33.86377
0.3441336	127.8556	77.91344	58.07843	33.86377
0.3595582	127.8556	77.91344	58.07843	33.86377
0.3595582	127.8556	77.91344	58.07843	33.66915
0.3595582	127.8556	78.72665	58.07843	33.66915
0.3751891	127.8556	78.72665	58.07843	33.66915
0.3751891	127.8556	78.72665	57.56863	33.66915
0.3751891	127.8556	78.72665	57.56863	33.66915
0.3910819	128.6739	78.72665	57.56863	33.66915
0.3910819	128.6739	78.72665	57.56863	33.66915
0.3910819	128.6739	78.72665	57.56863	34.01946
0.4064365	128.6739	78.72665	57.56863	34.01946
0.4064365	128.6739	78.72665	57.56863	34.01946
0.4064365	128.6739	78.72665	58.07843	34.01946
0.4221025	128.6739	78.72665	58.07843	34.01946
0.4221025	128.6739	78.72665	58.07843	34.01946
0.4221025	128.6739	78.72665	58.07843	34.01946
0.4375419	128.6739	78.72665	58.07843	34.01946
0.4375419	128.6739	78.72665	58.07843	34.01946
0.4375419	128.6739	77.56492	58.07843	34.01946
0.4375419	128.6739	77.56492	58.07843	34.01946
0.4532198	128.6739	77.56492	58.07843	34.01946
0.4532198	128.3232	77.56492	58.07843	34.01946
0.4532198	128.3232	77.56492	58.07843	34.01946
0.4691251	128.3232	77.56492	58.07843	34.01946
0.4691251	128.3232	77.56492	58.07843	34.01946
0.4691251	128.3232	78.72665	58.07843	34.01946
0.4845336	128.3232	78.72665	58.07843	34.01946
0.4845336	128.3232	78.72665	57.72549	34.01946
0.4845336	127.6997	78.72665	57.72549	34.01946
0.5001583	127.6997	78.72665	57.72549	34.01946
0.5001583	127.6997	78.72665	57.72549	34.17516
0.5001583	127.6997	78.72665	57.72549	34.17516
0.516052	127.6997	78.06834	57.72549	34.17516
0.516052	127.6997	78.06834	57.72549	34.17516
0.516052	127.6997	78.06834	57.56863	34.17516
0.5314216	127.6997	78.06834	57.56863	34.17516
0.5314216	127.0372	78.06834	57.56863	34.17516
0.5314216	127.0372	78.06834	57.56863	34.17516
0.547051	127.0372	78.06834	57.56863	34.68117
0.547051	127.0372	78.06834	57.56863	34.68117
0.547051	127.0372	78.06834	57.56863	34.68117
0.562513	127.0372	78.06834	57.72549	34.68117
0.562513	127.0372	78.06834	57.72549	34.68117
0.562513	127.349	78.06834	57.72549	34.68117
0.562513	127.349	78.06834	57.72549	34.68117
0.5781407	127.349	78.06834	57.72549	34.33085
0.5781407	127.349	78.06834	57.72549	34.33085
0.5939237	127.349	78.53303	57.72549	34.33085
0.5939237	127.349	78.53303	58.23529	34.33085
0.6095154	127.349	78.53303	58.23529	34.33085
0.6095154	126.7255	78.53303	58.23529	34.99256
0.6095154	126.7255	78.53303	58.23529	34.99256
0.6251421	126.7255	78.72665	58.23529	34.99256
0.6251421	126.7255	78.72665	57.88235	34.99256
0.6251421	126.7255	78.72665	57.88235	34.99256
0.640766	126.4138	78.72665	57.88235	34.99256
0.640766	126.4138	78.72665	57.88235	34.99256
0.640766	126.4138	78.72665	57.88235	35.30395
0.656391	126.4138	78.72665	57.88235	35.30395
0.656391	126.4138	77.91344	57.88235	35.30395
0.656391	126.4138	77.91344	57.88235	35.30395
0.6720164	126.4138	77.91344	58.07843	35.30395
0.6720164	126.2189	77.91344	58.07843	35.30395
0.6720164	126.2189	77.91344	58.07843	35.30395
0.6874834	126.2189	77.91344	58.07843	35.80996
0.6874834	126.2189	77.91344	58.07843	35.80996
0.6874834	126.2189	78.72665	58.07843	35.80996
0.6874834	126.2189	78.72665	58.07843	35.80996
0.7031643	126.2189	78.72665	58.70588	35.80996
0.7031643	126.2189	78.72665	58.70588	35.80996
0.7031643	125.4395	78.72665	58.70588	35.80996
0.7188651	125.4395	78.72665	58.70588	35.80996
0.7188651	125.4395	78.72665	58.70588	36.12135
0.7343521	125.4395	78.72665	58.70588	36.12135
0.7343521	125.4395	78.72665	58.70588	36.12135
0.7500986	125.4395	78.72665	58.39216	36.12135
0.7500986	125.4395	78.72665	58.39216	36.12135
0.7500986	125.4395	78.72665	58.39216	36.31597
0.7659933	125.4395	78.72665	58.39216	36.31597
0.7659933	125.4395	78.06834	58.39216	36.31597
0.7659933	125.4395	78.06834	58.70588	36.31597
0.7813515	125.4395	78.06834	58.70588	36.31597
0.7813515	124.4653	78.06834	58.70588	36.31597
0.7813515	124.4653	78.06834	58.70588	36.31597
0.7969821	124.4653	78.06834	58.70588	36.31597
0.7969821	124.4653	78.06834	58.70588	36.31597
0.7969821	124.4653	78.22324	58.70588	36.31597
0.8124542	124.4653	78.22324	58.70588	36.31597
0.8124542	124.4653	78.22324	58.39216	36.31597
0.8124542	124.7771	78.22324	58.39216	36.31597
0.8124542	124.7771	78.22324	58.39216	36.31597
0.8280734	124.7771	78.22324	58.39216	36.47166
0.8280734	124.7771	78.22324	58.39216	36.47166
0.8280734	124.7771	77.71982	58.39216	36.47166
0.8438121	124.7771	77.71982	58.39216	36.47166
0.8438121	124.7771	77.71982	60.03922	36.47166
