TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0010284	67.80747	73.59863	95.19226	75.53376
0.0020474	68.07671	73.87078	95.3083	75.573
0.0250255	68.07671	73.87078	95.3083	75.573
0.027021	68.34518	74.45397	95.23094	75.573
0.0280163	68.34518	74.45397	95.23094	75.573
0.0450956	68.53694	74.60949	94.99886	75.29832
0.0521301	68.69035	74.68725	94.80546	75.10213
0.0691068	68.69035	74.68725	94.80546	75.10213
0.076544	68.80541	74.80389	94.41866	74.78823
0.079822	68.84377	74.92052	94.1479	74.43508
0.0984552	68.84377	74.92052	94.1479	74.43508
0.1023222	68.46024	74.76501	93.99317	74.82747
0.1209416	68.76706	74.88165	93.68373	74.35661
0.1209416	68.76706	74.88165	93.68373	74.35661
0.1283965	68.49859	74.45397	93.76109	74.39584
0.1468184	68.49859	74.45397	93.76109	74.39584
0.1468184	68.49859	74.64837	93.49033	74.51356
0.1708637	68.61365	75.07604	93.49033	74.43508
0.1708637	68.61365	75.07604	93.49033	74.43508
0.1801918	68.57529	75.11492	93.52901	74.63128
0.2007249	68.76706	74.84277	93.49033	74.82747
0.2025014	68.76706	74.84277	93.49033	74.82747
0.2197787	68.652	75.07604	93.76109	74.94518
0.2271565	68.652	75.07604	93.76109	74.94518
0.2285243	68.95882	74.9594	94.03185	74.67052
0.2446947	68.46024	74.68725	94.30262	74.86671
0.2446947	68.46024	74.68725	94.30262	74.86671
0.2757568	68.30682	74.49285	94.41866	75.02366
0.2762949	68.53694	74.68725	94.26394	75.02366
0.29472	68.53694	74.68725	94.26394	75.02366
0.3024985	68.652	74.29845	94.26394	75.14137
0.3216024	68.95882	74.60949	94.07053	74.47432
0.3216024	68.92047	74.80389	93.76109	74.94518
0.3447749	68.92047	74.80389	93.76109	74.94518
0.3447749	69.15059	74.45397	93.76109	74.47432
0.352508	69.15059	74.60949	93.37429	74.31737
0.3695883	69.15059	74.60949	93.37429	74.31737
0.3695883	69.34235	74.60949	93.45165	74.27813
0.3947749	69.68754	74.57061	93.45165	74.0427
0.3947749	69.68754	74.57061	93.45165	74.0427
0.4034682	69.304	74.49285	93.83846	74.31737
0.4217013	69.304	74.49285	93.83846	74.31737
0.4270618	69.64919	74.49285	94.22526	74.23889
0.4459936	69.49577	74.33733	94.49602	74.59203
0.4459936	69.49577	74.33733	94.49602	74.59203
0.4537443	69.22729	74.14294	94.41866	74.59203
0.4725381	69.18894	74.10406	94.61206	74.43508
0.4775038	69.18894	74.10406	94.61206	74.43508
0.5007355	69.304	73.94854	94.80546	74.27813
0.5007355	69.304	73.94854	94.80546	74.27813
0.5035288	68.92047	73.75414	94.61206	74.12118
0.5196513	68.95882	74.10406	94.7281	74.39584
0.5196513	68.95882	74.10406	94.7281	74.39584
0.5447101	68.80541	73.67638	94.65074	74.19965
0.5447101	68.80541	73.59863	94.99886	74.19965
0.5535281	68.80541	73.59863	94.99886	74.19965
0.5854561	68.99718	73.36535	95.23094	74.39584
0.6000356	69.34235	73.6375	95.15359	74.59203
0.6189128	69.53413	73.94854	95.23094	74.31737
0.6189128	69.8026	74.10406	95.03754	74.19965
0.6447767	69.84095	74.29845	94.80546	73.76804
0.6521587	69.61083	74.06518	94.65074	73.72879
0.6696358	69.76424	74.2207	94.34129	73.37565
0.6807469	69.76424	74.2207	94.34129	73.37565
0.6980328	69.45742	74.06518	94.1479	73.14022
0.7022089	69.61083	74.06518	94.37997	73.25793
0.7199206	69.64919	74.18182	94.45734	73.25793
0.7199206	69.64919	74.18182	94.45734	73.25793
0.7284645	69.64919	74.37621	94.88282	73.72879
0.7467016	69.95601	74.29845	94.76678	73.25793
0.7524893	69.95601	74.29845	94.76678	73.25793
0.7697744	70.14777	74.25957	94.41866	73.37565
0.7697744	70.26283	74.57061	94.57338	73.14022
0.8011296	70.37789	74.29845	94.57338	73.29717
0.8011296	70.37789	74.29845	94.57338	73.29717
0.8190437	69.95601	74.37621	94.68942	73.29717
0.8271459	69.8026	73.98742	95.03754	73.61108
0.8285097	69.8026	73.98742	95.03754	73.61108
0.8446758	69.45742	73.67638	94.7281	73.72879
0.8525053	69.15059	73.52087	94.84414	73.76804
0.8697788	69.15059	73.52087	94.84414	73.76804
0.8697788	69.41907	73.55975	94.88282	73.88575
0.8787411	69.41907	73.55975	94.88282	73.88575
0.8999322	69.45742	73.59863	95.07623	73.76804
0.9010612	69.8793	73.67638	95.11491	73.80727
0.9212417	69.8793	73.67638	95.11491	73.80727
0.9269444	69.72589	73.71526	94.96018	73.72879
0.945543	69.8026	73.8319	95.11491	73.72879
0.945543	69.8026	73.8319	95.11491	73.72879
0.9694042	69.84095	73.79302	95.15359	73.37565
0.9694042	69.84095	73.79302	95.15359	73.37565
1.0018466	69.8793	73.67638	95.11491	73.68955
1.0028815	69.8793	73.67638	95.11491	73.68955
1.0209306	69.49577	73.71526	94.99886	73.72879
1.0270584	69.49577	73.71526	94.99886	73.72879
1.0455029	69.76424	73.6375	95.11491	73.68955
1.0455029	69.91766	73.71526	95.07623	73.68955
1.0532983	69.91766	73.71526	95.07623	73.68955
1.0706672	69.99436	73.79302	94.88282	73.76804
1.0706672	69.99436	73.79302	94.88282	73.76804
1.0944963	69.95601	73.98742	94.65074	73.49336
1.0944963	70.30119	74.10406	94.65074	73.29717
1.10352	70.30119	74.10406	94.65074	73.29717
1.1231977	70.14777	74.06518	94.5347	73.49336
1.1231977	70.03271	74.14294	94.7281	73.57184
1.14432	70.03271	74.14294	94.7281	73.57184
1.14432	70.22448	74.06518	94.5347	73.29717
1.1550231	69.95601	73.87078	94.45734	73.29717
1.1756138	69.95601	73.87078	94.45734	73.29717
1.1768458	69.68754	74.06518	94.41866	73.5326
1.1986088	69.68754	74.06518	94.41866	73.5326
1.1986088	69.41907	74.0263	94.49602	73.25793
1.2032782	69.38071	73.8319	94.88282	73.84651
1.2348466	69.38071	73.8319	94.88282	73.84651
1.2348466	68.88212	73.79302	95.03754	74.16042
1.2407781	69.26565	73.6375	95.26962	74.5528
1.2723354	68.76706	73.40423	94.88282	74.86671
1.2723354	68.76706	73.40423	94.88282	74.86671
1.2965337	68.80541	73.6375	94.9215	74.74899
1.2965337	68.80541	73.6375	94.9215	74.74899
1.3197725	68.76706	73.55975	95.11491	74.78823
1.3197725	68.652	73.6375	95.11491	74.39584
1.3275181	68.652	73.6375	95.11491	74.39584
1.3446435	68.92047	73.67638	95.03754	74.67052
1.3446435	68.88212	73.71526	95.23094	74.70975
1.3697728	68.88212	73.71526	95.23094	74.70975
1.3697728	69.07388	74.18182	95.15359	74.94518
1.3775235	69.07388	74.18182	95.15359	74.94518
1.3973722	68.95882	74.45397	94.68942	74.39584
1.3973722	68.95882	74.53173	94.76678	74.35661
1.4197748	68.95882	74.53173	94.76678	74.35661
1.4197748	69.03553	74.9594	94.26394	74.00346
1.42874	68.84377	75.19268	94.18658	73.84651
1.4489158	68.84377	75.19268	94.18658	73.84651
1.4489158	68.88212	74.80389	94.41866	74.12118
1.4697736	68.88212	74.80389	94.41866	74.12118
1.4697736	68.76706	74.84277	94.30262	73.84651
1.4787377	68.84377	74.92052	94.49602	74.23889
1.4975531	68.84377	74.92052	94.49602	74.23889
1.4975531	68.72871	74.68725	94.18658	74.31737
1.5227856	68.42188	74.60949	94.18658	74.27813
1.5227856	68.42188	74.60949	94.18658	74.27813
1.5286352	68.69035	74.72613	94.37997	74.12118
1.5475687	68.69035	74.72613	94.37997	74.12118
1.5475687	69.15059	74.84277	94.26394	74.35661
1.5697717	69.18894	75.30932	94.22526	74.08194
1.5697717	69.18894	75.30932	94.22526	74.08194
