TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0115806	77.81839	68.73871	98.48009	67.41041
0.1569058	77.81839	68.73871	98.48009	67.41041
0.1569058	77.51156	68.46655	98.48009	67.17457
0.1569058	77.9718	68.85535	98.17065	67.17457
0.1569058	77.9718	68.85535	98.17065	67.17457
0.1569058	77.9718	68.66095	98.17065	67.33179
0.1569058	78.43204	68.77759	98.09328	67.13526
0.1569058	78.43204	68.77759	98.09328	67.13526
0.1569058	78.50874	69.3219	97.70648	66.62428
0.1569058	78.50874	69.3219	97.70648	66.62428
0.1569058	78.5471	69.28302	97.35836	66.50636
0.1569058	78.96898	69.47742	96.93288	66.27052
0.1569058	78.96898	69.47742	96.93288	66.27052
0.1569058	79.1991	69.67181	96.85551	66.19191
0.1569058	79.50592	69.86621	97.20364	66.50636
0.1569058	79.50592	69.86621	97.20364	66.50636
0.1569058	79.73604	69.82733	97.04892	66.30983
0.1727625	79.65933	70.02173	96.77816	66.03468
0.1811215	79.65933	70.02173	96.77816	66.03468
0.1824753	79.69769	70.13837	96.50739	65.68092
0.2006394	79.69769	70.13837	96.50739	65.68092
0.2064719	79.50592	70.02173	96.46871	65.48439
0.2236269	79.9278	70.17725	96.23663	65.79884
0.2236269	79.9278	70.17725	96.23663	65.79884
0.231489	79.88945	70.02173	96.15927	65.87746
0.2485533	79.8511	70.48828	95.96587	65.64162
0.2485533	79.8511	70.48828	95.96587	65.64162
0.2750501	80.27299	70.79932	95.73379	65.64162
0.2750501	80.27299	70.79932	95.73379	65.64162
0.2825903	80.08121	70.8382	95.73379	65.60231
0.301381	80.38805	71.14923	95.38567	65.563
0.306205	80.38805	71.14923	95.38567	65.563
0.3236308	80.4264	71.07147	95.11491	65.60231
0.3236308	80.50311	71.26587	94.80546	65.60231
0.3328783	80.50311	71.26587	94.80546	65.60231
0.3509368	80.84828	71.69354	94.57338	65.83815
0.3509368	80.84828	71.69354	94.57338	65.83815
0.3737944	80.27299	71.42139	94.57338	65.72023
0.381507	80.46475	71.42139	94.41866	65.95607
0.3836405	80.46475	71.42139	94.41866	65.95607
0.4022651	80.08121	71.53802	94.30262	66.07399
0.4022651	79.88945	71.30475	94.03185	66.1133
0.4238008	79.88945	71.30475	94.03185	66.1133
0.4315072	80.00451	71.30475	94.26394	66.34914
0.4348755	80.00451	71.30475	94.26394	66.34914
0.4524079	79.62098	71.5769	94.34129	66.58497
0.4565081	79.9278	71.53802	94.45734	66.7815
0.4737905	79.9278	71.53802	94.45734	66.7815
0.4815087	79.62098	71.30475	94.10921	66.86012
0.4987749	79.69769	71.42139	94.07053	66.86012
0.5065077	79.69769	71.42139	94.07053	66.86012
0.5237908	79.42921	71.46027	93.99317	67.05665
0.5315081	79.42921	71.46027	93.99317	67.05665
0.5487797	78.93063	71.42139	94.03185	67.41041
0.5487797	78.93063	71.42139	94.03185	67.41041
0.5565448	78.6238	71.14923	94.37997	67.3711
0.5736193	78.73886	71.18811	94.34129	67.88208
0.5736193	78.73886	71.18811	94.34129	67.88208
0.614628	78.04851	70.8382	94.57338	68.3139
0.614628	77.78004	70.76044	94.45734	68.5101
0.6198745	77.51156	70.68268	94.7281	68.58858
0.6529558	77.51156	70.56604	94.96018	68.82401
0.6553391	77.28144	70.87708	94.84414	69.09867
0.6574743	77.28144	70.87708	94.84414	69.09867
0.6751688	76.62944	70.72156	95.07623	69.17715
0.6815332	76.93626	70.76044	95.03754	69.0202
0.698871	76.93626	70.76044	95.03754	69.0202
0.698871	76.70615	70.56604	94.96018	69.41258
0.7078679	76.24591	70.56604	94.88282	69.25562
0.7273954	76.24591	70.56604	94.88282	69.25562
0.73151	76.24591	70.6438	95.57906	69.96191
0.7501993	76.24591	70.6438	95.57906	69.96191
0.7501993	76.05415	70.60492	95.54039	70.1581
0.7598926	75.86238	70.60492	95.84983	70.27583
0.7774383	75.86238	70.60492	95.84983	70.27583
0.781508	75.47885	70.37164	96.04323	70.43278
0.7987816	75.32544	70.33276	96.04323	70.55049
0.8065065	75.32544	70.33276	96.04323	70.55049
0.8297553	75.28709	70.17725	96.00455	70.55049
0.8307492	75.17203	70.41052	96.314	70.55049
0.8321928	75.17203	70.41052	96.314	70.55049
0.8396422	75.40215	70.56604	96.66212	70.43278
0.8564497	75.40215	70.56604	96.66212	70.43278
0.8615013	75.36379	70.33276	96.46871	70.3543
0.8790195	75.05697	70.17725	96.7008	70.27583
0.8810636	75.05697	70.17725	96.7008	70.27583
0.9046628	75.17203	70.17725	96.43003	70.31506
0.9059556	74.94191	70.13837	96.35268	70.3543
0.9256566	74.94191	70.13837	96.35268	70.3543
0.9312579	75.01862	70.09949	96.54607	70.11887
0.9312579	75.01862	70.09949	96.54607	70.11887
0.9490655	75.21038	70.09949	96.62344	70.31506
0.9560365	75.36379	69.67181	96.93288	70.23659
0.9584365	75.36379	69.67181	96.93288	70.23659
0.9754881	74.82685	69.71069	96.66212	70.23659
0.9811175	74.82685	69.71069	96.66212	70.23659
0.9966193	74.67343	69.43854	96.81684	70.23659
1.0062785	74.78849	69.55518	96.93288	70.04039
1.0232794	74.78849	69.55518	96.93288	70.04039
1.0232794	74.90356	69.20526	97.35836	70.04039
1.0321821	74.75014	69.20526	97.55177	70.23659
1.0514554	74.75014	69.20526	97.55177	70.23659
1.0514554	74.8652	69.39966	97.82253	70.27583
