TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0019952	83.19771	126.3576	31.45098	43.98397
0.0063815	83.19771	126.3576	31.45098	43.67258
0.0120413	83.19771	126.3576	31.45098	43.67258
0.016748	83.19771	126.8223	31.45098	43.67258
0.028197	83.19771	126.8223	31.45098	43.67258
0.0364569	83.19771	126.8223	31.13725	43.67258
0.0381512	83.19771	126.8223	31.13725	43.67258
0.0381512	83.86017	126.8223	31.13725	43.67258
0.0381512	83.86017	126.5125	31.13725	43.67258
0.0539378	83.86017	126.5125	31.13725	43.67258
0.0539378	83.86017	126.5125	30.98039	43.67258
0.0539378	83.86017	126.5125	30.98039	43.67258
0.0711128	84.17192	126.5125	30.98039	43.67258
0.0733116	84.17192	126.5125	30.98039	43.67258
0.0733116	84.17192	126.5125	30.98039	43.67258
0.0733116	84.17192	126.5125	30.98039	43.67258
0.0914255	84.17192	127.3257	30.98039	43.67258
0.0930838	84.17192	127.3257	29.68627	43.67258
0.0930838	84.17192	127.3257	29.68627	43.67258
0.0930838	83.86017	127.3257	29.68627	43.67258
0.1119676	83.86017	127.3257	29.68627	43.67258
0.1130771	83.86017	127.3257	29.68627	43.01088
0.1130771	83.86017	127.3257	29.68627	43.01088
0.1130771	83.86017	127.8292	29.68627	43.01088
0.130249	83.86017	127.8292	29.52941	43.01088
0.1333982	83.86017	127.8292	29.52941	43.01088
0.1381981	84.99026	127.8292	29.52941	43.01088
0.1381981	84.99026	127.8292	29.52941	43.01088
0.1381981	84.99026	127.8292	29.52941	43.01088
0.157056	84.99026	127.8292	29.52941	43.01088
0.1612726	84.99026	128.6424	29.52941	43.01088
0.1662687	84.99026	128.6424	29.52941	43.01088
0.1716956	84.99026	128.6424	28.35294	43.01088
0.1765306	84.67851	128.6424	28.35294	43.01088
0.181762	84.67851	128.6424	28.35294	43.01088
0.1962282	84.67851	128.6424	28.35294	42.50486
0.1982969	84.67851	128.6424	28.35294	42.50486
0.2064619	84.67851	129.1071	28.35294	42.50486
0.2122106	84.67851	129.1071	28.03922	42.50486
0.21432	84.99026	129.1071	28.03922	42.50486
0.21432	84.99026	129.1071	28.03922	42.50486
0.21432	84.99026	129.1071	28.03922	43.32227
0.2313971	84.99026	129.262	28.03922	43.32227
0.2331522	84.99026	129.262	28.03922	43.32227
0.2400878	84.99026	129.262	27.37255	43.32227
0.2430426	84.99026	129.262	27.37255	43.32227
0.2430426	85.65273	129.262	27.37255	43.32227
0.2430426	85.65273	129.262	27.37255	43.32227
0.2602741	85.65273	129.262	27.37255	43.67258
0.2639971	85.65273	129.262	27.37255	43.67258
0.2639971	85.65273	129.262	27.37255	43.67258
0.2639971	85.65273	129.262	26.58824	43.67258
0.2815738	85.65273	129.262	26.58824	43.67258
0.2830569	84.99026	129.262	26.58824	43.67258
0.2830569	84.99026	129.262	26.58824	43.67258
0.2830569	84.99026	129.262	26.58824	43.16657
0.3002341	84.99026	129.262	26.58824	43.16657
0.3034007	84.99026	129.7654	26.58824	43.16657
0.3034007	84.99026	129.7654	26.58824	43.16657
0.3034007	84.99026	129.7654	24.62745	43.16657
0.3192798	85.302	129.7654	24.62745	43.16657
0.3192798	85.302	129.7654	24.62745	43.16657
0.3192798	85.302	129.7654	24.62745	44.48998
0.3349047	85.302	129.7654	24.62745	44.48998
0.3382756	85.302	130.4237	24.62745	44.48998
0.3514726	85.302	130.4237	24.62745	44.48998
0.3568568	85.302	130.4237	24.62745	44.48998
0.3618655	85.65273	130.4237	24.62745	44.48998
0.3628611	85.65273	130.4237	24.62745	45.30738
0.3628611	85.65273	130.4237	24.62745	45.30738
0.3628611	85.65273	130.4237	24.62745	45.30738
0.3806114	85.65273	130.4237	24.62745	45.30738
0.3830847	85.65273	130.4237	23.96078	45.30738
0.3830847	85.65273	130.4237	23.96078	45.30738
0.3830847	85.45788	130.4237	23.96078	45.30738
0.3988715	85.45788	130.4237	23.96078	45.30738
0.3988715	85.45788	130.4237	23.96078	45.96909
0.3988715	85.45788	129.7654	23.96078	45.96909
0.4144957	85.45788	129.7654	23.96078	45.96909
0.4144957	85.45788	129.7654	23.29412	45.96909
0.4144957	85.45788	129.7654	23.29412	45.96909
0.430099	84.67851	129.7654	23.29412	45.96909
0.430099	84.67851	129.7654	23.29412	45.96909
0.430099	84.67851	129.7654	23.29412	47.25358
0.4457145	84.67851	129.7654	23.29412	47.25358
0.4483085	84.67851	129.9203	23.29412	47.25358
0.4483085	84.67851	129.9203	22	47.25358
0.4615022	84.67851	129.9203	22	47.25358
0.4635497	84.67851	129.9203	22	47.25358
0.4681069	84.67851	129.9203	22	47.25358
0.4681069	84.67851	129.9203	22	47.60389
0.4805729	84.67851	129.9203	22	47.60389
0.4805729	84.67851	130.4237	22	47.60389
0.4805729	84.67851	130.4237	22	47.60389
0.4969833	84.67851	130.4237	21.84314	47.60389
0.4980924	84.01604	130.4237	21.84314	47.60389
0.4980924	84.01604	130.4237	21.84314	47.60389
0.511872	84.01604	130.4237	21.84314	49.23869
0.516757	84.01604	130.4237	21.84314	49.23869
0.5217527	84.01604	130.7335	21.84314	49.23869
0.5217527	84.01604	130.7335	21.84314	49.23869
0.5297133	84.01604	130.7335	20.86275	49.23869
0.5297133	84.01604	130.7335	20.86275	49.23869
