TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0012654	53.74448	64.54369	41.41177	31.21694
0.0061967	53.74448	64.54369	41.41177	31.21694
0.0111232	53.74448	63.72816	41.41177	31.21694
0.0163245	53.74448	63.72816	41.56863	31.21694
0.0212643	53.74448	63.72816	41.56863	31.21694
0.0256027	53.42857	63.72816	41.56863	31.21694
0.0307129	53.42857	63.72816	41.56863	31.21694
0.0327619	53.42857	63.72816	41.56863	31.56726
0.0412668	53.42857	63.72816	41.56863	31.56726
0.0427989	53.42857	64.23301	41.56863	31.56726
0.0427989	53.42857	64.23301	41.56863	31.56726
0.0427989	53.42857	64.23301	41.41177	31.56726
0.058241	53.90244	64.23301	41.41177	31.56726
0.058241	53.90244	64.23301	41.41177	31.56726
0.058241	53.90244	64.23301	41.41177	31.21694
0.0739983	53.90244	64.23301	41.41177	31.21694
0.0739983	53.90244	64.38835	41.41177	31.21694
0.091265	53.90244	64.38835	41.41177	31.21694
0.091265	53.90244	64.38835	41.41177	31.21694
0.091265	53.90244	64.38835	41.41177	31.21694
0.1083539	53.90244	64.38835	41.41177	31.41156
0.1083539	53.90244	64.23301	41.41177	31.41156
0.1083539	53.90244	64.23301	41.41177	31.41156
0.1241254	53.90244	64.23301	41.09804	31.41156
0.1274421	53.90244	64.23301	41.09804	31.41156
0.1274421	54.06039	64.23301	41.09804	31.41156
0.1274421	54.06039	64.23301	41.09804	31.41156
0.144343	54.06039	64.23301	41.09804	31.21694
0.144343	54.06039	64.8932	41.09804	31.21694
0.1601097	54.06039	64.8932	41.09804	31.21694
0.1601097	54.06039	64.8932	41.2549	31.21694
0.1601097	54.06039	64.8932	41.2549	31.21694
0.175738	54.06039	64.8932	41.2549	31.21694
0.177326	54.06039	64.8932	41.2549	30.74986
0.1933012	54.06039	64.54369	41.2549	30.74986
0.1933012	54.06039	64.54369	41.2549	30.74986
0.1933012	54.06039	64.54369	41.41177	30.74986
0.2087364	54.41579	64.54369	41.41177	30.74986
0.2087364	54.41579	64.54369	41.41177	31.21694
0.2087364	54.41579	64.54369	41.41177	31.21694
0.2243932	54.41579	64.23301	41.41177	31.21694
0.2243932	54.41579	64.23301	40.58823	31.21694
0.2243932	54.41579	64.23301	40.58823	31.21694
