TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0009964	49.32172	67.33981	39.96078	34.17516
0.0055451	49.32172	67.33981	39.96078	34.17516
0.0106076	49.32172	67.33981	39.96078	34.48655
0.0146336	49.32172	66.52427	39.96078	34.48655
0.0171754	49.32172	66.52427	39.96078	34.48655
0.0254183	49.32172	66.52427	40.11765	34.48655
0.0307686	49.32172	66.52427	40.11765	34.48655
0.0357787	48.65041	66.52427	40.11765	34.48655
0.0407758	48.65041	66.52427	40.11765	34.48655
0.0407758	48.65041	66.52427	40.11765	34.83686
0.0535138	48.65041	66.52427	40.11765	34.83686
0.0535138	48.65041	66.33009	40.11765	34.83686
0.0621748	48.65041	66.33009	39.45098	34.83686
0.0621748	48.80836	66.33009	39.45098	34.83686
0.0621748	48.80836	66.33009	39.45098	34.83686
0.0796959	48.80836	66.33009	39.45098	34.83686
0.0822884	48.80836	66.33009	39.45098	34.83686
0.0822884	48.80836	66.33009	39.45098	34.83686
0.0822884	48.80836	66.33009	40.43137	34.83686
0.0991604	48.80836	66.33009	40.43137	34.83686
0.1022868	48.80836	66.33009	40.43137	34.83686
0.1022868	48.80836	66.33009	40.43137	34.83686
0.1022868	48.80836	66.33009	40.43137	34.48655
0.1181677	48.80836	66.33009	40.43137	34.48655
0.1181677	48.80836	65.51456	40.43137	34.48655
0.1181677	48.80836	65.51456	40.43137	34.48655
0.1337858	48.80836	65.51456	40.27451	34.48655
0.1337858	48.80836	65.51456	40.27451	34.48655
0.1337858	48.80836	65.51456	40.27451	34.48655
0.1494204	48.80836	65.51456	40.27451	34.01946
0.1540757	48.80836	65.51456	40.27451	34.01946
0.1572838	48.80836	65.20388	40.27451	34.01946
0.1572838	48.80836	65.20388	40.27451	34.01946
0.1572838	48.80836	65.20388	40.27451	34.01946
0.1743974	48.80836	65.20388	40.27451	34.01946
0.1774415	48.49245	65.20388	40.27451	34.01946
0.1774415	48.49245	65.20388	40.27451	34.01946
0.1774415	48.49245	65.20388	40.27451	34.01946
0.1932309	48.49245	65.70874	40.27451	34.01946
0.1932309	48.49245	65.70874	40.27451	34.01946
0.1932309	48.49245	65.70874	41.09804	34.01946
0.2088528	48.49245	65.70874	41.09804	34.01946
0.2088528	49.32172	65.70874	41.09804	34.01946
0.2088528	49.32172	65.70874	41.09804	34.01946
0.225893	49.32172	65.70874	41.09804	34.48655
0.225893	49.32172	64.8932	41.09804	34.48655
0.225893	49.32172	64.8932	41.09804	34.48655
0.225893	49.32172	64.8932	41.41177	34.48655
0.2460125	49.32172	64.8932	41.41177	34.48655
0.2460125	49.00581	64.8932	41.41177	34.48655
0.2460125	49.00581	64.8932	41.41177	34.48655
0.2592007	49.00581	64.8932	41.41177	33.86377
0.2592007	49.00581	64.8932	41.41177	33.86377
0.2592007	49.00581	65.04855	41.41177	33.86377
0.2750367	49.00581	65.04855	41.76471	33.86377
0.2775432	49.00581	65.04855	41.76471	33.86377
0.2775432	49.16376	65.04855	41.76471	33.86377
0.2775432	49.16376	65.04855	41.76471	33.86377
0.2933993	49.16376	65.04855	41.76471	33.86377
0.2933993	49.16376	65.04855	41.76471	33.86377
0.2933993	49.16376	64.69903	41.76471	33.86377
0.3090365	49.16376	64.69903	41.56863	33.86377
0.3090365	49.16376	64.69903	41.56863	33.86377
0.3090365	50.15099	64.69903	41.56863	33.86377
0.3251731	50.15099	64.69903	41.56863	33.86377
0.3275532	50.15099	64.69903	41.56863	33.51345
0.3275532	50.15099	64.69903	41.56863	33.51345
0.3275532	50.15099	64.54369	41.56863	33.51345
0.3448034	50.15099	64.54369	41.56863	33.51345
0.3477971	50.15099	64.54369	41.41177	33.51345
0.3477971	49.99303	64.54369	41.41177	33.51345
0.363835	49.99303	64.54369	41.41177	33.51345
0.3676781	49.99303	64.54369	41.41177	32.85175
0.3676781	49.99303	65.04855	41.41177	32.85175
0.3676781	49.99303	65.04855	41.41177	32.85175
0.3838274	49.99303	65.04855	41.41177	32.85175
0.3870049	49.99303	65.04855	41.41177	32.85175
0.3870049	50.78281	65.04855	41.41177	32.85175
0.3870049	50.78281	65.04855	41.41177	33.04636
0.4041932	50.78281	65.04855	41.41177	33.04636
0.4072727	50.78281	65.04855	41.41177	33.04636
0.4072727	50.78281	65.04855	41.41177	33.04636
0.4072727	50.78281	65.04855	40.43137	33.04636
0.4308059	50.78281	65.04855	40.43137	33.04636
0.4358972	51.29617	65.04855	40.43137	33.04636
0.4358972	51.29617	65.04855	40.43137	33.04636
