TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0009958	84.17192	93.51936	44.5098	47.09788
0.0082492	84.17192	93.51936	44.5098	47.09788
0.010942	83.7043	93.51936	44.5098	47.09788
0.0150145	83.7043	93.51936	44.5098	48.2656
0.0212801	83.7043	93.51936	44.5098	48.2656
0.0259032	83.7043	93.17085	44.5098	48.2656
0.0307728	83.7043	93.17085	45.4902	48.2656
0.0358897	83.04183	93.17085	45.4902	48.2656
0.0402861	83.04183	93.17085	45.4902	48.2656
0.0442806	83.04183	93.17085	45.4902	47.91528
0.0511215	83.04183	93.17085	45.4902	47.91528
0.0521225	83.04183	92.70615	45.4902	47.91528
0.0603352	83.04183	92.70615	45.4902	47.91528
0.0655826	83.04183	92.70615	45.33333	47.91528
0.0676895	82.41833	92.70615	45.33333	47.91528
0.075846	82.41833	92.70615	45.33333	47.91528
0.0834484	82.41833	92.70615	45.33333	49.23869
0.0915048	82.41833	92.70615	45.33333	49.23869
0.0929916	82.41833	92.20274	45.33333	49.23869
0.1004497	82.41833	92.20274	45.33333	49.23869
0.1039397	82.41833	92.20274	45.01961	49.23869
0.1039397	81.75587	92.20274	45.01961	49.23869
0.1154951	81.75587	92.20274	45.01961	49.23869
0.1212048	81.75587	92.20274	45.01961	48.88838
0.1212048	81.75587	92.04784	45.01961	48.88838
0.1307037	81.75587	92.04784	45.01961	48.88838
0.1361993	81.75587	92.04784	45.4902	48.88838
0.1361993	81.75587	92.04784	45.4902	48.88838
0.1443341	81.44412	92.04784	45.4902	48.88838
0.1502371	81.44412	92.04784	45.4902	48.88838
0.1524978	81.44412	92.04784	45.4902	49.70578
0.1607789	81.44412	92.04784	45.4902	49.70578
0.1657217	81.44412	90.42141	45.4902	49.70578
0.1678308	81.44412	90.42141	46	49.70578
0.1761056	81.44412	90.42141	46	49.70578
0.1813112	80.93754	90.42141	46	49.70578
0.1833436	80.93754	90.42141	46	49.70578
0.191486	80.93754	90.42141	46	50.21179
0.1928929	80.93754	90.42141	46	50.21179
0.201187	80.93754	91.23463	46	50.21179
0.2023405	80.93754	91.23463	46	50.21179
0.2106277	80.93754	91.23463	46.47059	50.21179
0.2106277	81.6	91.23463	46.47059	50.21179
0.2210816	81.6	91.23463	46.47059	50.21179
0.2210816	81.6	91.23463	46.47059	50.21179
0.2313082	81.6	91.23463	46.47059	50.21179
0.2324177	81.6	91.69932	46.47059	50.21179
0.2406814	81.6	91.69932	46.47059	50.21179
0.24267	81.6	91.69932	46.47059	50.21179
0.251237	80.62579	91.69932	46.47059	50.21179
0.251237	80.62579	91.69932	46.47059	50.21179
0.2591453	80.62579	91.69932	46.47059	50.36749
0.2662258	80.62579	91.69932	46.47059	50.36749
0.2712389	80.62579	90.42141	46.47059	50.36749
0.2760006	80.62579	90.42141	46.47059	50.36749
0.2760006	80.62579	90.42141	46.82353	50.36749
0.28624	80.62579	90.42141	46.82353	50.36749
0.28624	80.46992	90.42141	46.82353	50.36749
0.2934194	80.46992	90.42141	46.82353	50.36749
0.2934194	80.46992	90.42141	46.82353	51.02919
0.3062421	80.46992	91.89294	46.82353	51.02919
0.310564	80.46992	91.89294	46.82353	51.02919
0.310564	80.46992	91.89294	46.62745	51.02919
0.3195849	80.46992	91.89294	46.62745	51.02919
0.3195849	79.65157	91.89294	46.62745	51.02919
0.3276994	79.65157	91.89294	46.62745	51.02919
0.3358441	79.65157	91.89294	46.62745	51.5352
0.3456982	79.65157	91.89294	46.62745	51.5352
0.3512348	79.65157	91.54442	46.62745	51.5352
0.3562452	79.65157	91.54442	46	51.5352
0.3562452	79.65157	91.54442	46	51.5352
0.3662335	78.98911	91.54442	46	51.5352
0.3662335	78.98911	91.54442	46	52.3526
0.3743657	78.98911	91.54442	46	52.3526
0.3743657	78.98911	90.57631	46	52.3526
0.3836338	78.98911	90.57631	46	52.3526
0.3836338	78.98911	90.57631	46.82353	52.3526
0.391684	77.85902	90.57631	46.82353	52.3526
0.4012308	77.85902	90.57631	46.82353	52.3526
0.4027968	77.85902	90.57631	46.82353	52.66399
0.411058	77.85902	90.57631	46.82353	52.66399
0.4162091	77.85902	90.26652	46.82353	52.66399
0.4212465	77.85902	90.26652	46.82353	52.66399
