TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0019527	71.39026	77.41003	66.70588	87.31293
0.0070663	71.23438	77.41003	66.70588	87.31293
0.0108823	71.23438	77.41003	66.70588	87.31293
0.0166092	71.23438	77.41003	66.70588	87.81406
0.0216121	71.23438	77.41003	66.70588	87.81406
0.026604	71.23438	77.25513	66.70588	87.81406
0.0313132	71.23438	77.25513	66.70588	87.81406
0.0353693	71.23438	77.25513	66.70588	87.81406
0.0410434	71.54613	77.25513	66.70588	87.81406
0.0438177	71.54613	77.25513	66.70588	87.81406
0.0438177	71.54613	77.25513	66.70588	88.31519
0.0438177	71.54613	77.25513	66.70588	88.31519
0.0593523	71.54613	76.90661	66.70588	88.31519
0.0593523	71.54613	76.90661	66.70588	88.31519
0.0593523	71.54613	76.90661	66.54902	88.31519
0.0759041	71.54613	76.90661	66.54902	88.31519
0.0813126	71.23438	76.90661	66.54902	88.31519
0.0865443	71.23438	76.90661	66.54902	88.31519
0.0919449	71.23438	76.90661	66.54902	87.31293
0.0957086	71.23438	77.91344	66.54902	87.31293
0.1010255	71.23438	77.91344	66.54902	87.31293
0.1061753	71.23438	77.91344	66.23529	87.31293
0.1114689	71.23438	77.91344	66.23529	87.31293
0.1129139	72.2086	77.91344	66.23529	87.31293
0.1212044	72.2086	77.91344	66.23529	87.31293
0.1263301	72.2086	77.91344	66.23529	87.15873
0.1277963	72.2086	77.91344	66.23529	87.15873
0.1360457	72.2086	77.25513	66.23529	87.15873
0.1417072	72.2086	77.25513	65.88235	87.15873
0.1428093	72.2086	77.25513	65.88235	87.15873
0.1516198	72.52035	77.25513	65.88235	87.15873
0.1527256	72.52035	77.25513	65.88235	87.15873
0.1593109	72.52035	77.25513	65.88235	86.19501
0.1593109	72.52035	77.25513	65.88235	86.19501
0.1593109	72.52035	77.91344	65.88235	86.19501
0.1760274	72.52035	77.91344	65.56863	86.19501
0.1781325	72.52035	77.91344	65.56863	86.19501
0.1781325	73.18281	77.91344	65.56863	86.19501
0.1781325	73.18281	77.91344	65.56863	86.19501
0.1954168	73.18281	77.91344	65.56863	84.88435
0.1979237	73.18281	77.91344	65.56863	84.88435
0.2138443	73.18281	79.03645	65.56863	84.88435
0.2138443	73.18281	79.03645	65.56863	84.88435
0.2138443	73.18281	79.03645	65.41177	84.88435
0.2310015	74.00114	79.03645	65.41177	83.76644
0.2310015	74.00114	79.03645	65.41177	83.76644
0.2310015	74.00114	81.12756	65.41177	83.76644
0.2429887	74.00114	81.12756	65.41177	83.76644
0.2429887	74.00114	81.12756	64.58823	83.76644
0.2429887	74.00114	81.12756	64.58823	83.76644
0.2600296	74.46877	81.12756	64.58823	83.76644
0.263001	74.46877	81.12756	64.58823	81.99319
0.263001	74.46877	81.12756	64.58823	81.99319
0.263001	74.46877	82.75398	64.58823	81.99319
0.2789002	74.46877	82.75398	64.58823	81.99319
0.2789002	74.46877	82.75398	64.27451	81.99319
