TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0038588	98.90201	90.73121	35.72549	34.01946
0.0088747	98.90201	90.73121	36.19608	34.01946
0.0140908	99.21375	90.73121	36.19608	34.01946
0.0193163	99.21375	90.73121	36.19608	34.01946
0.0236988	99.21375	90.73121	36.19608	34.48655
0.0298741	99.21375	90.73121	36.19608	34.48655
0.0322116	99.21375	90.88611	36.19608	34.48655
0.0322116	99.21375	90.88611	36.19608	34.48655
0.0414085	99.21375	90.88611	36.70588	34.48655
0.0491796	99.21375	90.88611	36.70588	34.48655
0.0505572	98.90201	90.88611	36.70588	34.48655
0.0505572	98.90201	90.88611	36.70588	34.48655
0.0505572	98.90201	90.88611	36.70588	34.48655
0.068572	98.90201	90.88611	36.70588	34.68117
0.0842834	98.90201	90.88611	36.70588	34.68117
0.094251	98.90201	90.57631	36.70588	34.68117
0.098909	98.90201	90.57631	36.70588	34.68117
0.1005741	98.74613	90.57631	36.35294	34.68117
0.1092243	98.74613	90.57631	36.35294	34.68117
0.1092243	98.74613	90.57631	36.35294	34.99256
0.1157367	98.74613	90.57631	36.35294	34.99256
0.1157367	98.74613	90.57631	36.5098	34.99256
0.1157367	98.74613	90.57631	36.5098	34.99256
0.1331492	99.05788	90.57631	36.5098	34.99256
0.1356793	99.05788	90.57631	36.5098	34.99256
0.1356793	99.05788	90.57631	36.5098	34.68117
0.1489271	99.05788	90.57631	36.5098	34.68117
0.1506752	99.05788	89.7631	36.5098	34.68117
0.1506752	99.05788	89.7631	36.86274	34.68117
0.1506752	99.05788	89.7631	36.86274	34.68117
0.1657514	99.21375	89.7631	36.86274	34.68117
0.1657514	99.21375	89.7631	36.86274	34.68117
0.1657514	99.21375	89.7631	36.86274	35.30395
0.1821308	99.21375	89.7631	36.86274	35.30395
0.1821308	99.21375	90.07289	36.86274	35.30395
0.1821308	99.21375	90.07289	36.86274	35.30395
0.1989013	99.21375	90.07289	36.03922	35.30395
0.2005848	99.05788	90.07289	36.03922	35.30395
0.2005848	99.05788	90.07289	36.03922	35.30395
0.2005848	99.05788	90.07289	36.03922	34.99256
0.2155209	99.05788	90.07289	36.03922	34.99256
0.2155209	99.05788	90.07289	36.03922	34.99256
0.2155209	99.05788	90.07289	36.03922	34.99256
0.2313356	99.05788	90.07289	36.70588	34.99256
0.2313356	99.05788	90.07289	36.70588	34.99256
0.2313356	98.39542	90.07289	36.70588	34.99256
0.2472301	98.39542	90.07289	36.70588	35.65427
0.2472301	98.39542	90.07289	36.70588	35.65427
0.2472301	98.39542	89.10478	36.70588	35.65427
0.2628631	98.39542	89.10478	36.70588	35.65427
0.2658139	98.39542	89.10478	37.68628	35.65427
0.2658139	98.39542	89.10478	37.68628	35.65427
0.2658139	98.74613	89.10478	37.68628	35.65427
0.2815897	98.74613	89.10478	37.68628	35.65427
0.2815897	98.74613	89.10478	37.68628	35.80996
0.2972036	98.74613	88.13667	37.68628	35.80996
0.2972036	98.74613	88.13667	37.68628	35.80996
0.3128314	98.74613	88.13667	37.84314	35.80996
0.3128314	98.59026	88.13667	37.84314	35.80996
0.3128314	98.59026	88.13667	37.84314	35.80996
0.3284594	98.59026	88.13667	37.84314	35.65427
0.3308614	98.59026	88.79499	37.84314	35.65427
0.3308614	98.59026	88.79499	37.84314	35.65427
0.3308614	98.59026	88.79499	37.84314	35.65427
0.3477668	98.59026	88.79499	37.84314	35.65427
0.3507783	98.59026	88.79499	37.84314	35.65427
0.3507783	98.59026	88.79499	37.84314	36.12135
0.3507783	98.59026	88.79499	37.84314	36.12135
0.3678306	98.59026	88.13667	37.84314	36.12135
0.370837	98.59026	88.13667	37.84314	36.12135
0.370837	98.59026	88.13667	37.84314	36.12135
0.3810413	98.08366	88.13667	37.84314	36.12135
0.3810413	98.08366	88.13667	37.84314	36.12135
0.3810413	98.08366	88.13667	37.84314	36.31597
0.3966976	98.08366	88.13667	37.84314	36.31597
0.3966976	98.08366	87.63326	37.84314	36.31597
0.3966976	98.08366	87.63326	37.84314	36.31597
0.4141569	98.08366	87.63326	38.31372	36.31597
0.416157	98.08366	87.63326	38.31372	36.31597
0.416157	98.08366	87.63326	38.31372	36.31597
0.416157	98.08366	87.63326	38.31372	36.31597
0.4310278	98.08366	87.63326	38.31372	36.31597
0.4310278	98.08366	87.98177	38.31372	36.31597
0.4310278	98.08366	87.98177	38.31372	36.31597
0.44677	98.08366	87.98177	38.66667	36.31597
0.44677	98.08366	87.98177	38.66667	36.31597
0.44677	98.08366	87.98177	38.66667	36.31597
0.4625175	98.08366	87.98177	38.66667	36.31597
0.4658156	98.08366	87.98177	38.66667	36.31597
0.4658156	98.08366	87.98177	38.66667	36.31597
0.4658156	98.08366	87.98177	38.66667	36.31597
0.4807767	98.08366	87.98177	39.13726	36.31597
0.4889143	98.08366	87.98177	39.13726	36.31597
0.4905603	97.46017	87.98177	39.13726	36.31597
0.4989884	97.46017	87.98177	39.13726	36.31597
0.4989884	97.46017	87.98177	39.13726	37.13337
0.5146084	97.46017	87.98177	39.13726	37.13337
0.5158548	97.46017	87.16856	39.13726	37.13337
0.5158548	97.46017	87.16856	39.29412	37.13337
0.5158548	97.46017	87.16856	39.29412	37.13337
0.5339333	97.10946	87.16856	39.29412	37.13337
0.5388702	97.10946	87.16856	39.29412	36.62736
0.5437451	97.10946	87.16856	39.29412	36.62736
0.548544	97.10946	87.47836	39.29412	36.62736
0.5541386	97.10946	87.47836	39.29412	36.62736
0.5586498	97.10946	87.47836	38.47059	36.62736
0.5642465	96.33009	87.47836	38.47059	36.62736
0.5663057	96.33009	87.47836	38.47059	36.62736
0.5744008	96.33009	87.47836	38.47059	37.44476
