TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.001244	79.33983	86.82005	34.23529	25.84545
0.0064889	79.33983	86.66515	34.23529	25.84545
0.0119636	79.33983	86.66515	34.23529	25.84545
0.0170244	79.33983	86.66515	34.90196	25.84545
0.0215232	79.33983	86.66515	34.90196	25.84545
0.0256296	78.52149	86.66515	34.90196	25.84545
0.0256296	78.52149	86.66515	34.90196	25.84545
0.0361872	78.52149	86.66515	34.90196	25.33944
0.0382038	78.52149	85.03873	34.90196	25.33944
0.0382038	78.52149	85.03873	34.90196	25.33944
0.0382038	78.52149	85.03873	35.52941	25.33944
0.0532082	78.52149	85.03873	35.52941	25.33944
0.0532082	78.52149	85.03873	35.52941	25.33944
0.0532082	78.52149	85.03873	35.52941	25.33944
0.0690788	78.52149	85.03873	35.52941	25.65083
0.0690788	78.52149	85.03873	35.52941	25.65083
0.0690788	78.52149	85.85194	35.52941	25.65083
0.0862609	78.52149	85.85194	35.05882	25.65083
0.0879417	78.52149	85.85194	35.05882	25.65083
0.0879417	78.20974	85.85194	35.05882	25.65083
0.0879417	78.20974	85.85194	35.05882	25.65083
0.1050801	78.20974	85.85194	35.05882	25.84545
0.1083661	78.20974	85.85194	35.05882	25.84545
0.1083661	78.20974	85.85194	35.05882	25.84545
0.1241653	78.20974	85.85194	35.05882	25.84545
0.1241653	78.20974	85.85194	35.05882	25.84545
0.1241653	77.70316	85.85194	35.05882	25.84545
0.1397633	77.70316	85.85194	35.05882	25.84545
0.1397633	77.70316	85.85194	35.05882	26.00114
0.1397633	77.70316	86.00684	35.05882	26.00114
0.1553869	77.70316	86.00684	35.05882	26.00114
0.1553869	77.70316	86.00684	35.88235	26.00114
0.1553869	77.70316	86.00684	35.88235	26.00114
0.1710139	77.70316	86.00684	35.88235	26.00114
0.1710139	77.70316	86.00684	35.88235	25.84545
0.1710139	77.70316	86.00684	35.88235	25.84545
0.1866671	77.70316	85.19362	35.88235	25.84545
0.1866671	77.70316	85.19362	35.88235	25.84545
0.1866671	77.70316	85.19362	36.19608	25.84545
0.2021231	77.70316	85.19362	36.19608	25.84545
