TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0157237	46.55266	46.03436	107.6086	107.0814
0.0167293	46.55266	46.03436	107.6086	107.0814
0.0329739	46.01359	45.76174	107.802	107.4737
0.0411841	46.01359	45.76174	107.802	107.4737
0.0666502	46.05209	45.68385	108.0341	107.0814
0.0681538	45.93658	45.76174	108.1502	107.6699
0.0840351	46.24462	46.2291	108.0341	107.7092
0.0923083	46.36013	46.30699	107.9955	107.6307
0.0944178	46.36013	46.30699	107.9955	107.6307
0.1152587	46.89921	47.04696	108.1502	106.9244
0.1172526	46.89921	47.04696	108.1502	106.9244
0.1357306	47.13024	47.04696	107.2605	106.5713
0.1357306	47.01472	47.39748	107.1832	106.0612
0.1432376	47.01472	47.39748	107.1832	106.0612
0.1592077	47.39977	47.70905	106.6416	105.5903
0.1670829	47.47678	47.90378	106.3709	105.4333
0.1828786	47.47678	47.90378	106.3709	105.4333
0.1828786	47.74632	48.37114	106.2162	105.1587
0.1933804	47.74632	48.37114	106.2162	105.1587
0.2093124	48.43941	48.79954	105.9454	104.5701
0.2093124	49.24802	49.22795	105.6746	104.5701
0.2343336	49.24802	49.22795	105.6746	104.5701
0.2343336	49.9026	49.7732	105.1718	103.6676
0.2445096	50.44168	50.55212	104.6303	103.1575
0.2616332	50.44168	50.55212	104.6303	103.1575
0.2616332	50.98075	50.90263	103.7406	102.4512
0.2773932	51.86636	51.7205	103.0057	101.7842
0.2773932	51.86636	51.7205	103.0057	101.7842
0.3104801	52.71348	51.87629	102.3094	101.0779
0.3104801	52.71348	51.87629	102.3094	101.0779
0.3182451	53.44507	52.26575	101.4972	100.3716
0.3342303	54.17667	53.20046	101.0717	99.54761
0.3342303	54.17667	53.20046	101.0717	99.54761
0.3593725	54.44621	53.43414	100.3367	99.27293
0.3593725	54.71574	54.09622	100.0273	98.88055
0.3683922	54.71574	54.09622	100.0273	98.88055
0.3883438	54.52322	53.86254	100.066	99.03751
0.3883438	54.48471	53.78465	100.066	99.2337
0.4092818	54.48471	53.78465	100.066	99.2337
0.4092818	54.09966	53.47308	100.1047	99.58685
0.4183833	54.09966	53.47308	100.1047	99.58685
0.4342897	53.59909	53.08362	100.4141	99.82227
0.4342897	53.48358	52.65521	100.8783	100.4501
0.4592997	53.48358	52.65521	100.8783	100.4501
0.4592997	53.09853	52.2268	101.3038	101.1171
0.4842973	52.98301	51.87629	101.3811	101.1956
0.4842973	52.98301	51.87629	101.3811	101.1956
0.5107807	52.75198	51.60366	101.7679	101.8627
0.5107807	52.75198	51.60366	101.7679	101.2741
0.5342978	52.79049	51.68156	101.6132	101.3133
0.5342978	52.79049	51.68156	101.6132	101.3133
0.543247	52.82899	51.68156	101.4585	101.1171
0.5591628	52.906	51.68156	101.3811	101.0387
0.5591628	52.906	51.68156	101.3811	101.0387
0.5855242	52.71348	51.75945	101.6906	101.2741
0.5855242	52.75198	52.2268	101.5745	101.1564
0.5932946	52.75198	52.2268	101.5745	101.1564
0.6091693	52.55946	52.53837	101.8453	101.0779
0.6091693	52.55946	52.53837	101.8453	101.0779
0.6341947	52.52095	52.38259	101.8066	101.2349
0.6341947	52.52095	52.57732	101.8453	101.3918
0.6433909	52.52095	52.57732	101.8453	101.3918
0.6632621	52.67497	52.34364	101.8066	101.1956
0.6632621	52.75198	52.3047	101.6132	101.2349
0.7035902	52.75198	52.3047	101.6132	101.2349
0.7035902	52.71348	52.3047	101.3811	100.9994
0.7095616	52.52095	52.07102	101.6519	100.9994
0.7409501	52.52095	52.07102	101.6519	100.9994
0.7424689	52.63647	51.95418	101.7292	101.0387
0.7445442	52.55946	51.95418	101.6519	101.0779
0.7630102	52.55946	51.95418	101.6519	101.0779
0.7630102	52.21291	51.68156	101.9226	101.1564
0.7842857	52.0974	51.2921	102.116	101.431
0.7842857	52.0974	51.2921	102.116	101.431
0.8092867	51.86636	50.7079	102.5028	102.0589
0.8092867	51.86636	50.7079	102.5028	102.0589
0.8182673	51.82786	50.51317	102.851	102.0589
0.8340656	51.90487	50.55212	102.7349	102.4905
0.8340656	51.90487	50.55212	102.7349	102.4905
0.8594485	51.90487	49.85109	103.1217	102.4512
0.8594485	51.86636	49.50057	103.5472	102.9221
0.868166	51.86636	49.50057	103.5472	102.9221
0.8855882	51.90487	49.30584	104.0114	103.1183
0.8855882	51.48131	49.46163	104.0887	103.1183
0.909261	51.48131	49.46163	104.0887	103.1183
0.909261	51.94337	49.38374	104.0114	103.2752
0.9184651	51.94337	49.38374	104.0114	103.2752
0.9368241	51.75085	49.65636	103.934	102.8436
0.9368241	51.94337	49.92898	103.3151	102.4512
0.9592618	51.94337	49.92898	103.3151	102.4512
0.9592618	52.25142	50.35739	103.083	102.2158
0.9683625	52.67497	50.74685	102.8123	101.9019
0.9842601	52.67497	50.74685	102.8123	101.9019
0.9842601	52.59796	51.05842	102.5802	101.2349
1.0164146	52.75198	51.2921	102.4642	100.9602
1.0169183	52.75198	51.2921	102.4642	100.9602
1.0329729	52.906	51.52577	102.1934	100.9602
1.0411333	52.906	51.52577	102.1934	100.9602
