TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0040617	135.1976	149.4488	91.74478	125.6793
0.006183	135.1976	149.4488	91.74478	125.6793
0.0336974	135.6389	149.9661	90.99536	124.9782
0.0384747	136.2006	150.364	90.56149	123.693
0.0628704	137.0832	151.3985	90.04872	122.4857
0.0641785	137.0832	151.3985	90.04872	122.4857
0.0673039	137.6448	152.1943	89.45708	121.2394
0.0848504	138.6077	153.2288	88.90487	120.4215
0.0884783	138.6077	153.2288	88.90487	120.4215
0.1081646	139.2897	154.2633	88.51044	119.6426
0.1144454	140.0118	155.258	88.11601	118.63
0.1157352	140.0118	155.258	88.11601	118.63
0.1405425	140.4531	155.8151	88.15545	118.3184
0.1415401	140.4531	155.8151	88.15545	118.3184
0.1582091	140.4531	155.3774	88.11601	118.3184
0.164455	140.3327	155.2183	88.07657	118.5132
0.1655018	140.3327	155.2183	88.07657	118.5132
0.1750691	140.0118	154.6612	88.27378	118.3184
0.1884685	139.6507	153.9848	88.7471	118.9805
0.2083809	139.6507	153.9848	88.7471	118.9805
0.215742	139.8112	153.8256	88.54988	119.0195
0.2181916	139.8112	153.8256	88.54988	119.0195
0.2370412	139.41	153.5869	88.51044	119.0974
0.2385115	139.6909	153.3482	88.94431	119.331
0.2652331	139.6909	153.3482	88.94431	119.331
0.2652331	139.5304	153.2686	89.22042	119.4868
0.2950665	139.3699	153.2288	89.33875	119.5258
0.3053098	139.3699	153.2288	89.33875	119.5258
0.3053098	139.5705	152.7115	89.49652	119.6037
0.3374343	139.4903	152.2341	89.69373	119.37
0.339157	139.4903	152.2341	89.69373	119.37
0.3601154	137.5646	150.0854	91.42924	121.0836
0.3643653	137.5646	150.0854	91.42924	121.0836
0.3814136	136	147.9766	93.3225	123.0699
0.3814136	136	147.9766	93.3225	123.0699
0.3903246	134.7965	145.5892	94.54524	124.7446
0.4062718	133.633	144.117	95.96519	126.1466
0.4062718	133.633	144.117	95.96519	126.1466
0.43305	132.6301	142.8836	97.22738	127.4708
0.43305	132.2289	141.9684	98.01624	127.9381
0.4404985	132.2289	141.9684	98.01624	127.9381
0.4583991	131.3062	141.0135	99.27842	128.8339
0.4583991	131.3062	141.0135	99.27842	128.8339
0.4842384	130.7847	140.0585	100.0278	129.496
0.4842384	130.2631	139.581	100.4617	130.1581
0.4904899	130.2631	139.581	100.4617	130.1581
0.5083601	129.6212	139.1036	100.7378	130.7423
0.5083601	129.3805	138.4669	100.8956	130.937
0.5380009	129.3805	138.4669	100.8956	130.937
0.5390038	129.1799	138.5067	101.0928	131.2096
0.5401269	129.1799	138.5067	101.0928	131.2096
0.5566161	128.9392	138.1486	101.4478	131.5601
0.5566161	129.0596	138.1088	101.7633	131.7938
0.5830892	129.0596	138.1088	101.7633	131.7938
0.5830892	129.1398	138.2282	101.9606	132.3391
0.5905049	129.1398	138.069	101.6845	132.5727
