TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0029398	134.2749	131.3447	103.1439	132.4169
0.0064868	134.2749	131.3447	103.1439	132.4169
0.0224415	134.1145	131.3844	102.9072	132.1833
0.0315518	134.2348	131.464	102.6311	132.3391
0.0503056	134.2348	131.464	102.6311	132.3391
0.0503056	134.1947	131.5834	102.71	132.1054
0.0731167	134.315	131.663	102.355	132.1833
0.0731167	134.4755	132.1006	102.1972	131.7549
0.1050502	134.4755	132.1006	102.1972	131.7549
0.1064409	134.8366	132.3792	102.0394	131.4822
0.1462715	135.2378	132.9362	101.5267	131.2096
0.1477082	135.7994	133.4137	101.3295	131.1317
0.1758893	136.5215	134.2891	100.4223	129.8076
0.1809724	136.8024	134.8461	100.0673	129.3792
0.2000939	137.0431	135.3634	99.94896	128.9897
0.20682	137.0431	135.3634	99.94896	128.9897
0.2093089	137.7251	135.8806	99.4362	128.3665
0.2277574	138.2065	136.3979	98.80511	127.7434
0.2317453	138.2065	136.3979	98.80511	127.7434
0.2502901	138.8484	136.9947	98.09513	126.614
0.2569271	139.6507	138.1884	97.50348	125.7182
0.2580479	139.6507	138.1884	97.50348	125.7182
0.2758286	140.2926	139.2229	97.03016	124.5888
0.2818924	140.2926	139.2229	97.03016	124.5888
0.2988022	141.0148	140.2177	96.5174	123.693
0.3066559	141.6566	141.5705	96.08353	122.8751
0.3077801	141.6566	141.5705	96.08353	122.8751
0.3265755	142.1782	142.5652	95.53133	122.1352
0.3265755	142.459	143.0825	95.05801	121.7457
0.3500099	142.459	143.0825	95.05801	121.7457
0.3569296	142.3386	143.2417	95.05801	121.551
0.3580504	142.3386	143.2417	95.05801	121.551
0.3750078	141.9776	142.8836	94.90023	121.3952
0.3819263	142.0578	142.4857	94.82134	121.4341
0.3988766	142.0578	142.4857	94.82134	121.4341
0.3988766	141.6566	141.9286	94.62413	121.3562
0.4236297	141.9776	142.2071	94.82134	121.0057
0.4236297	141.9776	142.2071	94.82134	121.0057
0.4526612	141.9375	142.7244	94.74246	121.0057
0.4526612	142.2584	143.0825	94.54524	120.6942
0.4736162	142.4991	143.6794	94.42691	120.811
0.4816583	142.4991	143.6794	94.42691	120.811
0.4999693	142.4991	143.7191	94.5058	120.6163
0.5068014	142.4991	143.7191	94.5058	120.6163
0.5238079	142.5793	143.6794	94.38747	120.7331
0.5238079	142.5793	143.6794	94.38747	120.7331
0.5510693	142.8201	144.0374	93.71693	120.4994
0.556779	142.8201	144.0374	93.71693	120.4994
0.5757482	142.6997	143.8385	93.55917	120.071
0.5812623	142.5392	143.6794	93.79582	120.2268
0.58226	142.5392	143.6794	93.79582	120.2268
0.6009449	142.8201	144.2762	93.40139	119.9542
0.6009449	142.8201	144.2762	93.40139	119.9542
0.6234107	143.0206	144.3956	93.44083	120.071
0.6234107	143.4619	144.8332	93.12529	119.7205
0.6234107	143.4619	144.8332	93.12529	119.7205
0.6546271	143.7428	145.1118	93.40139	119.4089
0.656639	144.3445	145.629	93.08585	119.331
0.6734527	144.3445	145.629	93.08585	119.331
0.6816987	144.4248	145.7086	92.65197	118.9805
0.6827232	144.4248	145.7086	92.65197	118.9805
0.7030249	144.5853	145.9473	92.84919	118.5521
0.7064039	144.826	146.1861	92.29698	118.7079
0.7240882	144.826	146.1861	92.29698	118.7079
0.7316136	144.6254	146.1861	92.09977	118.2016
