TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0024205	82.68319	109.7788	70.48492	69.24628
0.0332013	82.76342	109.5401	70.2877	69.40206
0.0349299	82.76342	109.5401	70.2877	69.40206
0.0483018	82.52271	109.5799	70.32715	69.24628
0.0483018	82.7233	109.6992	70.32715	69.24628
0.0617014	82.80354	109.4605	70.2877	69.0126
0.0835647	82.80354	109.4605	70.2877	69.0126
0.0853928	82.84366	109.4605	70.12993	69.0126
0.1000251	83.08437	109.5799	70.12993	69.0126
0.1000251	83.08437	109.5799	70.12993	68.66209
0.1117596	83.40531	109.8982	70.32715	68.5063
0.1341344	83.40531	109.8982	70.32715	68.5063
0.1354216	83.56578	110.2961	70.0116	68.46735
0.1542774	83.96696	110.1369	69.57773	68.11684
0.1542774	83.96696	110.1369	69.57773	68.11684
0.1617283	84.12743	110.3359	69.57773	67.96088
0.1835187	84.12743	110.3359	69.57773	67.96088
0.1835187	84.40826	111.0919	69.10441	67.60875
0.1996935	84.84956	111.0123	68.82831	66.98274
0.1996935	84.84956	111.0123	68.82831	66.98274
0.2117762	84.96991	111.4102	68.67053	66.78711
0.2305143	85.69203	111.6091	68.31554	66.82624
0.2305143	85.69203	111.6091	68.31554	66.82624
0.2511628	85.73215	111.7683	68.15778	66.23936
0.2826491	85.85251	111.7285	67.96033	66.1611
0.2853787	86.0531	111.8081	67.92065	66.0046
0.3025446	85.81239	111.8877	67.64294	66.04373
0.3025446	86.09322	111.6887	67.84131	65.8481
0.3116697	86.09322	111.6887	67.84131	65.8481
0.3275745	86.49439	111.7683	67.68262	66.20023
0.3275745	85.97286	111.5295	67.84131	65.80898
0.3526477	85.97286	111.5295	67.84131	65.80898
0.3526477	86.17345	111.8479	68	66.1611
0.3776382	86.17345	111.8479	68	66.1611
0.3776382	85.85251	111.7683	68	66.12198
0.3866541	85.77227	111.7285	68.19721	66.55236
0.4026702	85.77227	111.7285	68.19721	66.55236
0.4026702	85.89262	111.1317	68.19721	66.70886
0.4271863	85.57168	110.7338	68.19721	66.55236
0.4271863	85.57168	110.7338	68.19721	66.55236
0.436633	85.65192	111.0123	68.2761	66.78711
0.4553214	85.65192	111.0123	68.2761	66.78711
0.4553214	85.73215	111.0521	68.03944	66.3176
0.4776476	85.49145	111.0919	68.39443	66.47411
0.4776476	85.49145	111.0919	68.39443	66.47411
0.4866508	85.49145	110.8929	68.2761	66.66974
0.5038969	85.57168	111.0919	68.51276	66.59148
0.5038969	85.57168	111.0919	68.51276	66.59148
0.5276536	85.85251	111.1714	68.19721	66.66974
0.5276536	85.85251	111.1714	68.19721	66.66974
0.5366753	85.65192	111.0521	68.2761	66.63061
0.5540742	85.65192	111.2908	68.35499	66.51324
0.5540742	85.65192	111.2908	68.35499	66.51324
0.5791318	85.73215	111.3306	67.96033	66.51324
0.5791318	85.93275	111.5693	67.68262	66.51324
0.5866484	85.93275	111.5693	67.68262	66.04373
0.6039413	86.21357	111.5693	67.68262	66.51324
0.6039413	86.21357	111.5693	67.68262	66.51324
0.6277068	86.45428	111.8877	67.80164	66.12198
0.6277068	86.49439	111.9672	67.4049	65.92635
0.636671	86.49439	111.9672	67.4049	65.92635
0.6527326	86.53452	111.9672	67.4049	65.6916
0.6527326	86.53452	111.9672	67.4049	65.6916
0.6776993	86.65487	112.007	67.20654	65.76985
0.6776993	86.97581	112.4049	67.44457	65.88723
0.6866673	86.97581	112.4049	67.44457	65.88723
0.7027242	86.41416	112.3651	67.36523	65.6916
0.7027242	86.81534	112.4447	66.88914	65.5351
0.7276327	86.81534	112.4447	66.88914	65.5351
0.7276327	86.89558	112.6437	67.12719	65.37859
0.7366521	86.89558	112.6437	67.12719	65.37859
0.7539228	86.57463	112.5243	66.9685	65.37859
0.7539228	86.53452	112.2458	67.00817	65.65247
0.7776507	86.53452	112.2458	67.00817	65.65247
0.7776507	86.37404	112.4049	67.12719	65.73073
0.7866711	86.45428	112.1662	67.04784	65.80898
0.8027256	86.45428	112.1662	67.04784	65.80898
0.8027256	86.21357	112.1264	67.4049	65.73073
0.8289967	86.21357	112.1264	67.4049	65.73073
0.8289967	86.25368	112.4049	67.24621	65.96548
0.8366589	86.25368	112.5641	67.4049	65.88723
0.855496	86.25368	112.5641	67.4049	65.88723
0.855496	86.13333	112.5641	67.28588	66.04373
0.884731	86.01298	112.4049	67.20654	66.12198
0.9004401	86.01298	112.4049	67.20654	66.12198
0.9075859	85.49145	111.8081	67.56359	66.59148
0.9321599	85.09026	111.3306	67.64294	66.78711
0.9321599	85.09026	111.3306	67.64294	66.78711
0.9378842	85.01003	111.3704	68	67.37399
0.9566983	84.84956	110.9725	67.96033	67.41312
0.9566983	84.84956	110.9725	67.96033	67.41312
0.9700512	84.84956	111.1714	68.07889	67.21749
0.9700512	84.84956	111.1714	68.07889	67.21749
0.9866567	85.01003	111.251	67.88098	67.37399
1.0092878	85.13039	111.3306	68	67.49137
1.0103403	85.13039	111.3306	68	67.49137
1.0329177	85.1705	111.5295	68.23666	67.33487
1.0329177	85.41121	111.5693	68	67.25661
1.0379732	85.41121	111.5693	68	67.25661
1.0500819	85.33097	111.2112	67.80164	67.17837
1.0500819	85.45132	111.2112	67.72229	67.17837
1.0808574	85.45132	111.6091	67.72229	67.17837
1.0808574	85.21062	111.2112	67.76196	67.13924
1.102645	85.21062	111.2112	67.76196	67.13924
1.102645	85.41121	111.6489	67.48425	67.06099
1.1116678	85.25074	111.8081	67.44457	66.90449
1.1277333	85.25074	111.8081	67.44457	66.90449
1.1277333	85.85251	111.9274	67.20654	66.70886
1.1368023	86.21357	112.1264	67.16686	66.47411
