TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0056156	55.96923	61.21198	60.22404	51.80207
0.0344954	55.84852	61.25191	60.26371	51.91945
0.0367393	55.84852	61.25191	60.26371	51.91945
0.0380768	56.13018	61.25191	60.22404	52.11507
0.0516243	56.17041	61.21198	60.22404	51.72382
0.0516243	56.25089	60.9724	60.50175	51.52819
0.102829	56.25089	60.9724	60.50175	51.52819
0.1054059	56.29112	61.25191	60.5811	51.60645
0.1356347	56.33136	60.9724	60.73979	51.64557
0.1370591	56.33136	60.9724	60.73979	51.64557
0.1524558	56.21065	60.65297	60.85881	51.48907
0.1620235	56.21065	60.65297	60.85881	51.48907
0.1630184	56.45207	60.73283	60.93816	51.44994
0.1857584	56.53254	60.81268	61.05717	51.05869
0.1867503	56.53254	60.81268	61.05717	51.05869
0.1867503	56.49231	60.85261	60.73979	50.94131
0.2000358	56.49231	60.85261	60.73979	50.94131
0.2000358	56.85444	61.05226	60.73979	51.05869
0.2343528	57.13609	61.49149	60.73979	51.09781
0.2370178	57.13609	61.49149	60.73979	51.09781
0.2539674	57.05562	61.09219	60.77946	50.62831
0.2620909	57.17633	61.6512	60.85881	50.43268
0.2645186	57.17633	61.6512	60.85881	50.43268
0.281576	57.05562	61.77099	60.62077	50.04143
0.281576	57.05562	61.77099	60.62077	50.04143
0.3041335	56.8142	62.25014	60.5811	49.96318
0.3041335	57.25681	62.33001	60.38273	49.8458
0.3145092	57.25681	62.33001	60.38273	49.8458
0.333135	57.25681	62.48972	60.38273	49.65017
0.333135	57.09586	62.48972	60.46208	49.37629
0.3541436	57.09586	62.48972	60.46208	49.37629
0.3620485	57.45799	62.44979	60.34306	49.14154
0.36315	57.45799	62.44979	60.34306	49.14154
0.3813871	57.21657	62.52966	60.14469	49.06329
0.3813871	57.45799	62.56958	60.02567	49.02417
0.4040294	57.45799	62.56958	60.02567	49.02417
0.4040294	57.61893	62.76923	60.02567	48.71116
0.4132495	57.94083	63.28831	60.06535	48.51553
0.4306833	57.94083	63.28831	60.06535	48.51553
0.4370644	57.90059	63.4081	59.86698	48.31991
0.4554708	57.90059	63.4081	59.86698	48.31991
0.4620673	57.82012	63.56782	59.86698	48.51553
0.4644848	58.22248	63.48796	59.78763	48.39816
0.4815347	58.22248	63.48796	59.78763	48.39816
0.4815347	57.82012	63.24839	60.02567	48.43728
0.5039488	57.82012	63.28831	59.8273	48.43728
0.5132271	57.82012	63.28831	59.8273	48.43728
0.5143482	57.33728	62.92895	59.8273	48.82854
0.5302305	57.33728	62.92895	59.8273	48.82854
0.5370532	57.21657	62.88902	59.62894	48.86766
0.5540597	57.09586	62.52966	60.02567	48.94592
0.5620293	57.09586	62.52966	60.02567	48.94592
0.5631521	56.77396	62.48972	60.06535	49.65017
0.5790683	57.17633	62.36993	60.26371	49.88493
0.5870282	57.17633	62.36993	60.26371	49.88493
0.6109606	56.8142	62.09043	60.46208	49.92405
0.6121243	56.8142	62.09043	60.46208	49.92405
0.6169042	56.93491	61.89078	60.73979	50.43268
0.6245327	56.8142	61.93071	60.70012	50.47181
0.6372485	56.8142	61.93071	60.70012	50.47181
0.6580979	56.53254	61.49149	60.85881	50.43268
0.6619934	56.08994	61.25191	60.77946	50.19793
0.6727001	56.08994	61.25191	60.77946	50.19793
0.6869706	56.17041	61.41162	60.89848	50.55006
0.7064199	56.13018	61.29184	61.0175	50.66743
0.7120038	56.21065	61.17205	61.53326	51.05869
0.730734	56.21065	61.17205	61.53326	51.05869
0.743201	55.92899	61.25191	61.29522	51.05869
0.7470267	55.68757	60.85261	61.57293	51.41082
0.7481515	55.52663	60.69289	61.81097	51.48907
0.7796208	55.52663	60.69289	61.81097	51.48907
0.7796208	55.6071	60.85261	61.57293	51.44994
0.7881446	55.40592	60.61304	61.65228	51.44994
0.8039893	55.40592	60.61304	61.65228	51.44994
0.8039893	55.64734	60.73283	61.69195	51.48907
0.8293348	55.56686	61.09219	61.57293	51.29344
0.8293348	55.56686	61.09219	61.57293	51.29344
0.8383065	55.40592	61.33177	61.6126	51.13694
0.8560394	55.52663	61.45156	61.1762	50.94131
0.8560394	55.52663	61.45156	61.1762	50.94131
0.8788208	55.52663	61.33177	61.69195	51.60645
0.8788208	55.52663	61.33177	61.69195	51.60645
0.8894417	55.24497	61.21198	61.85064	51.21519
0.9070202	55.48639	61.45156	61.57293	51.48907
0.9070202	55.48639	61.45156	61.57293	51.48907
0.9236353	55.20473	61.33177	61.57293	51.56732
0.9236353	54.96331	61.05226	61.37456	51.80207
0.9382515	54.96331	61.05226	61.37456	51.80207
0.9597571	54.8426	61.29184	61.49358	51.9977
0.9597571	54.8426	61.29184	61.49358	51.9977
0.9815689	54.56095	61.05226	61.6126	52.11507
0.9870252	54.31953	60.69289	61.73162	52.03682
0.9881452	54.31953	60.69289	61.73162	52.03682
0.9881452	54.44024	60.9724	61.77129	52.27158
1.0103394	54.23905	60.9724	61.29522	52.34983
1.0307248	54.23905	60.9724	61.29522	52.34983
1.0370071	54.44024	61.17205	61.81097	52.50633
1.0406976	54.44024	61.17205	61.81097	52.50633
1.0470493	54.48047	61.49149	61.77129	52.50633
1.0611958	54.72189	61.3717	61.92999	52.46721
1.0804232	54.72189	61.3717	61.92999	52.46721
1.0870342	54.27929	61.09219	61.77129	52.46721
1.0881617	54.19882	60.93247	61.33489	52.66283
1.1040803	54.19882	60.93247	61.33489	52.66283
1.1120308	53.99763	60.93247	61.85064	52.78021
1.1306727	53.99763	60.93247	61.85064	52.78021
1.1369977	54.03787	60.89254	61.41423	52.62371
1.1381104	53.91716	60.9724	61.6126	52.93671
1.1540118	53.91716	60.9724	61.6126	52.93671
1.161995	53.83669	61.01233	61.53326	53.09321
1.1810583	53.91716	61.13212	61.57293	52.78021
1.1870341	53.91716	61.13212	61.57293	52.78021
1.2040827	53.67574	60.93247	61.49358	52.85846
1.2120335	53.67574	60.93247	61.49358	52.85846
1.2289079	54.07811	61.17205	61.89032	53.28884
1.2370235	54.07811	61.17205	61.89032	53.28884
1.2545915	53.43432	60.85261	61.65228	53.32796
1.2620386	53.67574	61.05226	61.53326	53.13234
1.2630305	53.67574	61.05226	61.53326	53.13234
1.2804141	53.47456	61.17205	61.57293	52.70196
1.2804141	53.47456	61.17205	61.57293	52.70196
1.288137	53.9574	61.25191	61.45391	52.78021
1.3039985	53.91716	61.33177	61.6126	52.66283
1.3039985	53.91716	61.33177	61.6126	52.66283
1.3352706	53.6355	61.21198	61.57293	52.70196
1.3370098	53.9574	61.33177	61.81097	52.74108
1.3381077	53.9574	61.33177	61.81097	52.74108
1.3766382	54.07811	61.41162	61.53326	52.50633
1.3844819	54.07811	61.41162	61.53326	52.50633
1.4013292	53.83669	61.29184	61.77129	52.85846
1.4120599	53.91716	61.33177	61.57293	52.70196
1.4131843	54.07811	61.45156	61.65228	52.78021
1.4306169	54.07811	61.45156	61.65228	52.78021
1.4368304	54.19882	61.41162	61.77129	52.58458
1.4535455	54.19882	61.41162	61.77129	52.58458
1.4615336	54.07811	61.17205	61.73162	52.19333
1.4635644	53.91716	61.13212	61.81097	52.34983
1.4828637	53.91716	61.13212	61.81097	52.34983
1.4870145	54.11834	61.3717	61.57293	52.54546
1.505728	54.19882	61.41162	61.53326	52.46721
1.5120298	54.19882	61.41162	61.53326	52.46721
1.5144574	54.31953	61.57135	61.81097	52.27158
1.5331713	54.31953	61.57135	61.81097	52.27158
1.5370239	54.23905	61.85085	61.85064	52.11507
1.5540778	54.35976	61.6512	61.53326	52.03682
1.56203	54.35976	61.6512	61.53326	52.03682
1.5631534	54.4	61.81092	61.45391	51.95857
1.585197	54.4	61.57135	61.33489	51.64557
1.586789	54.4	61.57135	61.33489	51.64557
1.6090368	54.48047	61.57135	61.33489	51.80207
1.6108731	54.48047	61.57135	61.33489	51.80207
1.6152336	54.35976	61.45156	61.13652	51.60645
1.6353421	54.31953	61.57135	61.45391	51.8412
1.6363019	54.31953	61.57135	61.45391	51.8412
1.6587118	54.27929	61.53141	61.57293	51.91945
1.6587118	54.44024	61.61127	61.45391	52.11507
1.6820803	54.44024	61.61127	61.45391	52.11507
1.6820803	54.35976	61.3717	61.96966	52.11507
1.7057867	54.19882	61.41162	61.77129	52.19333
1.7057867	54.31953	61.45156	61.69195	52.34983
1.7291067	54.31953	61.45156	61.69195	52.34983
1.7370934	54.03787	61.05226	61.77129	52.42808
1.7539967	54.19882	61.09219	61.49358	52.07595
1.7539967	54.03787	61.17205	61.77129	52.50633
1.7791298	53.71598	61.01233	61.77129	52.46721
1.7871372	53.71598	61.01233	61.77129	52.46721
1.8058676	53.55503	61.05226	61.89032	52.66283
1.8121233	53.59526	60.5731	62.00933	53.09321
1.8311168	53.59526	60.81268	61.85064	53.24971
1.8370596	53.59526	60.81268	61.85064	53.24971
1.8380497	53.55503	60.5731	62.08868	53.24971
