TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.002996	47.31834	55.54198	65.97666	57.98389
0.0108387	47.31834	55.54198	65.97666	57.98389
0.0171275	46.99645	55.86142	66.05601	58.02301
0.0359979	46.99645	55.86142	66.05601	58.02301
0.0376469	46.91598	55.98121	65.81797	57.94476
0.0530647	47.03669	56.02114	66.05601	58.14039
0.084468	46.95621	56.02114	66.17503	58.37514
0.084468	46.95621	56.3805	66.17503	58.6099
0.100085	46.99645	56.54022	66.09568	58.29689
0.100085	46.99645	56.54022	66.09568	58.29689
0.1313309	46.95621	56.54022	65.97666	58.02301
0.1313309	46.95621	56.54022	66.05601	57.94476
0.1313309	46.95621	56.54022	66.05601	57.94476
0.1469481	46.8355	56.50029	65.46091	57.74914
0.1624169	47.07692	56.73987	65.50058	58.02301
0.1781853	47.07692	56.73987	65.50058	58.02301
0.1781853	46.91598	56.58015	65.85764	57.98389
0.1781853	46.91598	56.58015	65.85764	57.98389
0.2094284	46.95621	56.69994	65.42123	58.21864
0.2094284	46.67456	56.66001	65.7783	58.37514
0.2250241	46.67456	56.66001	65.7783	58.37514
0.2250241	46.71479	56.62008	66.05601	58.33602
0.2405611	46.27219	56.46037	65.93699	58.80552
0.2562734	46.27219	56.46037	65.93699	58.80552
0.2562734	45.82959	56.26072	66.29405	59.00115
0.2717875	45.54793	56.22079	66.3734	59.31416
0.2873907	45.54793	56.22079	66.3734	59.31416
0.2873907	45.46746	55.98121	66.41307	59.66628
0.3030098	45.46746	55.98121	66.41307	59.66628
0.3030098	45.06509	55.62185	66.92882	59.90104
0.334398	44.82367	55.38227	66.8098	60.01841
0.334398	44.82367	55.38227	66.8098	60.01841
0.334398	44.50177	55.54198	66.9685	60.48792
0.3500059	44.30059	55.14269	67.32555	60.64442
0.3500059	44.30059	55.14269	67.32555	60.64442
0.3812652	44.13964	54.90311	67.68262	61.03568
0.3812652	44.13964	54.90311	67.68262	61.03568
0.3812652	43.61657	54.90311	67.92065	60.9183
0.3968739	43.25444	54.70346	68.35499	61.19218
0.4123609	43.25444	54.70346	68.35499	61.19218
0.4280154	43.05325	54.06459	68.15778	61.62255
0.4280154	43.05325	54.14445	68.43388	61.77906
0.4280154	43.05325	54.14445	68.43388	61.77906
0.45938	42.7716	53.98473	68.82831	61.73993
0.45938	42.69112	53.82502	69.14385	61.73993
0.474981	42.69112	53.82502	69.14385	61.97468
0.474981	42.53018	53.78508	69.06496	61.89643
0.5062166	42.53018	53.78508	69.06496	61.89643
0.5062166	42.57042	53.90487	69.06496	61.89643
0.5062166	42.53018	53.70523	68.94663	62.17031
0.5374592	42.53018	53.70523	68.94663	62.17031
0.5374592	42.53018	53.70523	69.10441	62.09206
0.5529508	42.69112	53.74516	69.14385	61.58343
0.5529508	42.69112	53.74516	69.14385	61.58343
0.5529508	42.89231	54.02466	68.98608	62.01381
0.5843539	42.89231	54.02466	68.98608	62.01381
0.5843539	42.93254	53.98473	68.86775	61.58343
0.6115575	43.17397	53.98473	69.22274	61.70081
0.6129321	43.17397	53.98473	69.22274	61.70081
0.6153159	42.97278	54.02466	69.06496	61.70081
0.6366842	43.01302	54.02466	69.02552	61.70081
0.6379216	43.01302	54.02466	69.02552	61.70081
0.6525306	42.89231	53.66529	69.1833	61.62255
0.6525306	42.89231	53.66529	69.1833	61.62255
0.6525306	42.85207	53.266	69.26218	61.89643
