TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0049876	72.21239	80.89175	68.23666	57.67089
0.0185586	72.21239	80.85196	68.35499	57.86651
0.020983	72.21239	80.85196	68.35499	57.86651
0.0432959	72.21239	80.65302	68.51276	57.74914
0.0444828	72.21239	80.65302	68.51276	57.74914
0.0687563	72.13216	80.97133	68.51276	57.82739
0.0698163	71.93156	80.21533	68.67053	58.06214
0.0701914	71.93156	80.21533	68.67053	58.06214
0.0934288	71.81121	80.37449	68.70998	57.82739
0.0946234	71.81121	80.37449	68.70998	57.82739
0.1187595	71.85133	80.61323	68.9072	57.82739
0.1198247	72.0118	80.65302	68.55221	58.06214
0.1204779	72.0118	80.65302	68.55221	58.06214
0.1437315	71.65073	80.97133	68.94663	57.86651
0.1448909	71.93156	80.73259	68.67053	58.06214
0.1797312	71.93156	80.73259	68.67053	58.06214
0.1812135	72.21239	80.73259	68.70998	58.02301
0.1823088	72.09203	80.89175	68.70998	57.71001
0.1937234	72.05192	80.97133	68.23666	57.71001
0.2187132	72.05192	80.97133	68.23666	57.71001
0.2198093	72.49322	80.85196	68.19721	57.82739
0.2217152	72.65369	80.93154	68	57.43613
0.2437285	72.65369	80.93154	68	57.43613
0.2448053	72.89439	80.93154	68.11833	57.39701
0.268732	72.89439	80.93154	68.11833	57.39701
0.2698039	73.01475	81.48859	67.68262	57.43613
0.2722349	73.17522	81.4488	67.84131	57.12313
0.295	73.17522	81.4488	67.84131	57.12313
0.2960094	73.69675	81.88648	67.12719	56.96663
0.3201409	73.97758	81.92627	67.00817	56.57537
0.3201409	73.97758	81.92627	67.00817	56.57537
0.3201409	74.41888	82.16501	66.73045	56.14499
0.3358261	74.459	82.04564	66.45274	55.94937
0.3358261	74.459	82.04564	66.45274	55.94937
0.3671826	74.49911	82.08543	66.69078	55.55811
0.3671826	74.49911	82.08543	66.69078	55.55811
0.3671826	74.82006	81.96606	66.53209	55.44073
0.3827777	75.06077	82.24459	66.17503	55.20598
0.3827777	75.06077	82.24459	66.17503	55.20598
0.4140175	75.14101	82.28438	66.29405	55.47986
0.4140175	75.14101	82.28438	66.29405	55.47986
0.4140175	75.10088	82.36395	66.57176	55.36248
0.4296414	75.50207	82.52311	66.57176	55.28423
0.4451379	75.50207	82.52311	66.57176	55.28423
0.4611588	75.14101	82.64248	66.45274	55.40161
0.4611588	75.30148	82.28438	66.53209	55.55811
0.4921898	75.30148	82.28438	66.53209	55.55811
0.4921898	74.86018	82.32417	66.65111	55.44073
0.5080191	74.69971	82.12522	66.77013	55.47986
0.5080191	74.61947	81.92627	66.61143	55.47986
0.5389719	74.61947	81.92627	66.61143	55.47986
0.5389719	74.86018	82.24459	66.61143	55.24511
0.5389719	74.86018	81.96606	66.3734	55.28423
0.5702889	74.86018	81.96606	66.3734	55.28423
0.5702889	75.18112	82.08543	66.69078	55.36248
0.5702889	75.06077	82.08543	66.49242	55.12773
0.5858547	75.06077	82.08543	66.49242	55.12773
0.5858547	75.10088	81.80691	66.84947	55.12773
0.6170954	75.10088	81.80691	66.84947	55.12773
0.6170954	75.02065	81.48859	66.88914	55.12773
0.6327191	74.73982	81.32943	67.12719	55.36248
0.6327191	74.73982	81.32943	67.12719	55.36248
0.6327191	74.459	81.24986	67.32555	55.63636
0.6639648	74.09794	81.13049	67.76196	55.75374
0.6639648	74.09794	81.13049	67.76196	55.75374
0.6795834	74.0177	80.41428	68.03944	56.10587
0.6795834	74.0177	80.41428	68.03944	56.10587
0.6950603	74.17817	80.61323	68.55221	56.37975
0.7110987	73.93746	80.61323	68.86775	56.37975
0.7110987	73.93746	80.61323	68.86775	56.37975
0.7421882	73.49616	80.17554	68.94663	56.6145
0.7421882	73.29558	79.85722	69.1833	56.96663
0.7421882	73.29558	79.85722	69.1833	56.96663
0.7579632	72.81416	79.53891	69.10441	57.04488
0.7579632	72.81416	79.53891	69.10441	57.04488
0.7891886	72.49322	79.5787	69.30162	57.16225
0.7891886	72.61357	79.73786	69.30162	57.47526
0.8201713	72.61357	79.73786	69.30162	57.47526
0.8201713	72.37286	79.26038	69.57773	57.63176
0.8360687	72.17227	79.18081	69.81438	58.02301
0.8360687	71.73097	79.06144	69.93272	58.06214
0.8671936	71.61062	78.54417	70.16937	58.25777
0.8671936	71.61062	78.54417	70.16937	58.25777
0.8826557	71.61062	78.62376	70.40603	58.06214
0.8826557	71.24956	78.58397	70.40603	58.41427
0.8982572	71.49026	78.62376	70.48492	58.68815
0.9141753	71.49026	78.62376	70.48492	58.68815
0.9141753	71.28967	78.30544	70.76102	58.7664
0.9295243	71.65073	78.54417	70.64269	59.00115
0.9295243	71.65073	78.54417	70.64269	59.00115
0.9610404	71.24956	78.34523	70.60325	59.04028
0.9610404	71.24956	78.34523	70.60325	59.04028
0.9610404	70.64779	78.62376	70.64269	58.88377
0.9936711	70.92861	78.66354	70.5638	59.19678
0.9940507	70.92861	78.66354	70.5638	59.19678
1.0187642	70.84838	78.70334	70.32715	59.31416
1.019831	70.72803	78.94207	70.52436	59.2359
1.0212314	70.72803	78.94207	70.52436	59.2359
1.0435827	70.64779	78.70334	70.40603	59.39241
1.0443869	70.64779	78.70334	70.40603	59.39241
1.0601592	70.48731	78.62376	70.52436	59.15765
1.0601592	70.72803	78.58397	70.40603	59.39241
1.0601592	70.72803	78.58397	70.40603	59.39241
1.0914054	70.6879	78.8625	70.32715	59.27503
1.0914054	70.6879	78.8625	70.32715	59.27503
1.10702	70.84838	78.8625	70.16937	58.80552
1.10702	71.20944	79.14102	69.81438	58.88377
1.10702	71.20944	79.14102	69.81438	58.88377
1.138274	71.41003	79.69807	69.81438	58.72727
1.138274	71.5705	80.17554	69.57773	58.57077
1.138274	71.5705	80.17554	69.57773	58.57077
1.1538667	71.85133	80.45406	69.1833	58.14039
1.169361	71.85133	80.45406	69.1833	58.14039
1.1851893	72.25251	81.01112	68.9072	57.47526
1.1851893	72.57345	81.13049	68.19721	57.51439
1.216377	72.57345	81.13049	68.19721	57.51439
1.216377	73.01475	81.64775	68.07889	57.24051
1.216377	72.85428	81.80691	67.68262	56.96663
1.2321932	72.85428	81.80691	67.68262	56.96663
1.2321932	73.21534	82.16501	67.16686	56.6145
1.2476065	73.21534	82.16501	67.16686	56.6145
1.2632473	73.85722	82.60269	66.53209	56.18412
1.2632473	73.89735	82.84143	66.41307	55.87112
1.2945049	73.89735	82.84143	66.41307	55.87112
1.2945049	73.89735	83.00059	66.2147	55.91024
1.31023	74.13805	83.43827	66.41307	55.91024
1.31023	74.13805	83.43827	66.41307	55.91024
1.31023	74.05782	83.3189	66.57176	55.91024
1.3411931	74.05782	83.3189	66.57176	55.91024
1.3411931	73.81711	83.27911	66.25438	55.79287
1.3572221	73.49616	82.72206	66.3734	56.10587
1.3572221	73.49616	82.72206	66.3734	56.10587
1.3725175	73.29558	83.00059	66.88914	56.30149
1.3882099	73.33569	82.68227	66.73045	56.30149
1.3882099	73.33569	82.68227	66.73045	56.30149
1.4041059	72.61357	82.60269	67.08752	56.57537
1.4193011	72.61357	82.60269	67.08752	56.57537
1.4193011	72.61357	82.60269	67.00817	56.49712
1.4509592	72.45309	82.40375	67.16686	56.88838
1.4509592	72.45309	82.40375	67.16686	56.88838
1.4661745	72.57345	82.48332	67.56359	57.16225
1.4819526	72.57345	82.48332	67.56359	57.16225
1.4819526	72.29263	82.2048	67.76196	57.084
1.5131985	72.17227	82.32417	67.64294	57.16225
1.5131985	72.05192	82.2048	67.52392	57.39701
1.5131985	72.05192	82.2048	67.52392	57.39701
1.5290651	71.81121	82.08543	67.84131	57.74914
1.5442725	71.69086	81.92627	67.80164	57.78826
1.5600247	71.69086	81.92627	67.80164	57.78826
1.5600247	71.3298	81.76711	67.88098	57.82739
1.5912877	71.36991	81.84669	67.88098	57.86651
1.5912877	71.16932	82.00585	67.76196	58.21864
1.6069086	71.16932	82.00585	67.76196	58.21864
1.6069086	70.8885	81.72733	67.60326	58.37514
1.6381619	70.72803	81.76711	68.15778	58.4534
1.6381619	70.72803	81.76711	68.15778	58.4534
1.653777	70.64779	81.52838	68.51276	58.49252
1.6692427	70.64779	81.52838	68.51276	58.72727
1.6850204	70.52744	81.52838	68.51276	58.84465
1.6850204	70.52744	81.52838	68.51276	58.84465
1.7162579	70.40708	81.56817	68.51276	58.84465
1.7162579	70.40708	81.56817	68.51276	58.84465
1.7321535	70.16637	81.17027	68.51276	58.72727
1.7321535	70.16637	81.17027	68.51276	58.72727
