TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0009966	66.10888	66.28303	50.028	48.67204
0.0377323	66.10888	66.28303	50.028	48.67204
0.0377323	66.31006	66.68233	49.82964	48.35903
0.0377323	66.47101	66.68233	50.10735	48.20253
0.0689704	66.22958	66.32296	49.75029	48.51553
0.0689704	66.22958	66.32296	49.75029	48.51553
0.0689704	66.0284	66.36289	49.90899	48.47641
0.1001595	66.0284	66.36289	49.90899	48.47641
0.1001595	66.06864	66.68233	49.82964	48.43728
0.1158304	66.06864	66.68233	49.67094	48.39816
0.1158304	66.06864	66.68233	49.67094	48.39816
0.1158304	66.55148	66.52261	50.06768	48.31991
0.1470931	66.59171	66.84204	49.86931	48.28078
0.1470931	66.59171	66.84204	49.86931	48.28078
0.1627484	66.22958	66.60246	50.028	48.39816
0.1627484	66.10888	66.36289	50.1867	48.39816
0.1627484	66.10888	66.36289	50.1867	48.39816
0.1939725	66.22958	66.68233	49.90899	48.55466
0.1939725	66.22958	66.68233	49.90899	48.55466
0.225145	65.86745	66.44275	50.1867	48.47641
0.2262451	65.90769	66.28303	50.26604	48.55466
0.2272157	65.90769	66.28303	50.26604	48.55466
0.2501646	66.06864	66.36289	50.34539	48.55466
0.2513853	66.06864	66.36289	50.34539	48.55466
0.2707746	66.06864	66.52261	50.30572	48.63291
0.2707746	66.18935	66.44275	50.30572	48.78941
0.2707746	66.18935	66.44275	50.30572	48.78941
0.2864043	66.06864	66.12331	50.34539	48.59378
0.2864043	66.31006	66.36289	50.46441	48.59378
0.317651	66.31006	66.36289	50.46441	48.59378
0.317651	66.06864	66.40282	50.42474	48.55466
0.317651	66.06864	66.40282	50.42474	48.55466
0.3488924	65.98817	66.08338	50.26604	48.82854
0.3488924	66.06864	66.12331	50.58343	48.86766
0.3488924	66.06864	66.12331	50.58343	48.86766
0.3645145	65.66628	66.28303	50.22637	48.71116
0.3645145	66.0284	66.04345	50.42474	48.82854
0.3957589	66.0284	66.04345	50.42474	48.82854
0.3957589	65.94793	66.16324	50.42474	48.71116
0.4113812	65.94793	66.16324	50.42474	48.71116
0.4113812	65.74674	65.72401	50.38506	48.90679
0.4268469	65.94793	66.2431	50.50409	48.86766
0.4426227	65.94793	66.2431	50.50409	48.86766
0.4426227	65.62604	66.12331	50.42474	48.82854
0.4738645	66.22958	66.2431	50.46441	48.75029
0.4738645	66.22958	66.2431	50.46441	48.75029
0.4738645	66.18935	66.20317	50.54376	48.82854
0.4894876	66.18935	66.20317	50.54376	48.82854
0.4894876	66.06864	66.40282	50.42474	48.75029
0.5207289	66.22958	66.20317	50.46441	48.63291
0.5207289	66.22958	66.20317	50.46441	48.63291
0.5363536	65.94793	66.32296	50.42474	48.82854
0.5363536	66.06864	66.12331	50.26604	48.51553
0.5675924	66.26982	66.20317	50.10735	48.71116
0.5675924	66.43077	66.08338	50.6231	48.78941
0.5988385	66.43077	66.08338	50.6231	48.78941
0.5988385	66.06864	66.16324	50.14703	48.67204
0.5988385	66.06864	66.16324	50.14703	48.67204
0.6144557	65.78698	65.76395	50.10735	48.47641
0.6144557	65.94793	65.88374	50.14703	48.59378
0.6456986	65.94793	65.88374	50.14703	48.59378
0.6456986	65.86745	65.80388	50.42474	48.47641
0.6769374	65.98817	66.00352	50.42474	48.43728
0.6769374	65.98817	66.00352	50.42474	48.43728
0.6769374	66.39053	66.12331	50.34539	48.75029
0.6925601	66.39053	66.12331	50.34539	48.75029
0.6925601	66.14911	66.32296	50.42474	48.82854
0.7238003	66.14911	66.32296	50.42474	48.82854
0.7238003	66.22958	66.08338	50.6231	48.63291
0.739421	65.98817	66.28303	50.38506	48.78941
0.739421	65.98817	66.28303	50.38506	48.78941
0.739421	65.78698	65.68409	50.6231	48.90679
0.7706712	65.86745	65.88374	50.42474	48.86766
0.7706712	65.86745	65.88374	50.42474	48.86766
0.7862984	65.5858	65.92367	50.50409	48.90679
0.7862984	65.5858	65.92367	50.50409	48.90679
0.8017543	65.82722	65.8438	50.6231	49.10242
0.8175363	65.94793	66.00352	50.86115	48.94592
0.8175363	65.94793	66.00352	50.86115	48.94592
0.8487761	65.5858	65.60423	50.74212	49.14154
0.8487761	65.5858	66.00352	50.90082	49.06329
0.8487761	65.5858	66.00352	50.90082	49.06329
0.864397	65.74674	65.64416	51.05951	48.86766
0.864397	65.74674	65.64416	51.05951	48.86766
0.8956426	65.42485	65.72401	50.7818	48.98504
0.8956426	65.38461	65.52437	51.2182	49.37629
0.9112636	65.38461	65.52437	51.2182	49.37629
0.9112636	65.38461	65.8438	50.90082	49.29804
0.9425145	65.18343	65.52437	50.7818	49.21979
0.9425145	65.46509	65.5643	51.17853	49.29804
0.9740509	65.46509	65.5643	51.17853	49.29804
0.9740509	65.54556	65.64416	50.86115	48.98504
