// Start Time : 15/03/2022 10:05:09																																
// Update Rate : 100Hz																																
// Filter Profile : 46.1 human																																
// Firmware Version : 4.4.0																																
PacketCounter	Time_Of_Arrival	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Euler_X	Euler_Y	Euler_Z
10288	1647338741531	9.65151347955055	0.221306606986859	-1.10948171292032	3.46944695195361E-16	2.77555756156289E-15	-0.0950930753630192	-0.0168460356267287	-0.00449823627535439	0.00282385059910627	0.580810546875	0.41845703125	0.1259765625	0	0	0	-0.630323710437789	-0.399709949418795	-0.570068986085433	0.343431692624733	0.0305066148783026	0.11233380322474	0.993202126005443	0.895452830441483	-0.444573257673071	0.0227782136325593	0.444109868054071	0.888670768741168	-0.114152047208875	168.715260496926	-83.3154755551679	74.8065569061008
10289	1647338741531	9.65263332487867	0.221977883780669	-1.15868410476326	0	-1.38777878078145E-15	-0.0882257766998649	-0.019861094949083	-0.00446209120091341	-0.000263958784408047	0.589599609375	0.421630859375	0.132568359375	0	0	0	-0.635296221586914	-0.394923431639881	-0.571527989415096	0.337327661620433	0.0347824809138373	0.116202327433865	0.992616339841548	0.887371128313952	-0.460491063694943	0.0228136119876819	0.459741948984757	0.880025567444522	-0.119131612041658	169.159149128075	-83.0330761108346	73.3361444675908
10290	1647338741532	9.62854348952462	0.198414557021961	-1.18384573436544	-0.0444120885491686	-0.0367641306308564	-0.109781368691673	-0.0213261427808136	0.00622836560890183	-0.00021539389875312	0.584228515625	0.40869140625	0.122802734375	0	0	0	-0.632846734205739	-0.397219066350306	-0.570893566184605	0.340297752596085	0.0325950988336312	0.114209982719717	0.992921769012639	0.891305172896458	-0.45282890581169	0.0228269759145208	0.452230746743341	0.88425226146646	-0.116555951334156	168.919121212772	-83.1788672985753	74.0714532682759
10291	1647338741532	9.57922026026655	0.150637213794009	-1.18521287119622	-0.0898334024755323	-0.0221279141089888	-0.159691858462445	-0.0182458434722228	0.00166121544638217	-0.00478543144549324	0.577880859375	0.416015625	0.116943359375	0	0	0	-0.632863530257742	-0.397179298080632	-0.570943200441933	0.34022965643078	0.0325449340905979	0.114216967601504	0.992922611071455	0.8912242033129	-0.45298477212234	0.0228957562565487	0.452393906561888	0.884171522125198	-0.116535285508232	168.884641456006	-83.1792735271227	74.0956501879875
10292	1647338741533	9.53124795386943	0.176425408093204	-1.2105743948828	-0.0801008831845973	-0.0612745987302127	-0.203778313650774	-0.0137396275523549	-0.00448833778709898	-0.0017187058958251	0.588134765625	0.418701171875	0.122802734375	0	0	0	-0.632901847044301	-0.397156228308004	-0.570949316413268	0.340175043780838	0.0325676168067658	0.114276403507523	0.992915028558292	0.891167238337613	-0.453095739809732	0.0229173270689169	0.452504479148261	0.88410698117799	-0.116595635351855	168.880045498907	-83.1756164156867	74.0929851408914
10293	1647338741533	9.52977635629939	0.151645536440752	-1.16226946398637	-0.0805129847283236	-0.00722484514321387	-0.211439029777594	-0.0137319973137551	7.97446690603634E-05	-0.00016314723299411	0.587158203125	0.41650390625	0.12548828125	0	0	0	-0.632924650351262	-0.397117406650748	-0.570977113635093	0.340131280563338	0.0325658020798458	0.114276437839524	0.992915084128349	0.891105145171774	-0.453216954634657	0.0229349575992402	0.452626875895906	0.88404484489555	-0.116591695374565	168.871337580751	-83.1756432105088	74.093831199676
10294	1647338741534	9.52859363452472	0.151070208640584	-1.11358466984656	-0.0589781514303183	0.0360943539180578	-0.218303147936467	-0.00613860192593724	-0.00302623982310659	0.00143318645228002	0.58642578125	0.4189453125	0.12158203125	0	0	0	-0.632948083590637	-0.397100289961781	-0.570975597925235	0.340110202383183	0.0325964525723806	0.11429848271677	0.992911540938235	0.891076987381612	-0.45327281989428	0.0229249493783047	0.452680100996948	0.884013352610542	-0.116623833617582	168.879061715619	-83.1739349612259	74.0825339560703
10295	1647338741534	9.55380448643556	0.126720592726791	-1.1628676793525	-0.101574332313539	0.00697054419893303	-0.18807654166409	0.00597937042640304	-0.0122725384747496	0.00456905914548376	0.5791015625	0.41650390625	0.11962890625	0	0	0	-0.632982022211458	-0.397123769500848	-0.570917115062823	0.340117801625957	0.0326927188515612	0.114386265202165	0.992898266927278	0.891102561545369	-0.453225185429128	0.0228726058859676	0.452622813103112	0.884026421339223	-0.116747057490938	168.915244356651	-83.1675390500529	74.0495431702127
10296	1647338741534	9.57775885575126	0.198532262442392	-1.11362854061591	-0.0134510115033059	0.0214582407784956	-0.16839336045679	0.00598803601165556	-0.010746598973074	0.00457909892261531	0.57958984375	0.4111328125	0.13037109375	0	0	0	-0.633014683434208	-0.397142772273349	-0.570860014482374	0.340130670262051	0.0327929245924458	0.114460413834208	0.992886417351742	0.891128411240984	-0.453177491156254	0.0228104403386735	0.452564668059488	0.884041274587463	-0.116859942024544	168.955045016319	-83.1618345145471	74.0129848087274
10297	1647338741535	9.60355590819843	0.174346376889737	-1.18719016566035	-0.0667940296793911	-0.0293165272528421	-0.134733946172469	0.00453254322399298	-0.00157230809766426	0.0030953326006159	0.5810546875	0.411865234375	0.126220703125	0	0	0	-0.633017609195189	-0.397148586350754	-0.570840773326579	0.340150728819325	0.032827623735022	0.114460287080362	0.992885285318195	0.891147907427652	-0.453140964086559	0.0227744100696243	0.452523760931101	0.884060014562464	-0.116876586383192	168.97359506842	-83.1612897871112	73.9969174083748
