TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0029898	84.0472	84.51258	77.58469	71.19359
0.0118314	84.84956	84.95026	76.83527	70.64834
0.0351547	83.68613	83.87595	77.66357	71.15464
0.0379399	83.68613	83.87595	77.66357	71.15464
0.0581691	80.19587	81.0907	80.62181	72.82932
0.0581691	80.19587	81.0907	80.62181	72.82932
0.0741699	79.03245	80.09596	80.85847	73.33562
0.0885583	79.03245	80.05618	80.85847	73.64719
0.0898763	79.03245	80.05618	80.85847	73.64719
0.1068321	78.75163	80.01638	80.46404	74.30928
0.1068321	78.75163	80.01638	80.46404	74.30928
0.12339	78.91209	80.3347	79.91183	74.50401
0.138568	79.19292	80.81217	79.59629	74.89347
0.1397971	79.19292	80.81217	79.59629	74.89347
0.1568653	79.55399	81.52838	79.28074	74.5819
0.1568653	80.4767	82.00585	78.57076	73.53036
0.1733933	80.4767	82.00585	78.57076	73.53036
0.1733933	81.72035	82.96079	77.34803	72.94616
0.1913016	81.72035	82.96079	77.34803	72.94616
0.2068707	83.00413	83.83616	76.44083	71.93356
0.2068707	84.16755	84.0749	76.28307	71.23253
0.2242707	84.16755	84.0749	76.28307	71.23253
0.2385702	84.64896	84.03511	76.20418	70.60939
0.2408349	85.33097	83.99532	76.00696	69.94731
0.2565513	85.33097	83.99532	76.00696	69.94731
0.2565513	86.65487	84.11469	75.17866	69.28522
0.2807522	86.65487	84.11469	75.17866	69.28522
0.2887547	88.37994	84.55237	73.67982	68.66209
0.2898751	89.38289	85.34816	72.61485	67.60875
0.3096318	89.38289	85.34816	72.61485	67.60875
0.3137519	89.54337	84.91048	72.49652	67.53049
0.3322412	88.5003	84.47279	73.24594	68.38947
0.3322412	88.5003	84.47279	73.24594	68.38947
0.3399167	87.1764	83.677	74.58701	69.32417
0.358737	87.1764	83.677	74.58701	69.32417
0.358737	86.37404	83.08016	75.57309	69.86942
0.3807738	85.73215	82.60269	76.20418	70.0252
0.3807738	85.73215	82.60269	76.20418	70.0252
0.4120009	85.1705	81.68754	76.71693	70.0252
0.413521	85.1705	81.68754	76.71693	70.0252
0.4308476	85.41121	81.32943	76.83527	70.0252
0.4308476	85.41121	81.32943	76.83527	70.0252
0.4398809	87.29675	81.80691	76.12529	69.0126
0.4558364	89.50324	83.15974	75.02088	67.56962
0.4558364	89.50324	83.15974	75.02088	67.56962
0.4824079	91.22832	83.87595	74.27146	66.43498
0.4824079	91.74986	83.91574	74.74478	65.22209
0.5116838	91.74986	83.91574	74.74478	65.22209
0.5116838	91.26844	83.00059	75.7703	64.90909
0.5231966	90.34573	81.76711	76.63805	64.75259
0.5249023	89.58348	81.0509	77.90023	65.37859
0.5563672	89.58348	81.0509	77.90023	65.37859
0.5637839	88.78112	80.09596	79.59629	66.12198
0.5647756	87.29675	78.94207	81.41068	67.02187
0.5834543	87.29675	78.94207	81.41068	67.02187
0.5834543	85.57168	77.66882	83.93504	67.96088
0.5898803	84.20767	76.39555	84.64501	68.11684
0.6073381	84.20767	76.39555	84.64501	68.11684
0.6073381	83.84661	75.71913	84.68446	68.73997
0.6232335	83.84661	75.71913	84.68446	68.73997
0.6388615	84.32803	76.2364	84.48724	68.42841
0.6557049	85.41121	76.5945	84.05337	68.23368
0.6637519	85.41121	76.5945	84.05337	68.23368
0.6662632	86.65487	77.39029	82.87007	67.37399
0.6847283	88.059	78.54417	81.80511	66.66974
0.6847283	88.059	78.54417	81.80511	66.66974
0.7058377	89.82419	79.61849	80.66125	65.57423
0.7137513	89.82419	79.61849	80.66125	65.57423
0.7148712	91.10796	80.21533	79.95128	64.79172
0.7348482	92.39174	80.97133	78.96519	63.73533
0.7348482	92.39174	80.97133	78.96519	63.73533
0.7558387	92.95339	81.0509	78.29466	63.3832
0.7558387	93.59528	80.97133	77.78191	62.71807
0.7648798	93.59528	80.97133	77.78191	62.71807
0.7848946	94.59823	81.56817	77.07192	62.48331
0.7848946	94.59823	81.56817	77.07192	62.48331
0.8058231	94.67847	81.84669	76.63805	62.87457
0.8137539	94.27728	81.96606	76.28307	63.2267
0.8148059	94.27728	81.96606	76.28307	63.2267
0.8328322	93.51505	82.12522	76.16473	63.6962
0.8328322	92.51209	81.88648	76.12529	64.24396
0.8614438	92.51209	81.88648	76.12529	64.24396
0.8635125	92.15103	81.92627	75.57309	64.40046
0.8657074	92.15103	81.92627	75.57309	64.40046
0.8872203	92.47198	82.60269	75.02088	64.20483
0.8886281	93.47493	83.87595	73.44315	62.48331
0.9056913	93.47493	83.87595	73.44315	62.48331
0.9137641	95.6413	85.26858	71.58932	61.0748
0.9148683	95.6413	85.26858	71.58932	61.0748
0.9366139	97.60708	87.09888	69.77494	59.62716
0.9382667	99.13156	88.57109	68.23666	58.84465
0.9578056	99.13156	88.57109	68.23666	58.84465
0.9637243	101.0572	90.08309	66.69078	57.78826
0.9657203	102.6619	91.07782	65.42123	57.35788
0.9831677	102.6619	91.07782	65.42123	57.35788
0.9881853	104.1463	92.03277	64.70712	56.9275
1.0113559	104.1463	92.03277	64.70712	56.9275
1.0134235	104.1062	92.51024	63.51692	56.458
1.0167188	103.7852	92.39087	63.00117	56.10587
1.0342982	103.7852	92.39087	63.00117	56.10587
1.0381862	103.3038	92.35108	62.88215	56.30149
1.0555245	102.0602	92.35108	62.8028	56.84925
1.0637552	102.0602	92.35108	62.8028	56.84925
1.0662905	101.3782	92.23171	62.68378	57.084
1.0845175	101.3782	92.23171	62.68378	57.084
1.0845175	101.0171	92.6694	62.60443	57.35788
1.1071794	100.5758	93.06729	62.72345	58.25777
1.1150538	100.5758	93.06729	62.72345	58.25777
1.1161769	99.77345	93.26624	62.88215	58.53165
1.152419	99.6531	93.86308	62.96149	58.72727
1.1600517	99.6531	93.86308	62.96149	58.72727
1.1771179	99.13156	94.38034	62.88215	58.96202
1.1887511	99.53275	94.77824	62.40607	58.72727
1.2058071	99.17168	95.01697	61.85064	58.49252
1.2058071	98.97109	94.73844	61.77129	58.37514
1.2307791	98.97109	94.73844	61.77129	58.37514
1.2307791	98.56991	94.42013	62.16803	58.84465
1.2558247	98.36932	93.82329	62.64411	59.39241
1.2558247	98.36932	94.1416	62.68378	59.31416
1.280818	98.36932	94.1416	62.68378	59.31416
1.280818	99.53275	94.45992	62.28705	58.64902
1.3070061	100.1746	95.13634	61.92999	57.59264
1.3070061	101.4985	95.37508	61.13652	56.41887
1.3310879	101.4985	95.37508	61.13652	56.41887
1.3310879	102.3811	96.17086	60.34306	55.28423
1.347839	103.705	97.1656	59.35123	54.22785
1.3637712	104.9487	98.31949	58.75613	53.09321
1.3808386	104.6678	98.04096	58.71645	53.32796
1.3808386	104.6678	98.04096	58.71645	53.32796
1.3897575	103.9457	97.24517	59.3909	54.07135
1.4067845	102.1003	96.21065	60.42241	54.93211
1.4067845	102.1003	96.21065	60.42241	54.93211
1.4323903	100.3351	94.97718	61.53326	56.81013
1.4323903	100.3351	94.97718	61.53326	56.81013
1.440162	98.85074	93.26624	63.55659	58.64902
1.460487	96.48377	91.59509	65.89732	60.80092
1.460487	96.48377	91.59509	65.89732	60.80092
1.4810691	93.15398	89.24751	69.85383	63.42233
1.4810691	91.34867	87.09888	71.471	65.45685
1.4898275	91.34867	87.09888	71.471	65.45685
1.507867	90.38584	85.06963	71.90487	65.92635
1.5137717	90.54631	84.31364	71.86543	65.61335
1.5310816	90.54631	84.31364	71.86543	65.61335
1.5310816	92.07079	84.27384	71.07657	64.12658
1.5576411	92.07079	84.27384	71.07657	64.12658
1.563787	94.27728	84.91048	70.24826	62.60069
1.5809438	96.60413	85.50732	70.2877	60.87917
1.5809438	98.61003	85.98479	70.36659	59.90104
1.6076219	100.8566	86.93973	69.81438	58.80552
1.6136339	100.8566	86.93973	69.81438	58.80552
1.6148404	102.4614	87.0591	69.69605	57.98389
1.6329028	102.4614	87.0591	69.69605	57.98389
1.6387593	102.7422	85.82563	70.40603	58.02301
1.6560743	101.0171	84.15448	71.54988	58.88377
1.6560743	101.0171	84.15448	71.54988	58.88377
1.6647737	99.05133	81.96606	73.24594	59.62716
1.6845066	97.44661	80.89175	75.09977	60.72267
1.6886592	97.44661	80.89175	75.09977	60.72267
1.7059034	95.882	79.5787	76.99304	61.27042
1.7059034	95.882	79.5787	76.99304	61.27042
1.714712	94.47787	78.66354	79.04408	61.77906
1.7346218	93.67551	78.14629	80.9768	62.13118
1.7387513	93.67551	78.14629	80.9768	62.13118
1.7576746	93.23421	77.15155	82.1601	61.73993
1.7576746	93.87611	76.95261	81.64733	60.95742
1.7647749	93.87611	76.95261	81.64733	60.95742
1.7980796	95.4407	77.35049	81.01624	59.54891
1.7996837	95.4407	77.35049	81.01624	59.54891
1.801202	98.97109	79.18081	78.84687	56.65363
1.801202	98.97109	79.18081	78.84687	56.65363
1.8350513	99.89381	79.61849	78.64965	56.18412
1.8387395	99.73333	79.81744	78.64965	56.41887
1.8608808	99.73333	79.81744	78.64965	56.41887
1.8650795	98.56991	79.06144	79.7935	57.43613
1.86607	98.56991	79.06144	79.7935	57.43613
1.8837253	96.68436	78.62376	80.7007	58.4534
1.8887353	95.36047	78.18607	81.29234	60.40967
1.9074632	95.36047	78.18607	81.29234	60.40967
1.9137016	94.19705	78.26566	80.85847	61.3878
1.9162161	92.95339	78.14629	80.03016	61.97468
1.9367091	92.95339	78.14629	80.03016	61.97468
1.9386124	92.63245	78.66354	79.39907	62.36594
1.9596865	92.63245	78.66354	79.39907	62.36594
1.9637298	92.23127	79.41954	78.09745	62.01381
1.9648302	92.71268	81.13049	77.42691	62.17031
1.9849482	92.71268	81.13049	77.42691	62.17031
1.9849482	93.6354	82.44353	77.15081	62.67894
2.0115812	94.31741	83.39848	76.48028	62.83544
2.0125778	94.31741	83.39848	76.48028	62.83544
2.0161489	95.40059	84.23405	75.17866	62.24856
2.0358262	95.40059	84.23405	75.17866	62.24856
2.0377851	97.60708	85.66647	72.89095	60.80092
2.0611681	99.77345	87.17847	70.0116	59.04028
2.0627149	99.77345	87.17847	70.0116	59.04028
2.0648319	101.4985	88.49152	67.72229	57.55351
2.0807509	102.341	89.48625	66.13535	56.73188
2.088623	102.341	89.48625	66.13535	56.73188
2.1069952	102.1404	89.64541	65.69895	56.65363
2.1069952	102.1404	89.64541	65.69895	56.65363
2.1148218	101.4985	90.0433	66.17503	57.51439
2.1323075	100.0944	90.0433	67.08752	58.64902
2.1323075	100.0944	90.0433	67.08752	58.64902
2.1575482	98.3292	89.76478	68.03944	60.13579
2.1575482	96.84484	89.48625	68.19721	61.27042
2.1808231	96.84484	89.48625	68.19721	61.27042
2.1887544	95.72153	89.24751	67.72229	61.81818
2.2058245	94.99941	89.48625	66.57176	61.89643
2.213753	94.63835	90.91866	65.65928	61.77906
2.2308208	94.63835	90.91866	65.65928	61.77906
2.2308208	94.518	91.59509	64.82614	61.46605
2.2586537	94.75871	92.35108	64.31039	61.97468
