TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0429979	93.31445	88.73026	68.47332	64.24396
0.2018486	93.59528	89.16794	68.15778	63.93095
0.2018486	94.23717	89.16794	67.64294	63.81358
0.2018486	94.63835	89.92393	67.48425	63.77445
0.2018486	94.63835	89.92393	67.48425	63.77445
0.2018486	95.03953	89.88414	66.84947	63.50058
0.2018486	95.11977	90.00351	66.25438	63.14845
0.2018486	95.11977	90.00351	66.25438	63.14845
0.2018486	95.15988	89.80457	66.25438	63.2267
0.2018486	95.15988	89.80457	66.25438	63.2267
0.2018486	95.07964	89.84435	65.46091	63.14845
0.2018486	94.87906	89.84435	65.57993	63.14845
0.2018486	94.87906	89.84435	65.57993	63.14845
0.2018486	94.63835	89.84435	65.57993	63.30495
0.2018486	95.15988	90.40141	65.7783	63.26582
0.2018486	95.15988	90.40141	65.7783	63.26582
0.2018486	94.03658	89.88414	66.73045	63.89183
0.2018486	94.03658	89.88414	66.73045	63.89183
0.2018486	92.95339	89.12814	67.60326	64.43958
0.2190171	91.87021	88.45173	68.9072	64.67434
0.2190171	91.87021	88.45173	68.9072	64.67434
0.2271988	90.94749	87.65594	69.81438	65.33947
0.2430541	90.58643	87.69573	70.52436	65.61335
0.2430541	90.58643	87.69573	70.52436	65.61335
0.2682568	90.42596	87.45699	70.99768	65.14384
0.2682568	90.42596	87.45699	70.99768	65.14384
0.285706	91.46902	88.57109	70.8399	64.32221
0.285706	91.46902	88.57109	70.8399	64.32221
0.3182866	91.99056	88.5313	70.40603	63.93095
0.3182866	92.59233	89.08836	70.05104	63.57883
0.3278967	92.59233	89.08836	70.05104	63.57883
0.3488467	92.83304	88.41193	69.89327	63.5397
0.3488467	92.83304	88.41193	69.89327	63.5397
0.3726021	92.47198	88.37215	69.85383	63.61795
0.3726021	92.43186	88.37215	69.85383	63.65708
0.3726021	92.43186	88.37215	69.85383	63.65708
0.3850393	92.67257	88.37215	69.93272	63.8527
0.4014525	92.83304	88.21299	69.93272	63.10932
0.4202177	92.83304	88.21299	69.93272	63.10932
0.4202177	93.47493	88.37215	69.41995	63.18757
0.4488615	93.47493	88.37215	69.41995	63.18757
0.4509657	94.0767	88.5313	69.26218	62.91369
0.4668747	94.59823	88.65067	68.9072	62.52244
0.4668747	95.24012	88.96899	68.70998	62.63982
0.4946923	95.84189	88.84962	68.35499	62.32681
0.4946923	95.84189	88.84962	68.35499	62.32681
0.5021236	96.40354	88.84962	67.56359	62.28769
0.5218373	96.40354	88.84962	67.56359	62.28769
0.5218373	97.16578	89.2873	66.65111	61.50518
0.5432928	98.20885	89.44646	66.09568	61.30955
0.5432928	98.20885	89.44646	66.09568	61.30955
0.5566305	99.33215	90.40141	65.02451	60.25317
