TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0019958	74.61947	76.15681	56.25671	63.73533
0.0060009	74.61947	76.15681	56.25671	63.73533
0.0383214	74.86018	76.51492	56.01867	63.77445
0.0393019	74.77994	76.47513	56.09801	63.81358
0.0567938	75.10088	76.39555	56.17736	63.57883
0.0567938	74.65958	76.47513	56.37573	63.89183
0.066007	74.65958	76.47513	56.37573	63.89183
0.0882336	74.86018	76.55471	55.70128	63.8527
0.0892316	74.86018	76.55471	55.70128	63.8527
0.1136394	74.98053	76.35577	56.09801	63.81358
0.1146346	74.90029	76.5945	55.74096	63.97008
0.1166334	74.90029	76.5945	55.74096	63.97008
0.1391563	74.73982	76.31597	55.78063	63.81358
0.1411475	74.82006	76.39555	55.54259	63.93095
0.1571216	74.82006	76.39555	55.54259	63.93095
0.1571216	74.459	76.43534	55.70128	64.16571
0.1664538	74.459	76.43534	55.70128	64.16571
0.1881835	74.33865	76.31597	55.89965	64.32221
0.1891797	74.37876	76.67408	55.85998	64.55696
0.2074568	74.37876	76.67408	55.85998	64.55696
0.2074568	74.05782	76.39555	55.70128	64.47871
0.2161711	74.17817	76.43534	55.54259	64.51784
0.2335473	74.17817	76.43534	55.54259	64.51784
0.2335473	74.0177	76.5945	55.85998	64.71346
0.2570673	74.0177	76.5945	55.85998	64.71346
0.2570673	74.13805	76.91281	55.979	64.79172
0.2675281	74.05782	76.71387	55.78063	64.94822
0.283443	74.05782	76.71387	55.78063	64.94822
0.283443	73.53629	76.03745	55.78063	65.10472
0.3070563	73.33569	75.95787	55.93932	65.02647
0.3070563	73.33569	75.95787	55.93932	65.02647
0.3336557	73.09499	75.44061	56.09801	65.18297
0.3336557	73.05487	75.59977	56.45507	65.41772
0.3492317	73.01475	75.63956	56.53442	65.49597
0.3492317	73.01475	75.63956	56.53442	65.49597
0.38273	72.77404	75.55997	56.73279	66.04373
0.38273	72.61357	75.0825	57.0105	66.78711
0.3913131	72.61357	75.0825	57.0105	66.78711
0.4108815	72.13216	74.88356	57.48658	66.90449
