TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0220622	114.6171	75.55997	109.4548	98.72852
0.0231714	112.7316	74.08777	111.6636	100.4811
0.0446852	111.2472	72.93388	113.123	102.0389
0.0446852	111.2472	72.93388	113.123	102.0389
0.0446852	109.6024	71.50146	114.5429	102.9347
0.0604672	109.6024	71.50146	114.5429	102.9347
0.0604672	108.0779	70.74547	115.3712	103.6357
0.0970353	107.5162	70.30779	115.5684	104.181
0.0981536	107.5162	70.30779	115.5684	104.181
0.1004894	106.9546	70.26799	115.8446	104.8431
0.1162431	106.9546	69.98946	116.1207	105.3104
0.1162431	106.9546	69.98946	116.1207	105.3104
0.1318674	106.6336	69.79052	115.9629	105.7778
0.1473517	106.6336	69.79052	115.9629	105.7778
0.1473517	106.6737	70.18842	115.3712	105.5441
0.1629794	107.3959	70.58631	114.4246	105.1546
0.1629794	107.3959	70.58631	114.4246	105.1546
0.194291	107.8773	71.06378	114.6218	105.1546
0.194291	108.118	70.90462	114.9768	104.9599
0.194291	108.118	70.90462	114.9768	104.9599
0.2099964	108.118	71.18315	115.2135	104.7652
0.2099964	108.118	71.18315	115.2135	104.7652
0.2412267	108.1982	71.18315	115.3712	104.5315
0.2412267	108.2785	71.30251	115.174	104.2199
0.2723228	108.2785	71.30251	115.174	104.2199
0.2723228	108.4389	71.3821	115.5684	104.5315
0.2880875	107.8773	70.74547	115.9234	105.1546
0.2880875	106.9947	70.02926	116.6729	105.9336
0.3193546	106.9947	70.02926	116.6729	105.9336
0.3193546	106.754	69.31305	116.3968	105.7778
0.3193546	106.2726	69.27326	116.1995	105.8557
0.3470219	106.2726	69.27326	116.1995	105.8557
0.3481718	106.433	69.55179	115.8446	105.6609
0.3615849	106.9145	69.35284	115.7657	105.2325
0.3615849	106.9145	69.35284	115.7657	105.2325
0.3615849	107.3558	69.63136	115.884	105.1936
0.3929796	107.3558	69.63136	115.884	105.1936
0.3929796	108.0779	69.75073	115.6473	105.0378
0.4086017	107.6366	69.43242	116.5545	105.622
0.4086017	107.6366	69.43242	116.5545	105.622
0.4241957	106.9546	68.79578	118.0139	106.4788
0.4398435	106.1121	68.51727	119	106.9851
0.4398435	106.1121	68.51727	119	106.9851
0.4711378	104.9888	67.48092	119.8283	106.9851
0.4711378	104.3469	66.84204	120.8144	107.1798
0.4711378	104.3469	66.84204	120.8144	107.1798
0.4867114	103.5847	66.80212	121.5244	106.9851
0.4867114	103.5847	66.80212	121.5244	106.9851
0.5179503	103.1434	66.80212	121.5638	106.7125
0.5179503	103.3038	67.00176	121.406	106.5567
0.5179503	103.3038	67.00176	121.406	106.5567
0.5335792	104.4271	67.76042	120.5383	105.6999
0.5335792	104.4271	67.76042	120.5383	105.6999
0.5648726	105.5504	68.51727	119.1972	104.7652
0.5648726	106.7941	69.23347	118.5661	104.2589
0.5648726	106.7941	69.23347	118.5661	104.2589
0.6116806	107.8372	69.67115	117.7378	103.2073
0.6116806	108.8401	70.66589	116.9884	102.701
0.6116806	110.1239	71.14336	115.8051	101.6495
0.6431924	110.1239	71.14336	115.8051	101.6495
0.6431924	111.1268	71.62083	115.3318	101.1821
0.6585504	112.0094	71.97894	115.0951	100.7148
0.6585504	112.21	72.21767	115.7262	100.0916
0.6741544	112.6914	72.29725	115.7262	99.07904
0.6897868	112.6914	72.29725	115.7262	99.07904
0.6897868	113.2531	72.53599	115.4896	98.26117
0.7212989	113.2531	72.53599	115.4896	98.26117
0.7212989	113.6543	73.01346	115.2135	97.48225
0.7212989	113.9752	72.8543	115.0162	97.17068
0.7367058	113.9752	72.8543	115.0162	97.17068
0.7367058	114.0153	72.73493	114.9768	96.937
0.7679085	114.8979	73.17262	114.2668	96.4307
