TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0029926	123.9245	92.74898	92.57309	89.8488
0.0039906	123.9245	92.74898	92.57309	89.8488
0.0316991	123.8844	93.10708	92.33643	89.45934
0.0329362	123.8844	93.46519	92.29698	89.7709
0.0537119	123.764	93.54476	92.41531	89.80985
0.0537119	123.764	93.54476	92.41531	89.80985
0.0537119	123.8442	93.66413	92.13921	89.38145
0.0694765	124.0448	93.66413	91.94199	89.69302
0.0694765	124.0448	93.66413	91.94199	89.69302
0.1001172	123.6035	93.42539	92.25754	89.7709
0.1001172	123.4029	93.18666	92.09977	89.57617
0.1001172	123.4029	93.18666	92.09977	89.57617
0.1315056	123.6035	93.26624	92.29698	89.49828
0.1315056	123.6035	93.26624	92.29698	89.49828
0.1471332	123.2826	93.06729	92.41531	89.69302
0.1471332	123.1221	93.30603	92.69141	89.49828
0.1471332	123.1221	93.30603	92.69141	89.49828
0.1783945	123.4832	93.22645	92.69141	90.12142
0.1783945	123.3628	93.06729	92.37587	90.00459
0.1939942	123.3628	93.06729	92.37587	90.00459
0.1939942	123.4431	93.26624	93.08585	90.43299
0.2095868	123.4431	93.26624	93.08585	90.43299
0.2252335	123.3227	93.50497	92.80975	90.08247
0.2252335	123.3227	93.58455	92.88863	90.27721
0.2565256	123.3227	93.58455	92.88863	90.27721
0.2719656	123.1221	93.54476	92.61253	90.23826
0.2719656	123.2425	93.34582	92.37587	89.8488
0.3033421	123.3628	93.30603	92.57309	90.31615
0.3033421	123.3628	93.30603	92.57309	90.31615
0.3189645	123.2425	92.82855	92.29698	89.96564
0.3189645	123.2425	92.82855	92.29698	89.96564
0.3502116	123.3227	92.90813	92.4942	89.88774
0.3502116	123.3227	92.90813	92.4942	89.88774
0.3814543	123.3227	93.10708	92.7703	90.31615
0.3814543	123.3227	93.10708	92.7703	90.31615
0.3814543	123.3227	92.86835	92.69141	89.96564
0.4068631	123.2425	93.30603	92.84919	90.19931
0.4079528	123.2425	93.30603	92.84919	90.19931
0.4298684	123.4029	92.74898	92.88863	90.51088
0.4298684	123.3628	92.6694	92.65197	90.39404
0.4298684	123.3628	92.6694	92.65197	90.39404
0.4456516	122.7611	92.31129	92.96751	90.27721
0.4456516	122.7611	92.31129	92.96751	90.27721
0.4768748	122.5204	92.19193	93.12529	90.54983
0.4768748	122.5605	91.83382	93.71693	90.66666
0.4768748	122.5605	91.83382	93.71693	90.66666
0.4925107	122.1994	91.5155	94.07192	91.05613
0.5079772	121.9587	91.63487	94.42691	91.13402
0.5237516	121.9587	91.63487	94.42691	91.13402
0.5237516	121.8383	91.75424	94.5058	91.09508
0.5237516	121.8383	91.75424	94.5058	91.09508
0.5551505	121.5976	91.03803	94.54524	90.90034
0.5551505	121.5575	91.31656	94.82134	91.32875
0.5706192	121.5575	91.31656	94.82134	91.32875
0.5706192	121.6378	90.99825	94.74246	91.05613
0.5706192	121.6378	91.11761	94.5058	91.13402
0.6021277	121.6378	91.11761	94.5058	91.13402
0.6021277	121.6378	90.99825	94.70302	90.97823
0.6331264	121.6378	90.99825	94.70302	90.97823
0.6331264	121.7982	91.03803	94.66357	90.82245
0.6331264	122.0791	90.71972	94.82134	91.40665
0.6489908	122.0791	90.71972	94.82134	91.40665
0.6489908	121.7581	90.44119	95.33411	91.3677
0.6801468	121.5575	90.00351	95.72854	91.32875
0.6801468	121.5575	90.00351	95.72854	91.32875
0.6801468	121.718	89.92393	95.80743	91.95189
0.6955901	121.718	89.92393	95.80743	91.95189
0.6955901	121.3569	89.80457	95.76798	92.14662
0.7270987	121.3569	89.6852	96.16241	91.99084
0.7270987	121.3569	89.6852	96.16241	91.99084
0.7424528	120.9156	89.24751	96.28074	92.30241
0.7579181	120.9156	89.24751	96.28074	92.30241
0.7739565	120.7552	88.96899	96.39907	92.26346
0.7739565	120.7552	88.96899	96.39907	92.26346
0.7739565	120.7552	88.49152	96.75406	92.45819
0.8051467	120.1935	88.37215	96.99072	92.69186
0.8051467	120.1935	88.37215	96.99072	92.69186
0.8205611	119.4313	88.13341	97.34571	92.73081
0.8205611	119.8325	87.61615	97.85847	93.00343
0.8361591	119.8325	87.61615	97.85847	93.00343
0.8520692	119.6319	87.53657	97.89791	93.19817
0.8520692	119.6319	87.53657	97.89791	93.19817
0.8674207	119.5516	87.89468	98.17401	92.8866
0.8828882	119.9528	87.97425	98.01624	93.00343
0.8828882	119.9528	87.97425	98.01624	93.00343
