TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0164131	75.98348	75.75893	62.04901	58.88377
0.0172592	76.14395	75.52019	62.28705	59.00115
0.0413553	76.14395	75.52019	62.28705	59.00115
0.0426572	75.70265	75.59977	62.24738	58.68815
0.051529	75.90324	75.12229	62.08868	58.64902
0.0672638	75.90324	75.12229	62.08868	58.64902
0.0829249	75.98348	75.59977	62.40607	59.00115
0.0829249	75.90324	75.67934	62.32672	59.00115
0.1141652	75.98348	75.59977	62.56476	59.50978
0.1141652	75.98348	75.59977	62.56476	59.50978
0.1141652	75.86313	75.63956	62.64411	59.58803
0.129791	75.94336	75.59977	62.72345	59.31416
0.129791	75.94336	75.59977	62.72345	59.31416
0.1610289	75.70265	75.59977	62.60443	59.50978
0.1610289	75.70265	75.59977	62.60443	59.50978
0.1610289	75.06077	75.16209	63.23921	59.58803
0.1848096	74.94041	74.92335	62.84247	60.09666
0.1848096	74.94041	74.92335	62.84247	60.09666
0.2162075	74.17817	74.44588	63.15986	60.05754
0.2162075	74.17817	74.44588	63.15986	60.05754
0.2162075	73.97758	74.40608	63.43757	60.13579
0.231829	74.21829	74.40608	63.43757	60.40967
0.231829	74.21829	74.40608	63.43757	60.40967
0.2680959	73.89735	74.36629	63.71529	60.84005
0.2680959	74.37876	74.60503	63.95333	60.80092
0.2838676	74.17817	74.68461	63.8343	61.0748
0.2838676	74.17817	74.68461	63.8343	61.0748
0.3151088	74.25841	74.44588	63.67561	60.84005
0.3151088	74.33865	74.48566	63.67561	60.44879
0.3151088	74.33865	74.48566	63.67561	60.44879
0.3307293	74.13805	74.28672	63.35823	60.40967
0.3307293	74.21829	74.40608	63.47725	60.40967
0.3619671	74.21829	74.40608	63.47725	60.40967
0.3619671	74.09794	74.36629	63.27888	60.64442
0.3619671	73.89735	74.28672	63.43757	60.64442
0.3775952	73.89735	74.28672	63.43757	60.52704
0.3930662	74.09794	74.44588	63.55659	60.60529
0.4090755	74.09794	74.44588	63.55659	60.60529
0.4090755	74.33865	74.7244	63.31855	60.52704
0.4090755	74.57935	74.96313	63.31855	60.40967
0.440072	74.57935	74.96313	63.31855	60.40967
0.440072	74.86018	74.88356	63.19953	60.40967
