TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0039906	70.20649	70.94441	67.48425	64.36134
0.0174982	70.08614	71.18315	67.24621	64.43958
0.0290356	70.08614	71.18315	67.24621	64.43958
0.0290356	70.2466	71.06378	67.24621	64.36134
0.0604435	70.28673	71.14336	67.36523	64.43958
0.0604435	70.4472	71.30251	67.28588	64.16571
0.0916806	70.4472	71.30251	67.28588	64.16571
0.0916806	70.56755	71.42188	67.24621	64.08746
0.0916806	70.40708	71.34231	66.92882	64.08746
0.1072995	70.40708	71.34231	66.92882	64.08746
0.1072995	70.36696	71.22294	67.28588	64.32221
0.1385391	70.08614	71.58104	67.24621	64.47871
0.1385391	70.08614	71.58104	67.24621	64.47871
0.1385391	70.12625	71.34231	67.24621	64.36134
0.1541622	70.12625	71.34231	67.24621	64.36134
0.1541622	70.16637	71.34231	67.00817	64.04833
0.1852532	70.04602	71.02399	67.04784	64.51784
0.1852532	70.04602	71.02399	67.04784	64.51784
0.1852532	69.68496	71.22294	67.28588	64.43958
0.2172453	69.96578	71.22294	67.32555	64.20483
0.2186349	69.96578	71.22294	67.32555	64.20483
0.2423781	70.0059	71.26273	67.20654	64.51784
0.2435864	70.0059	71.26273	67.20654	64.51784
0.2447887	69.68496	71.10357	67.16686	64.51784
0.2611507	69.96578	71.30251	67.16686	64.55696
0.2611507	69.96578	71.30251	67.16686	64.55696
0.2923872	69.88554	71.26273	67.4049	64.51784
0.2923872	70.0059	71.70041	67.28588	64.51784
0.2923872	70.0059	71.70041	67.28588	64.51784
0.3080109	70.2466	71.66062	67.28588	64.24396
0.3080109	70.2466	71.66062	67.28588	64.24396
0.3392546	70.2466	71.66062	67.00817	64.36134
0.3392546	70.04602	71.58104	66.77013	64.28308
0.3392546	70.04602	71.58104	66.77013	64.28308
0.3548681	69.72507	71.58104	66.57176	63.89183
0.3548681	70.12625	71.77999	66.57176	63.8527
0.3861746	70.12625	71.77999	66.57176	63.8527
0.3861746	70.2466	71.70041	66.41307	64.12658
0.3861746	70.2466	71.70041	66.41307	64.12658
0.4173659	70.2466	72.01872	66.65111	64.16571
0.4173659	70.40708	72.41662	66.45274	64.00921
0.4331316	70.40708	72.41662	66.45274	64.00921
0.4331316	70.64779	72.57578	66.41307	63.93095
0.4331316	70.64779	72.57578	66.41307	63.93095
0.4642371	70.56755	72.69514	66.29405	63.81358
0.4642371	70.80826	72.53599	66.33372	63.6962
0.4798586	70.80826	72.53599	66.33372	63.6962
0.4798586	70.8885	72.53599	66.01633	63.61795
0.4954475	70.8885	72.41662	66.17503	63.6962
0.5111708	70.8885	72.41662	66.17503	63.6962
0.5111708	70.64779	72.45641	66.05601	63.50058
0.5423459	70.64779	72.45641	66.05601	63.50058
0.5423459	70.56755	72.57578	66.01633	63.5397
0.5423459	70.76814	72.49619	66.25438	63.57883
0.5581406	70.76814	72.49619	66.25438	63.57883
0.5581406	70.6879	72.61556	66.09568	63.89183
0.5891956	70.84838	72.49619	65.93699	63.73533
0.5891956	70.84838	72.49619	65.93699	63.73533
0.6050877	70.76814	72.65536	66.09568	63.93095
