TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.004988	93.99646	94.85781	91.07425	110.5292
0.004988	94.15693	94.93739	90.71926	110.8408
0.0213721	94.43776	95.25571	90.64037	110.8018
0.0213721	94.43776	95.25571	90.64037	110.8018
0.0371589	94.03658	95.05676	90.60093	111.1134
0.0371589	93.99646	94.93739	90.91647	111.3471
0.0527552	93.99646	94.93739	90.91647	111.3471
0.0684013	93.6354	95.33528	90.79814	111.1524
0.0684013	93.6354	95.33528	90.79814	111.1524
0.0838623	93.39469	95.49444	90.83759	111.3471
0.0996329	93.43481	95.13634	90.71926	111.2302
0.0996329	93.43481	95.13634	90.71926	111.2302
0.115245	92.95339	95.29549	90.95592	111.3081
0.115245	92.91328	95.09655	90.71926	111.6586
0.1465014	92.91328	95.09655	90.71926	111.6586
0.1465014	92.71268	94.97718	91.03481	111.6586
0.1465014	92.71268	94.97718	91.03481	111.6586
0.1621232	92.23127	94.97718	91.15313	111.7365
0.1621232	91.99056	94.81802	91.07425	111.8144
0.1933512	91.99056	94.81802	91.07425	111.8144
0.1933512	91.87021	94.77824	90.95592	111.7755
0.1933512	91.78997	95.09655	91.15313	112.1649
0.2245861	91.78997	95.09655	91.15313	112.1649
0.2245861	91.78997	95.09655	90.99536	112.2818
0.240187	91.78997	95.09655	90.99536	112.2818
0.240187	91.78997	95.53423	91.19257	112.5934
0.240187	91.6295	95.37508	91.27146	112.6712
0.2714728	91.6295	95.37508	91.27146	112.6712
0.2714728	91.06785	95.65359	91.74478	113.0218
0.2714728	91.1882	95.69339	91.46867	112.9439
0.2870685	91.1882	95.69339	91.46867	112.9439
0.3026859	90.70679	95.45465	91.74478	113.4112
0.3183299	90.70679	95.45465	91.74478	113.4112
0.3183299	90.18525	95.45465	91.70534	113.567
0.3495723	89.98466	95.21592	91.35035	113.9954
0.3495723	89.98466	95.21592	91.35035	113.9954
0.3495723	89.46313	95.05676	91.54756	113.8396
0.3808175	89.42301	95.01697	91.38979	113.567
0.3808175	89.42301	95.01697	91.38979	113.567
0.3964325	89.70383	95.05676	91.42924	113.8786
0.3964325	90.02478	95.49444	91.23202	113.567
0.4123282	90.22537	95.81276	91.03481	113.6449
0.4123282	90.22537	95.81276	91.03481	113.6449
0.4433988	90.62655	95.81276	90.99536	113.7617
0.4433988	90.62655	95.85255	91.15313	113.6449
0.4433988	90.62655	95.85255	91.15313	113.6449
0.4745637	90.58643	95.77296	90.87703	113.6449
0.4745637	90.58643	95.77296	90.87703	113.6449
0.4901806	90.82714	95.57402	91.07425	113.2165
0.4901806	91.22832	95.89233	90.79814	113.1776
0.5057855	91.22832	95.89233	90.79814	113.1776
0.5214201	91.6295	95.73318	90.64037	112.9828
0.5214201	91.83009	95.93212	90.36427	112.9049
0.5372949	91.83009	95.93212	90.36427	112.9049
0.5524982	91.6295	95.93212	90.44315	112.4765
0.56812	91.6295	95.93212	90.44315	112.4765
0.56812	92.23127	96.17086	90.32483	111.9702
0.5966647	92.27139	96.13107	90.36427	111.6976
0.5966647	92.59233	96.09128	90.4826	111.7755
0.6122857	92.7528	96.0117	90.83759	111.6197
0.6122857	92.7528	96.0117	90.83759	111.6197
0.6278194	92.71268	95.77296	90.52204	111.386
0.6436026	92.71268	95.77296	90.52204	111.386
0.6436026	92.91328	95.77296	90.83759	110.9966
0.6436026	93.23421	96.0117	90.91647	111.0745
0.6748364	93.23421	96.0117	90.91647	111.0745
0.6748364	93.51505	95.93212	90.79814	110.646
0.69046	93.79587	95.81276	90.87703	110.646
0.69046	93.79587	95.81276	90.87703	110.646
0.7216968	93.95634	95.73318	90.64037	110.2566
0.7216968	93.95634	95.73318	90.64037	110.2566
0.7216968	94.0767	95.57402	91.03481	110.3734
0.7373933	94.23717	95.41486	90.79814	110.3345
0.7373933	94.23717	95.41486	90.79814	110.3345
0.7685635	94.39764	95.25571	90.95592	110.0229
0.7685635	94.518	95.57402	90.91647	110.1787
0.7685635	94.518	95.57402	90.91647	110.1787
0.7996597	94.87906	95.81276	90.83759	109.6334
0.7996597	94.87906	95.81276	90.83759	109.6334
0.8263156	94.91917	95.61381	90.52204	109.5166
0.8274052	95.2	95.21592	90.67982	109.7113
0.8500485	95.24012	95.05676	90.83759	109.3219
0.8511599	95.56107	95.13634	90.79814	109.244
0.8684283	95.56107	95.13634	90.79814	109.244
0.8684283	95.52094	95.41486	90.79814	109.205
0.8684283	95.52094	95.41486	90.79814	109.205
0.8998232	95.882	95.53423	91.11369	108.9324
0.8998232	95.84189	95.05676	91.27146	109.1661
0.9154476	95.84189	95.05676	91.27146	109.1661
0.9154476	95.6413	94.73844	91.27146	108.9714
0.9154476	95.40059	94.42013	91.42924	108.9714
0.9466881	95.40059	94.42013	91.42924	108.9714
0.9466881	95.4407	93.90287	91.42924	109.0493
0.9623096	95.882	94.38034	91.42924	108.8545
0.9623096	95.882	94.38034	91.42924	108.8545
0.9779049	96.44366	94.38034	91.19257	108.4261
0.9990003	96.44366	94.38034	91.19257	108.4261
1.0009906	96.36342	94.49971	91.15313	108.1535
1.0325908	97.16578	94.69865	91.27146	108.1535
1.0338133	97.16578	94.69865	91.27146	108.1535
1.0499291	97.28613	95.05676	90.71926	107.803
1.0499291	97.28613	95.05676	90.71926	107.803
1.0657165	97.12566	95.01697	91.19257	107.8419
1.0657165	97.12566	95.01697	91.19257	107.8419
1.0969013	97.2059	94.97718	91.11369	107.9198
1.0969013	97.48672	95.17612	91.07425	107.8419
1.1125203	97.12566	94.8976	90.71926	107.8419
1.1125203	97.44661	94.61907	90.56149	107.4525
1.1437671	97.44661	94.61907	90.56149	107.4525
1.1437671	97.56696	94.8976	90.36427	107.1409
1.1437671	97.56696	94.8976	90.36427	107.1409
1.1752565	97.92802	95.13634	90.2065	106.8683
1.1752565	98.36932	95.57402	89.96984	106.7125
1.1904751	98.36932	95.57402	89.96984	106.7125
1.1904751	98.7705	95.45465	89.85151	106.6735
1.1904751	99.2118	95.45465	89.89095	106.8293
1.2217946	99.2118	95.45465	89.89095	106.8293
1.2217946	99.57286	95.41486	89.81207	106.4009
1.237423	99.77345	95.41486	89.81207	106.4009
1.237423	99.77345	95.85255	89.25986	105.9336
1.253048	100.0944	96.05149	89.2993	105.7778
1.2686615	100.0944	96.05149	89.2993	105.7778
1.2686615	100.3752	96.21065	88.94431	105.4273
1.2999746	100.6962	96.25044	88.7471	105.622
1.2999746	100.6962	96.25044	88.7471	105.622
1.2999746	100.8165	96.29023	88.66821	105.2715
1.3155983	100.8165	96.29023	88.66821	105.2715
1.3155983	100.9369	96.44939	88.43156	105.2325
1.3468953	100.977	96.52896	88.51044	104.8431
1.3468953	100.977	96.52896	88.51044	104.8431
1.3624811	101.1375	96.88707	87.8399	104.6094
1.3624811	101.1375	96.88707	87.8399	104.6094
1.3937048	101.4183	96.4096	87.99768	104.7262
1.3937048	101.2578	96.80749	87.72158	104.6483
1.3937048	101.2578	96.80749	87.72158	104.6483
1.4252009	101.2578	96.84728	87.40603	104.6873
1.4252009	101.2578	96.84728	87.40603	104.6873
1.4406033	101.5788	96.84728	87.76102	104.5315
1.4406033	101.8596	97.1258	87.2877	104.4147
1.4406033	101.8596	97.1258	87.2877	104.4147
1.4718253	102.2608	97.44412	87.2877	104.6873
1.4718253	101.9799	97.56348	87.12993	104.2978
1.4874454	101.9799	97.56348	87.12993	104.2978
1.4874454	101.9799	97.28497	87.40603	104.5704
1.5186748	101.9799	97.28497	87.40603	104.5704
1.5186748	101.9799	97.48391	87.05104	104.181
1.5501641	102.1003	97.28497	87.60325	104.2978
1.5501641	101.9398	96.88707	87.32715	104.2978
1.5655435	101.8596	96.88707	87.12993	104.181
1.5655435	101.8596	96.88707	87.12993	104.181
1.5967843	102.1003	96.92686	87.12993	104.5315
1.5967843	102.0602	96.60854	86.77494	104.0641
1.612401	101.9398	96.44939	87.24826	104.4147
1.612401	101.9398	96.44939	87.24826	104.4147
1.6278747	101.8596	96.80749	87.2877	104.8431
1.6595548	102.1805	96.64833	87.2877	104.6094
1.6595548	102.1805	96.64833	87.2877	104.6094
1.6726918	101.8195	96.4096	87.72158	104.882
1.6884741	101.8195	96.44939	88.15545	105.0378
1.6884741	101.8195	96.44939	88.15545	105.0378
1.7197156	101.2578	96.17086	88.39211	105.0378
1.7197156	101.0572	95.61381	88.94431	105.4662
1.7197156	101.0572	95.61381	88.94431	105.4662
1.7353958	100.5758	95.33528	89.25986	105.6609
1.7508119	100.5758	95.33528	89.25986	105.6609
1.7665792	99.97404	95.09655	89.41763	105.6609
1.7665792	99.97404	95.01697	89.73318	106.1283
1.7665792	99.97404	95.01697	89.73318	106.1283
1.7978249	99.41239	94.77824	89.89095	106.4788
1.7978249	99.37227	94.5395	90.04872	106.2841
1.8250945	99.37227	94.5395	90.04872	106.2841
1.8262048	99.13156	93.82329	90.44315	106.4399
1.8286435	99.13156	93.82329	90.44315	106.4399
1.848419	98.65015	93.54476	90.52204	106.5956
1.848419	98.40944	93.34582	90.64037	106.9072
1.8641953	98.40944	93.34582	90.64037	106.9072
1.8641953	98.3292	93.58455	90.91647	106.8683
1.8641953	98.16873	93.58455	91.11369	107.1019
1.8954895	98.16873	93.58455	91.11369	107.1019
1.8954895	97.80767	93.3856	91.42924	108.0367
1.9110554	97.80767	93.3856	91.42924	108.0367
1.9110554	97.68732	93.42539	91.62645	107.9198
1.9265297	97.28613	93.26624	91.74478	108.1145
