TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0233397	98.20885	90.16267	69.77494	58.68815
0.0244722	98.20885	90.16267	69.77494	58.68815
0.0283465	98.36932	90.56056	69.49884	58.49252
0.046979	98.36932	90.56056	69.49884	58.49252
0.0481736	99.09145	90.7993	69.41995	58.29689
0.0670161	99.37227	90.87888	69.14385	57.82739
0.0670161	99.37227	90.87888	69.14385	57.82739
0.0826302	99.29204	90.64014	68.67053	57.82739
0.0982171	99.61298	90.83909	68.67053	57.78826
0.0982171	99.61298	90.83909	68.67053	57.78826
0.1138813	99.93392	90.75951	68.15778	57.43613
0.1138813	99.93392	90.75951	68.15778	57.43613
0.1295328	99.89381	91.07782	67.80164	57.39701
0.1451104	100.1746	91.11761	67.72229	57.084
0.1451104	100.1746	91.11761	67.72229	57.084
0.1607302	100.4555	91.11761	67.60326	57.12313
0.1607302	100.4956	91.39614	67.36523	56.84925
0.1919727	100.4956	91.39614	67.36523	56.84925
0.1919727	101.2979	91.79403	67.12719	56.65363
0.1919727	101.6991	91.83382	67.12719	56.69275
0.207594	101.6991	91.83382	67.12719	56.69275
0.2231861	101.6189	91.83382	67.04784	56.65363
0.2388235	101.6189	91.83382	67.04784	56.65363
0.2388235	101.5386	91.75424	67.08752	56.49712
0.2388235	101.4584	91.5553	66.9685	56.53625
0.2700416	101.4584	91.5553	66.9685	56.53625
0.2700416	101.2979	91.27677	67.28588	56.18412
0.2856168	101.4183	91.35635	67.68262	56.49712
0.2856168	101.4183	91.35635	67.68262	56.49712
0.3169472	101.2177	90.91866	67.52392	56.57537
0.3169472	100.8566	90.52077	68.23666	56.73188
0.3482401	100.5357	90.24225	68.74942	56.84925
0.3482401	100.5357	90.24225	68.74942	56.84925
0.363817	100.1746	89.88414	69.22274	57.00575
0.363817	99.77345	89.44646	69.81438	57.24051
0.363817	99.77345	89.44646	69.81438	57.24051
0.3950601	99.13156	88.9292	70.36659	57.47526
0.3950601	98.69026	88.57109	70.91879	57.94476
0.4106772	98.69026	88.57109	70.91879	57.94476
0.4106772	98.56991	87.97425	71.471	58.02301
0.4106772	97.80767	87.65594	72.18098	58.33602
0.4419231	97.80767	87.65594	72.18098	58.33602
0.4419231	97.48672	87.29784	72.96984	58.37514
0.4732226	97.48672	87.29784	72.96984	58.37514
0.4732226	97.40649	87.13868	73.52204	58.7664
0.4888324	96.72449	86.46226	73.91647	59.00115
0.4888324	96.44366	86.18373	74.31091	59.31416
0.5200081	96.16283	85.82563	75.06033	59.86191
0.5200081	96.16283	85.82563	75.06033	59.86191
0.535624	95.882	85.38795	75.09977	59.86191
0.535624	95.56107	85.14921	75.29698	60.21404
0.5668851	95.72153	85.10942	75.29698	60.05754
0.5668851	95.72153	85.10942	75.29698	60.05754
0.5825669	95.72153	85.189	75.45476	60.60529
0.5980935	95.68142	85.14921	75.57309	60.48792
0.5980935	95.68142	85.14921	75.57309	60.48792
0.6137617	95.68142	84.83089	75.45476	60.52704
0.6227734	95.92213	85.06963	75.29698	60.37054
0.6495897	95.92213	85.06963	75.29698	60.37054
0.6505935	95.60118	85.02984	75.13921	60.05754
0.6676482	95.92213	85.02984	74.94199	60.37054
0.6676482	96.04248	85.50732	74.86311	60.44879
0.6834277	96.04248	85.50732	74.86311	60.44879
0.6834277	96.16283	85.42773	74.86311	60.33142
0.6989375	96.20295	85.62668	74.46867	60.40967
0.7146686	96.20295	85.62668	74.46867	60.40967
0.7146686	96.36342	85.62668	74.54756	60.44879
0.7459075	96.36342	85.62668	74.54756	60.44879
0.7459075	96.5239	86.06436	74.27146	60.29229
0.7615317	96.5239	86.02457	74.11369	60.25317
0.7615317	96.3233	86.26331	73.71926	60.13579
0.7927704	96.7646	86.22353	73.56149	60.09666
0.7927704	96.7646	86.22353	73.56149	60.09666
0.7927704	96.36342	86.46226	73.64037	60.13579
0.8084457	96.36342	86.46226	73.64037	60.13579
0.8084457	96.44366	86.701	73.52204	60.25317
0.8396425	96.80472	86.74078	73.12761	59.70541
0.8396425	96.80472	86.74078	73.12761	59.70541
0.8396425	96.84484	86.89994	72.96984	59.66628
0.8708499	96.84484	87.25805	73.28539	59.50978
0.8708499	96.84484	87.25805	73.28539	59.50978
0.8864787	96.88496	87.53657	73.00928	59.97929
0.8864787	96.88496	87.53657	73.00928	59.97929
0.9019697	97.16578	87.45699	72.96984	59.82278
0.9176378	96.96519	87.73552	72.49652	59.62716
0.9176378	96.96519	87.73552	72.49652	59.62716
0.9333624	96.96519	87.73552	72.45708	59.70541
0.9333624	96.84484	88.05383	72.45708	59.58803
0.9488392	96.84484	88.05383	72.45708	59.58803
0.96461	96.92507	87.77531	72.18098	59.43153
0.96461	96.68436	87.77531	72.22042	59.43153
0.9971066	96.68436	88.01405	72.22042	59.43153
0.9981085	96.84484	88.09362	72.14153	59.62716
1.0175355	96.84484	88.09362	72.14153	59.62716
1.0175355	96.7646	88.21299	72.10209	59.70541
1.0175355	96.44366	88.13341	72.45708	59.58803
1.0333188	96.44366	88.13341	72.45708	59.58803
1.0333188	96.24306	87.69573	72.73318	60.17492
1.0645474	96.24306	87.69573	72.89095	59.97929
1.0645474	96.24306	87.69573	72.89095	59.97929
1.0645474	95.56107	87.41721	73.00928	60.29229
1.1114692	95.56107	87.41721	73.00928	60.29229
1.1114692	95.48083	87.21825	73.24594	60.56617
1.1426623	94.35752	86.50204	74.07425	61.19218
1.1426623	94.11681	86.26331	74.58701	61.42693
1.1582809	93.83599	86.02457	74.70534	61.46605
1.1582809	93.83599	86.02457	74.70534	61.46605
1.1737534	93.59528	86.10416	74.74478	61.77906
1.1895285	93.27434	86.22353	74.98144	62.05293
1.1895285	93.27434	86.22353	74.98144	62.05293
1.2207478	93.39469	86.34289	75.06033	62.24856
1.2207478	93.11386	86.22353	75.29698	62.36594
1.2207478	93.11386	86.22353	75.29698	62.36594
1.2363657	93.23421	85.98479	75.21809	62.83544
1.2363657	93.23421	85.98479	75.21809	62.83544
1.2674792	92.47198	85.66647	75.29698	62.95282
1.2674792	92.27139	85.66647	75.69141	63.07019
1.2674792	92.27139	85.66647	75.69141	63.07019
1.283256	92.23127	85.58689	75.73086	63.26582
1.283256	91.66962	85.34816	76.00696	63.18757
1.3144934	91.66962	85.34816	76.00696	63.18757
1.3144934	91.74986	85.50732	76.00696	63.42233
1.3144934	91.74986	85.50732	76.00696	63.42233
1.3457349	91.26844	85.06963	75.96751	63.6962
1.3457349	91.50915	85.14921	76.28307	63.81358
1.3613571	91.50915	85.14921	76.28307	63.81358
1.3613571	91.70973	84.79111	76.24362	63.6962
1.3769598	91.78997	84.91048	76.08585	63.6962
1.3926033	91.78997	84.91048	76.08585	63.6962
1.3926033	92.19115	84.83089	76.28307	63.6962
1.4082208	92.19115	84.83089	76.28307	63.6962
1.4082208	91.87021	84.51258	76.44083	63.61795
1.4236936	91.66962	84.31364	76.40139	63.89183
1.4394505	91.66962	84.31364	76.40139	63.89183
1.4394505	91.34867	84.31364	76.51972	64.12658
