TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0040166	98.56991	91.03803	68.74942	57.59264
0.0086203	98.56991	91.03803	68.74942	57.59264
0.0361888	98.52979	91.19719	69.1833	57.39701
0.0373881	98.52979	91.19719	69.1833	57.39701
0.038641	98.44955	91.35635	68.78886	57.71001
0.0549557	98.69026	91.47572	69.02552	57.86651
0.0549557	98.69026	91.47572	69.02552	57.86651
0.0861801	98.85074	91.63487	68.74942	57.71001
0.0873784	98.89085	91.95319	68.35499	57.63176
0.0886143	98.89085	91.95319	68.35499	57.63176
0.1004888	99.01121	92.27151	68.23666	57.47526
0.1004888	99.01121	92.27151	68.23666	57.47526
0.1318923	99.09145	92.31129	67.88098	57.24051
0.1318923	99.41239	92.23171	68	56.96663
0.1318923	99.41239	92.23171	68	56.96663
0.147505	99.01121	92.27151	67.92065	57.16225
0.147505	98.81062	92.23171	67.64294	57.12313
0.178751	98.81062	92.23171	67.64294	57.12313
0.178751	99.09145	92.35108	68.15778	57.16225
0.178751	99.09145	92.35108	68.15778	57.16225
0.2099858	98.89085	92.35108	67.92065	57.35788
0.2099858	99.13156	92.55003	68	57.35788
0.2254619	99.13156	92.55003	68	57.35788
0.2254619	99.09145	92.39087	67.92065	57.59264
0.2254619	98.97109	92.39087	67.84131	57.74914
0.2567607	98.97109	92.39087	67.84131	57.74914
0.2567607	99.05133	92.27151	67.84131	57.51439
0.272437	99.05133	92.27151	67.84131	57.51439
0.272437	98.7705	91.83382	68.23666	57.78826
0.2879513	98.85074	91.83382	68.2761	57.74914
0.3037432	98.85074	91.83382	68.2761	57.74914
0.3037432	98.40944	91.67467	68.55221	58.02301
0.33495	98.48968	91.67467	68.59164	57.94476
0.33495	98.48968	91.67467	68.59164	57.94476
0.3505912	98.20885	91.47572	68.70998	58.17952
0.3505912	98.16873	91.67467	68.63109	58.10126
0.3818342	98.48968	91.87361	68.67053	58.37514
0.3818342	98.48968	91.87361	68.67053	58.37514
0.3974594	98.44955	91.83382	68.59164	57.90564
0.3974594	98.3292	91.5155	68.63109	58.25777
0.4129218	98.3292	91.5155	68.63109	58.25777
0.4287072	98.12862	91.31656	68.39443	57.94476
0.4287072	98.08849	91.43593	68.23666	57.71001
0.4599409	98.08849	91.43593	68.23666	57.71001
0.4599409	98.16873	91.35635	68.19721	57.82739
0.4599409	98.16873	91.35635	68.19721	57.82739
0.4755491	98.16873	91.23698	68.51276	57.78826
0.4755491	98.20885	91.39614	68.51276	57.90564
0.5066998	98.20885	91.39614	68.51276	57.90564
0.5066998	98.56991	91.5155	68.67053	57.67089
0.5066998	98.89085	91.67467	68.67053	57.86651
0.5224305	98.89085	91.67467	68.67053	57.86651
0.5224305	98.89085	91.75424	68.55221	57.94476
0.5536486	98.89085	91.75424	68.55221	57.94476
0.5536486	99.01121	91.5553	68.39443	57.82739
0.5849102	98.97109	91.59509	68.59164	57.39701
0.5849102	98.97109	91.59509	68.59164	57.39701
0.6105118	99.17168	91.67467	68.39443	57.39701
0.6115077	99.17168	91.67467	68.39443	57.39701
0.6145332	99.13156	91.95319	68.23666	57.31876
0.6361713	99.29204	92.19193	67.72229	56.96663
0.637411	99.29204	92.19193	67.72229	56.96663
0.6561819	99.73333	92.62961	67.88098	56.73188
0.6561819	99.73333	92.62961	67.88098	56.73188
0.6561819	99.77345	93.06729	67.44457	56.6145
0.6719861	99.89381	93.10708	67.08752	56.57537
0.6874255	99.89381	93.10708	67.08752	56.57537
0.7031922	99.73333	93.42539	66.88914	56.34062
0.7031922	99.73333	93.42539	66.88914	56.34062
0.7031922	99.77345	93.26624	66.92882	56.30149
0.7344733	99.93392	93.58455	66.77013	56.02762
0.7344733	99.93392	93.58455	66.77013	56.02762
0.75011	99.6531	93.62434	66.53209	56.06674
0.75011	100.1345	94.10181	66.2147	55.75374
0.7813243	100.1345	94.10181	66.2147	55.75374
0.7813243	100.2148	94.22118	66.2147	55.91024
0.7969416	100.6159	94.57928	66.25438	55.87112
0.812399	100.7764	94.73844	65.97666	55.67549
0.8281746	100.7764	94.73844	65.97666	55.67549
0.8281746	101.0973	94.97718	65.61961	55.59724
0.8281746	101.1776	94.93739	65.30222	55.79287
0.8594254	101.1776	94.93739	65.30222	55.79287
0.8594254	101.0171	95.01697	65.06418	55.24511
0.8750307	101.1375	95.13634	64.74679	55.40161
0.8750307	101.1375	95.13634	64.74679	55.40161
0.8750307	101.659	95.29549	64.54842	55.24511
0.9061285	101.659	95.29549	64.54842	55.24511
0.9061285	101.7392	95.25571	64.1517	54.97123
0.921913	102.1805	95.49444	64.11202	54.73648
0.9373925	102.1805	95.49444	64.11202	54.73648
0.9373925	102.1805	95.33528	64.19137	54.89298
0.9531751	102.3811	95.69339	63.95333	54.6191
0.9531751	102.3811	95.69339	63.95333	54.6191
0.9843964	102.2206	95.41486	63.95333	54.73648
0.9843964	102.2206	95.41486	63.95333	54.73648
0.9843964	102.1404	95.33528	63.95333	54.73648
1.0111453	102.0602	95.61381	64.07234	54.69735
1.0123826	102.0602	95.61381	64.07234	54.69735
1.0361565	102.1404	95.57402	64.11202	54.65823
1.037403	102.2608	95.41486	63.91365	54.97123
1.0386556	102.2608	95.41486	63.91365	54.97123
1.0560185	102.3009	95.85255	64.27071	54.93211
1.0560185	102.3009	95.85255	64.27071	54.93211
1.0560185	102.2608	95.73318	63.91365	54.54085
1.0717707	102.5416	95.61381	64.19137	54.85386
1.0873876	102.5416	95.61381	64.19137	54.85386
1.1030442	102.6218	95.69339	63.71529	54.93211
1.1030442	102.5015	95.77296	63.75496	54.38435
1.1342908	102.5015	95.77296	63.75496	54.38435
1.1342908	102.5416	95.61381	63.75496	54.69735
1.1342908	102.5416	95.61381	63.75496	54.69735
1.1498963	102.5015	95.53423	63.59627	54.4626
1.1498963	102.5416	95.73318	63.55659	54.50172
1.1811311	102.5416	95.73318	63.55659	54.50172
1.1811311	102.5416	95.77296	63.59627	54.38435
