TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0029919	73.85722	85.58689	63.19953	61.97468
0.0039917	73.69675	85.66647	62.96149	62.28769
0.0049882	73.69675	85.66647	62.96149	62.28769
0.0273083	73.65664	85.42773	63.12019	62.17031
0.0294869	73.73687	85.74605	63.19953	62.40506
0.0444005	73.73687	85.74605	63.19953	62.40506
0.0444005	73.69675	85.78584	63.19953	62.17031
0.0444005	73.69675	85.78584	63.19953	62.17031
0.0758205	73.65664	85.5471	63.31855	62.63982
0.0758205	73.41593	85.10942	63.63594	63.07019
0.100597	73.41593	85.10942	63.63594	63.07019
0.100597	73.33569	84.75132	63.63594	63.50058
0.100597	72.97463	84.47279	63.87398	63.61795
0.1163654	72.97463	84.47279	63.87398	63.61795
0.1163654	72.49322	84.19427	64.23104	64.00921
0.147458	72.49322	84.19427	64.23104	64.00921
0.147458	72.73392	83.99532	64.11202	64.12658
0.147458	72.33274	83.83616	64.31039	64.20483
0.1630764	72.33274	83.83616	64.31039	64.20483
0.1787796	72.6938	83.87595	64.38973	64.28308
0.1943233	72.57345	83.87595	64.23104	64.32221
0.1943233	72.57345	83.87595	64.23104	64.32221
0.1943233	72.61357	83.95553	64.07234	64.16571
0.2256509	72.61357	83.95553	64.07234	64.16571
0.2256509	72.73392	84.27384	64.03267	64.16571
0.2524664	72.73392	84.35342	63.87398	64.04833
0.253429	72.73392	84.35342	63.87398	64.04833
0.2565489	72.97463	84.35342	64.07234	64.32221
0.2774685	73.05487	84.47279	63.91365	63.89183
0.2793153	73.05487	84.47279	63.91365	63.89183
0.2946049	72.61357	84.35342	63.87398	64.00921
0.2946049	72.61357	84.35342	63.87398	64.00921
0.2946049	72.73392	84.0749	64.03267	64.00921
0.3259952	72.57345	83.99532	64.23104	64.08746
0.3259952	72.57345	83.99532	64.23104	64.08746
0.3416155	72.45309	83.91574	64.07234	64.36134
0.3416155	72.77404	84.23405	64.19137	64.40046
0.372861	72.77404	84.23405	64.19137	64.40046
0.372861	72.73392	84.47279	64.31039	64.28308
0.3884808	72.65369	84.39321	64.07234	64.04833
0.4039706	72.77404	84.19427	64.1517	63.81358
0.4197312	72.77404	84.19427	64.1517	63.81358
0.4197312	72.97463	84.59216	63.75496	63.65708
0.4197312	72.89439	84.51258	63.75496	63.50058
0.4509632	72.89439	84.51258	63.75496	63.50058
0.4509632	72.89439	85.02984	63.63594	63.50058
0.497845	72.97463	85.189	63.35823	63.42233
0.497845	72.97463	85.189	63.35823	63.42233
0.5134309	73.09499	85.22879	62.96149	63.14845
0.5290265	73.09499	85.22879	62.96149	63.14845
0.5290265	73.01475	85.58689	62.88215	63.34407
0.5445936	73.17522	85.86542	63.00117	63.07019
0.5445936	73.17522	85.86542	63.00117	63.07019
0.575932	73.21534	85.9052	63.12019	63.2267
0.575932	73.09499	85.9052	63.12019	63.2267
0.575932	73.09499	85.9052	62.88215	62.99194
