TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0019957	90.90737	82.24459	65.61961	53.95397
0.0209285	90.34573	81.92627	65.22287	54.1496
0.0220718	90.34573	81.92627	65.22287	54.1496
0.045937	90.58643	81.92627	65.61961	54.3061
0.0470173	90.66666	81.92627	65.93699	54.73648
0.0491369	90.66666	81.92627	65.93699	54.73648
0.0709277	90.26549	81.96606	66.05601	54.93211
0.0720744	90.26549	81.96606	66.05601	54.93211
0.0920204	90.0649	81.60796	66.2147	54.81473
0.0920204	90.18525	81.48859	66.17503	54.93211
0.0920204	90.18525	81.48859	66.17503	54.93211
0.1077695	90.14513	81.84669	66.17503	54.97123
0.1077695	90.14513	81.40901	66.45274	55.28423
0.1390314	90.14513	81.40901	66.45274	55.28423
0.1390314	89.94454	81.4488	66.13535	55.12773
0.1702666	89.94454	81.32943	66.05601	55.24511
0.1702666	89.94454	81.32943	66.05601	55.24511
0.1702666	90.02478	81.56817	66.05601	55.28423
0.1859404	90.02478	81.56817	66.05601	55.28423
0.1859404	90.42596	81.76711	65.81797	55.20598
0.2170533	90.5062	81.76711	65.93699	55.40161
0.2170533	90.5062	81.76711	65.93699	55.40161
0.2170533	90.22537	81.68754	65.7783	55.32336
0.2326104	90.34573	81.68754	65.97666	55.08861
0.2326104	90.34573	81.68754	65.97666	55.08861
0.2640497	90.18525	81.60796	65.85764	55.12773
0.2640497	90.18525	81.60796	65.85764	55.12773
0.2640497	90.66666	81.60796	66.09568	55.08861
0.2956716	90.54631	81.64775	66.09568	55.28423
0.2970033	90.54631	81.64775	66.09568	55.28423
0.3094235	90.42596	81.52838	66.05601	55.08861
0.3094235	90.18525	81.52838	66.01633	55.24511
0.3408505	89.94454	81.72733	66.05601	55.12773
0.3408505	89.94454	81.72733	66.05601	55.12773
0.3564602	90.10501	81.68754	66.13535	55.12773
0.3720311	90.0649	81.68754	66.57176	55.59724
0.3720311	90.0649	81.68754	66.57176	55.59724
0.3876794	90.10501	81.40901	66.33372	55.59724
0.3876794	89.66372	81.4488	66.3734	55.36248
0.4189204	89.66372	81.4488	66.3734	55.36248
0.4189204	88.94159	80.89175	66.3734	55.36248
0.4189204	88.94159	80.89175	66.3734	55.36248
0.4345348	88.46017	80.53365	66.9685	55.51899
0.4345348	88.42006	80.57343	67.20654	55.59724
0.4658124	88.42006	80.57343	67.20654	55.59724
0.4658124	87.97876	80.65302	67.44457	55.87112
0.4658124	87.73805	80.09596	67.96033	55.87112
0.4814023	87.73805	80.09596	67.96033	56.26237
0.4970089	87.49734	79.93681	68.03944	56.37975
0.5126689	87.49734	79.93681	68.03944	56.37975
0.5126689	87.13628	79.81744	68.35499	56.37975
0.5126689	87.25664	79.61849	68.86775	56.84925
0.5438963	87.25664	79.61849	68.86775	56.84925
0.5438963	87.1764	79.61849	69.02552	57.12313
0.5907627	87.01593	79.49912	69.14385	57.31876
0.5907627	87.01593	79.49912	69.14385	57.31876
0.5907627	86.45428	78.58397	69.69605	57.78826
0.6063792	86.25368	78.50439	69.93272	57.90564
0.6218537	86.25368	78.50439	69.93272	57.90564
0.6218537	86.33392	78.02692	70.24826	58.14039
0.6376126	86.37404	78.26566	70.52436	57.78826
0.6376126	86.37404	78.26566	70.52436	57.78826
0.6688462	86.0531	77.82797	70.99768	58.10126
0.6688462	85.77227	78.02692	70.80046	58.25777
0.6844565	85.77227	78.02692	70.80046	58.25777
0.6844565	85.85251	77.86776	71.07657	58.21864
0.6844565	85.85251	77.86776	71.07657	58.21864
0.7157399	85.33097	77.74839	71.86543	58.25777
0.7157399	85.01003	77.74839	72.18098	58.29689
0.7313456	85.01003	77.74839	72.18098	58.29689
0.7468267	84.44838	77.35049	72.45708	58.6099
0.7468267	84.24779	77.23113	72.73318	58.7664
0.7626568	84.24779	77.23113	72.73318	58.7664
0.7626568	84.08732	77.27092	72.85151	58.9229
0.7955702	84.08732	77.27092	72.85151	58.9229
0.7970744	83.88673	77.46986	72.89095	58.96202
0.7984102	83.92684	77.07198	72.81207	58.7664
0.8207831	83.92684	77.07198	72.81207	58.7664
0.8220161	84.00708	77.27092	72.41763	58.68815
0.8329374	84.00708	77.27092	72.41763	58.68815
0.8329374	84.16755	77.54945	72.22042	58.17952
0.8643434	84.68909	77.82797	72.14153	58.41427
0.8643434	85.01003	77.98713	71.66821	58.29689
0.8955744	85.05015	78.02692	71.54988	57.98389
0.8955744	85.05015	78.02692	71.54988	57.98389
0.8955744	85.29086	78.30544	71.62877	58.02301
0.911194	85.29086	78.30544	71.62877	58.02301
0.911194	85.45132	78.38502	71.43156	57.78826
0.942499	85.85251	78.4646	71.23434	57.98389
0.942499	85.85251	78.4646	71.23434	57.98389
0.942499	85.93275	78.30544	71.23434	57.90564
0.9580641	85.97286	77.98713	71.27378	57.51439
0.9580641	85.97286	77.98713	71.27378	57.51439
0.9955014	86.0531	77.94733	71.27378	57.55351
0.9964981	86.45428	77.94733	71.27378	57.55351
0.9994949	86.45428	78.1065	71.19489	57.59264
1.0206859	86.49439	77.98713	71.11601	57.74914
1.0219922	86.49439	77.98713	71.11601	57.74914
1.0328154	86.7351	77.90755	71.23434	57.90564
1.0328154	86.69498	77.82797	71.03712	57.63176
1.0485538	86.69498	77.82797	71.03712	57.63176
1.0642035	86.89558	77.78818	71.35267	57.86651
1.0642035	86.89558	77.78818	71.35267	57.86651
1.0954493	86.41416	77.74839	71.54988	57.74914
1.0954493	86.77522	77.58923	71.35267	57.94476
1.0954493	86.77522	77.58923	71.35267	57.94476
1.1110698	86.45428	77.23113	71.23434	57.90564
1.1110698	86.41416	77.43008	71.15545	57.74914
1.1423088	86.41416	77.43008	71.15545	57.74914
1.1423088	86.53452	77.43008	71.15545	57.35788
1.1423088	87.01593	77.78818	70.99768	57.24051
1.1579351	87.01593	77.78818	70.99768	57.24051
1.1579351	87.6177	78.0667	70.80046	56.84925
1.1891713	87.6177	78.0667	70.80046	56.84925
1.1891713	87.69794	78.30544	70.36659	56.26237
1.1891713	88.33982	78.4646	70.32715	56.41887
1.2204042	88.33982	78.4646	70.32715	56.41887
1.2204042	88.86136	78.8625	69.85383	55.63636
1.2360186	89.74395	79.10123	69.14385	55.59724
1.2672431	89.74395	79.06144	69.26218	55.24511
1.2672431	89.94454	79.2206	68.9072	54.97123
1.2672431	89.94454	79.2206	68.9072	54.97123
1.2827555	90.22537	79.37975	68.63109	54.50172
1.2827555	90.22537	79.37975	68.63109	54.50172
1.3141433	90.62655	79.14102	68.31554	54.73648
1.3141433	90.70679	79.49912	68.31554	54.93211
1.3141433	90.70679	79.49912	68.31554	54.93211
1.3453878	90.90737	79.53891	68.2761	54.73648
1.3453878	90.78702	79.49912	68.39443	54.89298
1.3610101	90.78702	79.49912	68.39443	54.89298
1.3610101	90.82714	79.49912	68.31554	54.65823
1.3610101	90.82714	79.49912	68.31554	54.65823
1.392248	90.62655	79.45934	67.96033	54.65823
1.392248	90.82714	79.65828	68.15778	54.50172
1.4078719	90.82714	79.65828	68.15778	54.50172
1.4078719	91.14808	79.73786	67.52392	54.22785
1.423461	91.42891	79.77765	67.52392	54.34523
1.4391075	91.42891	79.77765	67.52392	54.34523
1.4391075	91.95044	80.09596	67.44457	53.79747
1.4703421	91.95044	80.09596	67.44457	53.79747
1.4703421	92.63245	80.37449	66.8098	53.52359
1.4703421	93.1941	80.53365	66.53209	53.44534
1.485961	93.1941	80.53365	66.53209	53.44534
1.485961	93.27434	80.61323	66.29405	52.93671
1.5171792	93.6354	81.0509	66.09568	52.78021
1.5171792	93.6354	81.0509	66.09568	52.78021
1.5327	93.83599	80.89175	66.13535	52.70196
1.5327	94.19705	80.89175	65.65928	52.70196
1.5640812	94.59823	80.97133	65.50058	52.38895
1.5640812	94.59823	80.97133	65.50058	52.38895
1.5953554	94.59823	80.81217	65.14352	52.58458
1.5953554	94.59823	80.93154	65.10385	52.42808
1.5953554	94.59823	80.93154	65.10385	52.42808
1.6109515	93.99646	80.49386	65.89732	52.54546
1.6109515	93.95634	80.45406	65.97666	52.54546
1.6421921	93.95634	80.45406	65.97666	52.54546
1.6421921	94.03658	80.49386	65.93699	52.81933
1.6421921	94.03658	80.49386	65.93699	52.81933
1.6578128	93.75575	80.09596	66.13535	52.42808
1.6578128	93.71564	79.89702	66.41307	52.89758
1.6734023	93.71564	79.89702	66.41307	52.89758
1.6890559	93.1941	79.65828	66.77013	53.09321
1.6890559	92.95339	79.49912	67.24621	53.44534
1.7202771	92.95339	79.49912	67.24621	53.44534
1.7202771	92.91328	79.06144	67.80164	53.40622
1.7359102	92.91328	79.06144	67.80164	53.40622
1.7359102	92.31151	78.90228	67.96033	53.79747
