TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0028314	61.76331	65.20493	53.5986	65.18297
0.0107638	61.72308	64.92542	53.47958	65.06559
0.0417811	61.68284	64.72578	53.55893	65.10472
0.0428057	61.68284	64.72578	53.55893	65.10472
0.0582167	61.36095	64.68585	53.63827	65.5351
0.0582167	61.36095	64.68585	53.63827	65.5351
0.0681108	61.40118	64.68585	53.99533	65.37859
0.090634	61.40118	64.68585	53.99533	65.37859
0.0911415	61.48166	64.60599	53.91599	65.22209
0.1092696	61.40118	64.60599	54.03501	65.45685
0.1092696	61.40118	64.60599	54.03501	65.45685
0.118104	61.48166	64.64592	53.99533	65.73073
0.1259754	61.32071	64.80563	53.87631	65.49597
0.1410747	61.32071	64.80563	53.87631	65.49597
0.1584495	61.32071	64.68585	53.71762	65.76985
0.1584495	61.32071	64.68585	53.71762	65.76985
0.1680903	61.52189	64.92542	53.67795	65.30035
0.1767443	61.44142	65.12508	53.47958	65.37859
0.1910779	61.44142	65.12508	53.47958	65.37859
0.2080947	61.28047	65.12508	53.40023	65.5351
0.2080947	61.36095	65.36465	53.40023	65.57423
0.2250567	61.2	65.36465	53.04317	65.37859
0.2415038	61.40118	65.48444	52.84481	65.57423
0.265295	61.40118	65.48444	52.84481	65.57423
0.2668211	61.40118	65.64416	53.16219	65.61335
0.3011155	61.40118	65.64416	53.16219	65.61335
0.3011155	61.36095	65.76395	53.04317	65.57423
0.3101318	61.2	65.72401	52.64644	65.6916
0.3167695	61.2	65.80388	52.56709	65.6916
0.3406866	60.99882	65.60423	52.76546	65.6916
0.3416816	60.99882	65.60423	52.76546	65.6916
0.3429718	60.99882	65.8438	52.64644	65.5351
0.3589265	60.99882	65.8438	52.64644	65.5351
0.3589265	60.79763	65.88374	52.72579	65.33947
0.3853366	60.87811	66.08338	52.80513	65.57423
0.3853366	60.87811	66.08338	52.80513	65.57423
0.3929867	61.11953	65.8438	52.68612	65.96548
0.4117454	60.99882	65.88374	52.68612	65.96548
0.4117454	60.99882	65.88374	52.68612	65.96548
0.4340396	60.7574	65.36465	52.92415	66.20023
0.4340396	60.7574	65.36465	52.92415	66.20023
0.4430186	60.67692	65.5643	52.88448	66.27848
0.4603628	60.63669	65.52437	52.76546	66.55236
0.4603628	60.63669	65.52437	52.76546	66.55236
0.4840755	60.4355	65.64416	53.08285	66.39586
0.4840755	60.47574	65.64416	52.76546	66.70886
0.49302	60.47574	65.64416	52.76546	66.70886
0.5116281	60.47574	65.68409	52.88448	66.39586
0.5116281	60.47574	65.68409	52.88448	66.39586
0.5354767	60.39527	65.5643	52.76546	66.51324
0.5354767	60.47574	65.64416	52.88448	66.90449
0.5430195	60.47574	65.64416	52.88448	66.90449
0.5603616	60.4355	65.60423	52.80513	66.66974
0.5603616	60.4355	65.60423	52.80513	66.66974
0.5875923	60.19408	65.88374	52.80513	66.59148
0.5875923	60.35503	65.44451	52.80513	66.43498
