TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0019968	103.2236	101.9403	98.13457	92.26346
0.0132236	103.4643	102.1791	97.58237	92.38029
0.0179021	103.3841	102.1393	97.18793	92.10767
0.0355732	103.3841	102.1393	97.18793	92.10767
0.040486	103.4242	101.9005	97.0696	92.10767
0.0592092	102.9829	102.0199	96.87239	92.22451
0.0592092	102.9829	102.0199	96.87239	92.22451
0.0665697	102.8625	101.622	97.22738	92.45819
0.0883615	102.8625	101.622	97.22738	92.45819
0.089494	102.4212	101.8607	97.38515	93.04238
0.1105047	102.2608	101.9005	97.66125	93.54868
0.1105047	102.2608	101.9005	97.66125	93.54868
0.1166062	101.8596	101.9005	97.66125	94.01604
0.1392741	102.0602	102.1791	97.89791	94.52234
0.1404111	102.0602	102.1791	97.89791	94.52234
0.1603997	101.7794	102.2188	97.58237	94.48339
0.1603997	101.7794	102.2188	97.58237	94.48339
0.1916766	101.9398	102.4974	97.30627	94.44444
0.1926699	101.9799	102.6167	96.87239	94.36655
0.2100075	102.4614	103.0942	96.47796	93.78236
0.2100075	103.6248	103.9298	95.05801	92.84765
0.2341162	103.6248	103.9298	95.05801	92.84765
0.2402704	104.8684	105.0041	94.07192	91.48454
0.2413785	106.2726	106.0784	92.69141	90.39404
0.2598372	106.2726	106.0784	92.69141	90.39404
0.2598372	107.6366	106.914	92.09977	89.53723
0.2838943	107.6366	106.914	92.09977	89.53723
0.2838943	108.3587	107.8689	90.64037	88.25201
0.2915878	108.8401	108.2668	90.36427	87.97938
0.308917	108.8401	108.2668	90.36427	87.97938
0.308917	109.0407	108.5056	90.60093	87.66781
0.3322797	109.1611	108.7443	90.36427	87.3173
0.3322797	109.1611	108.7443	90.36427	87.3173
0.3416892	109.5221	108.426	90.40371	87.55097
0.360335	109.5221	108.426	90.40371	87.55097
0.360335	109.8029	108.6249	90.60093	87.47308
0.3825842	110.2041	108.6647	90.36427	87.04467
0.3825842	110.2041	108.6647	90.36427	87.04467
0.3915493	110.846	108.8239	89.9304	86.46048
0.4099369	111.7687	109.5401	89.14153	85.60367
0.4099369	111.7687	109.5401	89.14153	85.60367
0.4325873	112.2501	109.182	88.78654	85.09737
0.4325873	112.2501	109.182	88.78654	85.09737
0.4416306	112.4909	109.3411	88.7471	84.35739
0.4600248	112.7316	109.6992	88.78654	83.73425
0.4600248	112.7316	109.6992	88.78654	83.73425
0.4829946	113.0124	109.739	88.62877	83.15005
0.4829946	113.4938	109.739	88.62877	82.72165
0.4917005	113.4938	109.739	88.62877	82.72165
0.5076079	113.7345	109.6594	88.58932	82.7606
0.5076079	113.7345	109.6594	88.58932	82.7606
0.5325729	113.4537	109.3809	88.90487	83.15005
0.5325729	113.574	109.182	89.18098	83.61741
0.5416863	113.574	109.182	89.18098	83.61741
0.5591086	113.4938	108.9035	89.81207	83.50057
0.5591086	113.1729	108.6249	89.89095	84.00687
0.599758	113.1729	108.6249	89.89095	84.00687
0.599758	113.0525	108.8637	90.12761	83.65636
0.6127856	113.0926	108.426	90.12761	83.34479
0.6286813	113.0926	108.426	90.12761	83.34479
0.6286813	112.7717	108.3066	90.36427	83.38374
0.6416913	112.3304	107.7098	90.71926	83.53952
0.6575877	112.3304	107.7098	90.71926	83.53952
0.6575877	111.9292	106.7946	90.91647	83.81214
0.6827303	111.9292	106.7946	90.91647	83.81214
0.6827303	111.8089	106.715	91.42924	84.12371
0.7088891	111.6885	106.3171	91.86311	84.59106
0.7088891	111.6885	106.3171	91.86311	84.59106
0.7326732	111.6885	106.1182	92.7703	85.13631
0.7326732	111.6885	106.1182	92.7703	85.13631
0.7575695	111.0466	105.7601	93.0464	85.40894
0.7575695	111.0466	105.7601	93.0464	85.40894
0.7825869	109.6826	104.8847	94.34803	86.03207
0.7825869	109.6826	104.8847	94.34803	86.03207
0.8076385	108.8802	103.89	95.01856	86.69416
0.8076385	108.3186	103.4921	95.88631	87.55097
0.8166126	108.3186	103.4921	95.88631	87.55097
0.83401	107.9174	102.9351	96.08353	87.82359
0.8413752	107.9174	102.9351	96.08353	87.82359
0.863658	107.6767	102.7759	96.28074	87.94044
0.8652676	107.2354	102.6167	96.20186	88.25201
0.8664314	107.2354	102.6167	96.20186	88.25201
0.8837291	107.1552	101.9801	96.43851	88.75831
0.8837291	107.115	101.8607	96.87239	88.95303
0.9075378	107.115	101.8607	96.87239	88.95303
0.9075378	106.6737	101.5424	97.38515	89.53723
0.9164765	106.6737	101.5424	97.38515	89.53723
0.9338249	106.3127	101.3833	97.50348	89.73196
0.9338249	106.2726	101.3037	97.89791	90.12142
0.9591707	106.2726	101.3037	97.89791	90.12142
0.9591707	105.8714	101.1047	97.77958	90.39404
0.9667803	105.7912	101.1843	97.81902	90.43299
0.9841763	105.7912	101.1843	97.81902	90.43299
0.9841763	106.072	101.1843	97.54292	90.39404
1.0133838	106.072	101.1843	97.54292	90.39404
1.0155017	106.2726	101.5822	97.42459	90.31615
