TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0029919	98.97109	85.70626	71.23434	81.86484
0.0142291	98.40944	85.5471	71.15545	82.02062
0.0394217	98.40944	85.5471	71.15545	82.02062
0.0404166	98.24897	85.86542	70.76102	81.63116
0.0619026	98.36932	85.98479	70.72158	81.43642
0.0654623	98.65015	86.46226	70.48492	81.28064
0.0665656	98.65015	86.46226	70.48492	81.28064
0.0787251	98.81062	86.89994	69.89327	81.12486
0.0904158	98.97109	87.57636	69.85383	81.1638
0.1132266	98.97109	87.57636	69.85383	81.1638
0.1144839	99.01121	87.65594	69.65662	81.12486
0.1286553	99.13156	88.13341	69.26218	81.00802
0.1405377	99.13156	88.13341	69.26218	81.00802
0.1415862	99.69321	88.37215	68.86775	80.85223
0.1642211	99.69321	88.37215	68.86775	80.85223
0.1654606	99.97404	88.88941	68.51276	80.1512
0.1785701	100.5357	89.36688	68	80.1512
0.1905529	100.5357	89.36688	68	80.1512
0.1915453	100.656	89.60561	67.72229	79.48912
0.2114818	100.3752	89.92393	67.56359	79.41122
0.2156757	100.3752	89.92393	67.56359	79.41122
0.2327268	100.8968	90.44119	67.04784	78.94387
0.2404287	100.8968	90.44119	67.04784	78.94387
0.2415841	101.1776	90.75951	66.45274	78.55441
0.3030448	102.0602	91.43593	66.45274	77.81443
0.3030448	102.0602	91.43593	66.45274	77.81443
0.3030448	103.2236	92.19193	65.93699	77.03551
0.3095285	103.344	92.19193	65.42123	76.80183
0.3159157	103.344	92.19193	65.42123	76.80183
0.3382456	103.0631	92.03277	65.42123	77.07446
0.3382456	102.5015	91.79403	65.69895	77.15235
0.3382456	102.5015	91.79403	65.69895	77.15235
0.359569	101.7392	91.07782	66.25438	77.42497
0.3647254	101.2979	91.07782	66.25438	77.97021
0.3841501	101.2979	91.07782	66.25438	77.97021
0.3906189	101.0572	90.56056	66.69078	77.97021
0.3916106	101.0572	90.56056	66.69078	77.97021
0.4108995	100.8165	90.52077	66.49242	78.43757
0.4155261	100.8165	90.7993	66.53209	78.82703
0.4325121	100.8165	90.7993	66.53209	78.82703
0.4404106	101.4183	91.1574	66.84947	78.47652
0.4415177	101.2979	90.95846	66.77013	78.35968
0.4609595	101.2979	90.95846	66.77013	78.35968
0.4653948	101.8195	91.5155	66.88914	78.16495
0.4824107	101.8195	91.5155	66.88914	78.16495
0.4904364	102.0201	91.47572	66.61143	78.2039
0.4915423	101.7794	91.11761	66.09568	77.89233
0.5094525	101.7794	91.11761	66.09568	77.89233
