TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0510451	99.89381	91.87361	65.50058	79.52806
0.2009447	100.1746	92.27151	65.1832	79.25544
0.2009447	100.1746	92.27151	65.1832	79.25544
0.2009447	100.0543	92.35108	64.78646	79.37228
0.2009447	100.3752	92.15214	65.14352	79.52806
0.2009447	100.3752	92.15214	65.14352	79.52806
0.2009447	100.1345	92.62961	65.10385	79.68385
0.2009447	99.85369	92.43066	64.94516	79.64491
0.2009447	99.85369	92.43066	64.94516	79.64491
0.2009447	99.53275	92.07256	65.30222	79.83963
0.2009447	99.53275	92.07256	65.30222	79.83963
0.2009447	99.13156	92.03277	65.22287	80.07331
0.2009447	98.85074	91.95319	65.69895	80.57961
0.2009447	98.85074	91.95319	65.69895	80.57961
0.2009447	98.56991	91.75424	65.89732	80.96907
0.2009447	98.56991	91.83382	65.61961	80.77434
0.2009447	98.56991	91.83382	65.61961	80.77434
0.2009447	98.97109	92.03277	65.85764	80.7354
0.2009447	98.97109	92.03277	65.85764	80.7354
0.2009447	98.81062	92.15214	65.57993	80.69645
0.2181065	98.56991	92.07256	65.85764	81.12486
0.2251	98.56991	92.07256	65.85764	81.12486
0.226144	98.7705	92.31129	65.73862	81.04697
0.2447682	98.69026	92.31129	65.61961	80.85223
0.2502093	98.69026	92.31129	65.61961	80.85223
0.2912332	98.7705	92.23171	65.7783	80.93012
0.2938537	98.7705	92.23171	65.7783	80.93012
0.2949753	98.48968	92.11234	65.1832	80.93012
0.3130335	98.85074	92.43066	65.1832	80.54066
0.3251976	99.17168	92.47045	65.02451	80.30698
0.3272641	99.17168	92.47045	65.02451	80.30698
0.3465787	99.57286	92.6694	64.90549	80.26804
0.3465787	99.57286	92.6694	64.90549	80.26804
0.3624531	99.41239	92.6694	64.82614	80.30698
0.3752043	99.49262	92.62961	65.14352	80.34593
0.3763236	99.49262	92.62961	65.14352	80.34593
0.3922583	99.37227	92.39087	65.14352	80.54066
0.4002057	98.93098	92.15214	65.26254	80.50172
0.4198327	98.93098	92.15214	65.26254	80.50172
0.4252015	98.40944	91.87361	65.34189	80.69645
0.4263199	98.40944	91.87361	65.34189	80.69645
0.4422581	98.89085	92.15214	65.61961	81.00802
0.4502005	99.41239	92.51024	65.7783	81.1638
0.468725	99.41239	92.51024	65.7783	81.1638
0.4752013	99.25191	92.6694	65.93699	81.59221
0.4989299	99.25191	92.55003	65.81797	81.6701
0.4999215	99.25191	92.55003	65.81797	81.6701
0.5178571	98.44955	91.35635	65.65928	80.54066
0.5252014	98.44955	91.35635	65.65928	80.54066
0.5422559	98.16873	90.95846	65.54026	80.6575
0.5502004	98.16873	90.95846	65.54026	80.6575
0.5511912	98.3292	90.87888	65.1832	80.46277
0.5685896	98.44955	91.07782	65.30222	80.57961
0.5751989	98.44955	91.07782	65.30222	80.57961
0.5989173	98.56991	91.27677	65.26254	80.69645
0.5999086	99.13156	91.83382	65.42123	80.50172
0.6010155	99.13156	91.83382	65.42123	80.50172
0.6215081	99.61298	92.31129	65.61961	80.57961
0.625202	99.61298	92.31129	65.61961	80.57961
0.6422589	99.6531	92.23171	65.69895	80.93012
0.6502793	99.37227	92.11234	65.81797	81.28064
0.6512676	99.37227	92.11234	65.81797	81.28064
0.6714392	99.01121	92.07256	65.97666	81.08591
0.6751625	99.25191	92.07256	65.97666	81.08591
