TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0019948	55.72781	55.46212	59.07351	54.42347
0.0124668	55.88876	55.54198	59.07351	54.22785
0.0300938	55.88876	55.54198	59.07351	54.22785
0.038127	55.68757	55.54198	59.31155	54.38435
0.0575565	55.56686	55.18262	59.03384	54.50172
0.0631359	55.56686	55.18262	59.03384	54.50172
0.0754578	55.08402	55.50206	59.50992	54.50172
0.0880404	55.32544	55.18262	59.27188	54.3061
0.1093722	55.28521	55.10276	59.43057	54.1496
0.1129929	55.28521	55.10276	59.43057	54.1496
0.1139839	55.08402	55.06283	59.54959	54.57998
0.1253585	55.40592	55.0229	59.58926	54.50172
0.1380186	55.40592	55.0229	59.58926	54.50172
0.1587005	55.36568	54.90311	59.62894	54.54085
0.1631333	55.36568	54.90311	59.62894	54.54085
0.1641255	55.36568	54.98297	59.47025	54.38435
0.1763106	55.80828	55.7017	59.3909	54.26698
0.1881458	55.80828	55.7017	59.3909	54.26698
0.2085361	55.92899	55.74163	59.15286	54.1496
0.2131328	56.17041	55.86142	59.03384	54.1496
0.214126	56.17041	55.86142	59.03384	54.1496
0.23601	56.13018	55.98121	58.87514	53.79747
0.2377754	56.13018	55.98121	58.87514	53.79747
0.2571344	56.04971	55.86142	58.43874	53.28884
0.2630123	56.69349	56.26072	58.04201	53.36709
0.2640041	56.69349	56.26072	58.04201	53.36709
0.2827054	57.13609	56.3805	57.6056	52.89758
0.2879766	57.33728	56.42043	57.32789	52.89758
0.3063939	57.33728	56.42043	57.32789	52.89758
0.3141475	57.61893	57.05931	57.40723	53.05408
0.3329898	57.82012	57.05931	57.28822	52.54546
0.3378807	58.10178	57.13917	57.36756	52.50633
0.3549124	58.10178	57.13917	57.36756	52.50633
0.3629894	58.14201	57.29889	56.65344	52.66283
0.3656444	58.38343	57.29889	56.77246	52.19333
0.3826768	58.38343	57.29889	56.77246	52.19333
0.3879753	58.50414	57.53846	56.73279	52.23245
0.4117528	58.50414	57.53846	56.73279	52.23245
0.4127448	58.58461	57.65825	56.37573	52.1542
0.4140936	58.98698	57.53846	56.09801	52.03682
0.4324496	58.98698	57.53846	56.09801	52.03682
0.4324496	59.5503	57.89783	55.42357	51.37169
0.4480566	59.5503	57.89783	55.42357	51.37169
0.4648306	59.9929	58.21726	55.02684	51.48907
0.4825157	59.9929	58.21726	55.02684	51.48907
0.4880113	60.39527	58.69642	54.51109	51.13694
0.5050533	60.23432	58.61656	54.55076	50.82394
0.5130069	60.23432	58.61656	54.55076	50.82394
0.51413	60.35503	58.69642	54.43174	50.90219
0.5314984	60.63669	58.57663	54.59043	50.74569
0.5379865	60.63669	58.57663	54.59043	50.74569
0.5595054	60.47574	58.77628	54.51109	50.74569
0.5642334	60.47574	58.77628	54.51109	50.74569
0.5669219	60.51598	58.5367	54.03501	50.51093
0.5839332	60.7574	58.89606	54.11435	50.70656
0.5881103	60.7574	58.89606	54.11435	50.70656
0.6066348	60.67692	58.936	54.15403	50.62831
0.6129865	60.99882	58.81621	54.03501	50.47181
0.6300799	60.99882	58.81621	54.03501	50.47181
0.63799	61.07929	58.81621	54.11435	50.55006
0.6389822	61.32071	59.33529	53.47958	50.23705
0.6579078	61.32071	59.33529	53.47958	50.23705
0.6630363	61.60237	58.936	53.47958	50.1588
0.6865901	61.60237	58.936	53.47958	50.1588
0.6878454	61.68284	59.41515	53.5986	50.04143
0.6888603	61.6426	58.936	53.55893	50.08055
0.7115063	61.6426	58.936	53.55893	50.08055
0.7128049	61.24024	58.85614	53.91599	50.47181
0.7348976	61.28047	58.65649	53.83664	50.43268
0.7392444	61.28047	58.65649	53.83664	50.43268
0.7588126	61.72308	58.69642	53.91599	50.19793
0.7629452	61.52189	58.49677	53.91599	50.3153
0.7867393	61.36095	58.45684	53.79697	50.3153
0.7877317	61.36095	58.45684	53.79697	50.3153
0.7888329	61.52189	58.49677	54.35239	50.47181
0.8080946	61.40118	58.29712	54.47141	50.43268
0.8130232	61.40118	58.29712	54.47141	50.43268
0.8300967	61.36095	57.73811	54.51109	50.58918
0.8380175	61.36095	57.73811	54.51109	50.58918
0.8391441	60.95858	57.69818	54.90782	50.86306
0.8550879	60.91834	57.33881	54.82847	50.98044
0.8628826	60.91834	57.33881	54.82847	50.98044
0.8815373	60.55621	57.21902	55.10619	51.13694
0.8879858	60.71716	57.25895	55.2252	51.29344
0.8906537	60.71716	57.25895	55.2252	51.29344
0.9093253	59.9929	57.09924	55.46325	51.56732
0.9129037	59.9929	57.09924	55.46325	51.56732
0.9299297	60.19408	56.7798	55.58226	51.44994
0.9379908	59.75148	56.62008	55.89965	51.64557
0.9390989	59.75148	56.62008	55.89965	51.64557
0.955024	59.95266	56.46037	56.21704	51.8412
0.9629808	59.46982	56.22079	56.53442	52.1542
0.9800184	59.46982	56.22079	56.53442	52.1542
0.9880275	59.51006	56.22079	56.69312	52.1542
0.9891947	59.51006	56.22079	56.69312	52.1542
1.0109328	59.06746	55.86142	56.65344	52.38895
1.013006	59.38935	55.82149	57.05017	52.85846
1.0341189	59.38935	55.82149	57.05017	52.85846
1.0379836	58.62485	55.54198	57.24854	52.70196
1.0752914	58.18225	55.26248	57.24854	52.74108
1.0817624	58.18225	55.26248	57.24854	52.74108
1.0827527	58.0213	55.0229	57.48658	53.01496
1.1014852	57.98106	55.14269	57.80397	53.17146
1.1129905	57.98106	55.14269	57.80397	53.17146
1.1304314	57.53846	54.94304	58.24037	53.56272
1.1379531	57.53846	54.94304	58.24037	53.56272
1.1565816	57.53846	54.50382	58.43874	53.75834
1.1642392	57.33728	54.46389	59.03384	54.11047
1.1813822	57.09586	54.46389	59.03384	53.83659
1.1879872	57.09586	54.46389	59.03384	53.83659
1.2050857	57.09586	54.38403	59.15286	53.91484
1.2129433	56.89468	54.02466	59.3909	54.11047
1.2139369	56.89468	54.02466	59.3909	54.11047
1.2323028	56.77396	53.98473	59.31155	53.95397
1.2380637	56.65326	54.18438	59.11319	53.68009
1.2551086	56.65326	54.18438	59.11319	53.68009
1.2667841	57.05562	54.3441	59.19253	53.79747
1.2865385	57.13609	54.26424	59.47025	53.71922
1.2875279	56.93491	54.18438	59.54959	53.9931
1.3047446	56.93491	54.18438	59.54959	53.9931
1.3131417	57.09586	54.10452	59.43057	53.83659
1.3156641	57.09586	54.22431	59.43057	53.60184
1.3341551	57.09586	54.22431	59.43057	53.60184
1.338088	57.33728	54.42396	59.2322	53.83659
1.3551029	57.33728	54.42396	59.2322	53.83659
1.3631065	57.45799	54.58368	58.99417	53.60184
1.3642169	57.77988	54.66354	58.95449	53.40622
1.3801272	57.77988	54.66354	58.95449	53.40622
1.388108	57.53846	54.50382	58.55776	53.40622
1.4051295	57.94083	55.06283	58.39907	53.09321
1.4129478	57.94083	55.06283	58.39907	53.09321
1.4314189	58.26272	55.30241	58.16103	52.85846
1.4379858	58.10178	55.38227	58.35939	52.97583
1.4389787	58.10178	55.38227	58.35939	52.97583
1.4577387	58.18225	55.14269	58.2007	52.85846
1.4631116	58.18225	55.14269	58.2007	52.85846
1.4801307	58.3432	55.38227	57.92299	52.74108
1.4879878	58.46391	55.66177	57.84364	52.66283
1.4889793	58.46391	55.66177	57.84364	52.66283
1.5078768	58.3432	55.54198	57.64528	52.78021
1.5129423	58.58461	55.82149	57.6056	52.62371
1.5299496	58.58461	55.82149	57.6056	52.62371
1.537983	58.74556	55.94128	57.32789	52.58458
1.5389753	58.74556	55.94128	57.32789	52.58458
1.557903	58.42367	55.7017	57.32789	52.50633
1.5629832	58.58461	56.26072	57.24854	52.42808
1.5815477	58.58461	56.26072	57.24854	52.42808
1.5879894	58.66509	55.98121	57.40723	52.23245
1.5904921	58.86627	56.26072	57.12952	52.3107
1.6115111	58.86627	56.26072	57.12952	52.3107
1.6129836	58.74556	56.26072	57.12952	52.54546
1.6360197	58.94675	56.73987	57.24854	52.34983
1.6370158	58.94675	56.73987	57.24854	52.34983
1.640974	58.7858	56.54022	57.0105	52.27158
1.6589691	58.7858	56.54022	57.0105	52.27158
1.6629869	58.94675	56.73987	57.08985	52.38895
1.6859661	58.50414	56.54022	56.97083	52.27158
1.6870392	58.50414	56.54022	56.97083	52.27158
1.7203872	58.22248	56.26072	57.20887	52.34983
1.7213805	58.30296	56.14093	57.16919	52.50633
1.7223147	58.18225	55.98121	57.20887	52.54546
1.7367531	58.18225	55.98121	57.20887	52.54546
1.7584147	57.98106	56.18086	57.20887	52.78021
1.7629969	57.77988	56.3805	57.72462	53.05408
1.7639881	57.77988	56.3805	57.72462	53.05408
1.7750465	57.53846	55.78156	57.80397	53.09321
1.7892809	56.93491	55.82149	58.00233	53.44534
1.8063301	56.93491	55.82149	58.00233	53.44534
1.8130183	56.61302	55.58191	58.47841	53.71922
1.8155283	56.61302	55.26248	58.59743	53.79747
1.8340926	56.61302	55.26248	58.59743	53.79747
1.837991	56.17041	54.90311	58.91482	54.18872
1.855054	56.17041	54.90311	58.91482	54.18872
1.8630234	55.92899	54.86318	59.15286	53.75834
1.8655289	55.88876	54.98297	59.07351	54.1496
1.8825985	55.88876	54.98297	59.07351	54.1496
1.8878866	56.00947	54.78333	59.50992	54.07135
1.9049462	56.21065	55.30241	59.43057	54.42347
1.9130202	56.21065	55.30241	59.43057	54.42347
1.9141417	56.00947	54.90311	59.66861	54.34523
1.9300849	56.00947	54.90311	59.66861	54.34523
1.9380144	55.88876	54.58368	59.8273	54.1496
1.9555085	55.68757	54.66354	59.94632	54.6191
1.9630246	55.68757	54.66354	59.94632	54.6191
1.9641445	55.48639	54.22431	59.90665	54.42347
1.9817715	55.04379	54.22431	60.22404	54.7756
1.9880187	55.04379	54.22431	60.22404	54.7756
2.0117055	54.72189	54.02466	60.30338	54.73648
2.0122374	54.72189	54.02466	60.30338	54.73648
2.0153419	54.80237	53.94481	60.34306	54.69735
2.033439	55.20473	53.98473	60.73979	54.85386
2.0380132	55.20473	53.98473	60.73979	54.85386
2.0582656	54.72189	53.90487	60.97783	55.04948
2.0630187	54.80237	54.10452	60.77946	55.24511
2.0815291	54.80237	54.10452	60.77946	55.24511
2.0880151	54.88284	53.86494	60.73979	55.04948
2.0890059	54.96331	54.06459	60.77946	54.93211
2.1077011	54.96331	54.06459	60.77946	54.93211
2.1130203	54.88284	54.10452	60.62077	55.08861
2.1315983	54.88284	54.10452	60.62077	55.08861
2.1379818	54.96331	53.98473	60.38273	54.69735
2.138973	54.96331	54.30417	60.30338	54.85386
2.1563167	54.96331	54.30417	60.30338	54.85386
2.1630214	54.76213	54.14445	60.50175	55.12773
2.1805485	55.20473	54.42396	60.06535	54.81473
2.1892729	55.20473	54.42396	60.06535	54.81473
2.20634	55.24497	54.70346	60.06535	54.65823
2.2130154	55.44616	54.90311	59.86698	54.22785
2.2300869	55.6071	54.90311	59.70829	54.42347
2.2380313	55.6071	54.90311	59.70829	54.42347
2.2390233	55.72781	54.94304	59.43057	54.1496
2.2579213	56.08994	55.50206	59.11319	53.91484
2.2630242	56.08994	55.50206	59.11319	53.91484
2.2801048	56.04971	55.38227	59.03384	53.83659
2.2880235	56.04971	55.38227	59.03384	53.83659
2.2890145	56.17041	55.66177	58.7958	53.71922
2.3076877	56.49231	55.82149	58.59743	53.44534
2.3142643	56.49231	55.82149	58.59743	53.44534
2.3313339	56.61302	55.90135	58.67678	53.24971
2.3469582	56.61302	55.90135	58.67678	53.24971
2.3796411	57.09586	56.69994	57.84364	53.01496
2.3880293	57.13609	56.69994	57.72462	52.78021
2.390526	57.13609	56.69994	57.72462	52.78021
2.4092827	57.29704	56.85966	57.72462	52.66283
2.4155185	57.82012	56.97945	57.52625	52.54546
2.4340322	57.82012	56.97945	57.52625	52.54546
2.4380139	57.86036	57.41867	56.97083	52.38895
2.4405262	57.86036	57.41867	56.97083	52.38895
2.4589428	57.77988	57.1791	57.12952	52.07595
2.4630199	58.14201	57.4586	56.97083	52.07595
2.4800923	58.14201	57.4586	56.97083	52.07595
2.4880121	58.3432	57.37874	56.65344	52.03682
2.4891334	58.54438	57.65825	56.4154	52.3107
2.5063736	58.54438	57.65825	56.4154	52.3107
2.5129802	58.86627	58.13741	56.29638	51.88032
2.5300371	58.86627	58.13741	56.29638	51.88032
2.5380152	58.98698	58.21726	55.89965	51.56732
2.5565355	59.2284	58.49677	55.62194	51.13694
2.5629848	59.2284	58.49677	55.62194	51.13694
2.5861895	60.07337	58.69642	55.30455	50.66743
2.5877569	60.07337	58.69642	55.30455	50.66743
2.6047807	60.11361	58.69642	54.90782	51.05869
2.6130184	60.11361	58.49677	54.86814	50.78481
2.6140104	60.11361	58.49677	54.86814	50.78481
2.6314047	59.9929	58.77628	54.55076	50.55006
2.6380225	59.9929	58.77628	54.55076	50.55006
2.6550919	60.11361	58.61656	54.70945	50.39355
2.6630223	60.39527	58.5367	54.55076	50.51093
2.6640132	60.39527	58.5367	54.55076	50.51093
2.6857974	60.4355	58.81621	54.47141	50.55006
2.6877947	60.35503	58.69642	54.51109	50.27618
2.713196	60.35503	58.69642	54.51109	50.27618
2.713196	60.71716	59.01585	54.27304	50.23705
2.7291031	60.71716	58.97593	54.35239	50.51093
2.7380067	60.71716	59.05578	54.43174	50.27618
2.7617291	60.71716	59.05578	54.43174	50.27618
