TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0021986	65.30464	68.54431	73.53129	86.83439
0.019756	65.30464	68.54431	73.53129	86.83439
0.0214196	64.34202	68	74.34357	87.65839
0.0378192	63.57191	67.26003	74.61433	88.56087
0.0466655	63.57191	67.26003	74.61433	88.56087
0.0649885	62.03171	66.09164	75.23322	89.3064
0.0716673	62.03171	66.09164	75.23322	89.3064
0.0726624	60.22197	64.9622	75.58134	90.28736
0.0907415	59.37486	63.75487	76.47099	91.77842
0.0907415	59.06682	63.24857	77.90216	93.58338
0.1080916	58.9128	62.97594	78.94653	94.79977
0.1238958	58.9128	62.97594	78.94653	94.79977
0.1433534	58.45074	62.82016	79.6041	95.70225
0.1433534	58.06569	62.46965	79.7975	96.01616
0.1637084	58.06569	62.46965	79.7975	96.01616
0.1637084	58.25821	62.00229	79.95222	95.93768
0.1741745	58.25821	62.00229	79.95222	95.93768
0.191233	57.4496	61.61283	80.10694	95.66301
0.1965801	57.25708	61.4181	80.02958	96.0554
0.2140988	57.25708	61.4181	80.02958	96.0554
0.2140988	57.29558	61.34021	80.06826	96.0554
0.2253122	57.4111	61.34021	80.06826	95.66301
0.244573	57.4111	61.34021	80.06826	95.66301
0.2455718	57.02605	61.22337	79.91354	95.70225
0.2562436	57.02605	61.22337	79.91354	95.70225
0.2562436	56.56399	61.22337	80.41638	95.85921
0.2729897	57.10306	61.69072	80.3777	96.40854
0.2950741	57.10306	61.69072	80.3777	96.40854
0.2998696	57.33409	62.4307	80.06826	96.01616
0.3145093	58.02718	63.40435	79.44937	95.27063
0.3145093	58.02718	63.40435	79.44937	95.27063
0.3227603	58.60476	63.98854	78.63708	94.36815
0.3379709	58.60476	63.98854	78.63708	94.36815
0.346587	58.68177	64.26117	78.28896	93.81881
0.3660572	58.68177	64.57274	78.05688	93.77957
0.3660572	58.68177	64.57274	78.05688	93.77957
0.3903132	59.22084	64.9622	77.67008	93.50491
0.3903132	59.60589	66.09164	77.438	93.15176
0.4061126	60.53001	67.02634	76.62571	92.09232
0.4061126	60.53001	67.02634	76.62571	92.09232
0.4386742	60.83805	67.29897	75.4653	90.87594
0.4466699	61.56965	67.76632	75.03982	90.20889
0.4649717	62.30125	68.89423	74.92377	89.58107
0.47142	63.22537	70.37164	74.18885	88.87479
0.4893437	63.22537	70.37164	74.18885	88.87479
0.4893437	64.07248	71.53802	73.41525	87.54068
