TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0155506	61.06908	61.30126	82.46644	89.62031
0.3774167	61.03058	61.18442	82.9306	89.69879
0.3774167	61.10759	61.18442	82.77588	89.69879
0.3774167	61.10759	61.4181	82.77588	89.89498
0.3774167	61.14609	61.26231	82.69852	89.58107
0.3774167	61.14609	61.4181	82.7372	89.54183
0.3774167	61.1846	61.49599	82.50512	89.81651
0.3774167	61.1846	61.49599	82.50512	89.81651
0.3774167	61.49264	61.80756	82.19568	89.42412
0.3774167	61.49264	61.80756	82.19568	89.42412
0.3774167	61.37712	61.65178	82.157	89.07098
0.3774167	61.37712	61.65178	82.157	89.07098
0.3774167	61.14609	62.00229	81.88624	88.91402
0.3774167	61.26161	61.9244	81.96359	89.07098
0.3774167	61.26161	61.9244	81.96359	89.07098
0.3774167	61.1846	61.9244	82.27304	89.34564
0.3774167	61.2231	61.76862	82.19568	89.65955
0.3774167	61.2231	61.76862	82.19568	89.65955
0.3774167	61.06908	61.9244	82.50512	89.85574
0.3774167	60.95357	61.80756	82.23436	89.77727
0.3774167	60.95357	61.80756	82.23436	89.77727
0.3774167	60.87656	61.9244	81.92491	89.69879
0.3774167	60.87656	61.9244	81.92491	89.69879
0.3774167	60.60702	61.4181	82.157	89.97346
0.3774167	60.76104	61.57388	82.23436	90.13041
0.3774167	60.76104	61.57388	82.23436	90.13041
0.3774167	60.53001	61.26231	82.77588	90.28736
0.3774167	60.68403	61.14547	82.50512	90.40508
0.3774167	60.68403	61.14547	82.50512	90.40508
0.3774167	60.4915	61.49599	82.27304	89.81651
0.3774167	60.4915	61.49599	82.27304	89.81651
0.3774167	60.60702	61.26231	82.46644	90.09117
0.3774167	60.60702	61.26231	82.46644	90.09117
0.3774167	60.53001	61.06758	83.04665	90.79746
0.3774167	60.53001	61.06758	83.04665	90.79746
0.4031483	60.53001	61.22337	83.00797	90.44431
0.4096244	60.79955	61.49599	82.3504	89.85574
0.4106165	60.79955	61.49599	82.3504	89.85574
0.435387	61.1846	61.80756	82.27304	89.58107
0.4370189	61.1846	61.80756	82.27304	89.58107
0.4417634	60.79955	61.4181	82.31171	89.18869
0.4491443	60.91506	61.4181	82.58248	89.34564
0.4627662	60.91506	61.4181	82.58248	89.34564
0.4838284	61.10759	61.45705	82.81456	89.77727
0.4848243	61.26161	61.26231	82.89192	90.05193
0.5085948	61.26161	61.26231	82.89192	90.05193
0.5103419	61.1846	61.53494	82.46644	89.62031
0.5123367	61.1846	61.53494	82.46644	89.62031
0.5292341	61.26161	61.18442	82.23436	89.46336
0.5292341	60.99207	61.10653	82.62116	89.50259
