TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0039841	47.39882	66.36289	45.46558	59.27503
0.0059787	47.39882	66.36289	45.46558	59.27503
0.0299074	47.51953	66.20317	45.30688	59.35328
0.0309989	47.88166	66.44275	45.38623	58.64902
0.0442075	48.3645	66.48268	44.75146	58.53165
0.0442075	48.3645	66.48268	44.75146	58.53165
0.0756095	48.60592	66.56254	44.79113	57.98389
0.0756095	49.04852	66.88197	44.75146	57.90564
0.0756095	49.04852	66.88197	44.75146	57.90564
0.0912371	49.00829	67.04169	44.35472	57.47526
0.0912371	49.45089	67.04169	44.19603	57.20138
0.1224587	49.45089	67.04169	44.19603	57.20138
0.1224587	50.21539	67.68056	44.11669	57.00575
0.1224587	50.21539	67.68056	44.11669	57.00575
0.1537099	50.37633	67.72049	43.7993	56.81013
0.1537099	50.97988	68.03979	43.99767	56.6145
0.1537099	50.97988	68.03979	43.99767	56.6145
0.1693309	51.02012	67.80035	44.19603	56.49712
0.1693309	50.73846	67.28127	43.71995	56.10587
0.2005764	50.73846	67.28127	43.71995	56.10587
0.2005764	50.81894	66.76218	44.03734	56.26237
0.2161926	50.81894	66.76218	44.03734	56.26237
0.2161926	50.7787	66.80212	43.87865	56.18412
0.2316702	51.06036	66.68233	44.27538	55.98849
0.2474209	51.06036	66.68233	44.27538	55.98849
0.2474209	51.10059	66.48268	44.27538	56.10587
0.263038	51.50296	66.32296	44.31505	55.44073
0.2786817	51.50296	66.32296	44.31505	55.44073
0.2786817	51.66391	66.48268	44.63244	55.63636
0.2943632	51.66391	66.48268	44.63244	55.63636
0.2943632	51.9858	66.56254	44.43407	55.71461
0.325538	51.82485	66.08338	44.59277	55.32336
0.325538	51.82485	66.08338	44.59277	55.32336
0.325538	51.90533	65.80388	44.79113	55.51899
0.3411656	51.94556	65.68409	44.55309	55.51899
0.3411656	51.94556	65.68409	44.55309	55.51899
0.3724021	51.94556	65.40458	44.87048	55.47986
0.3724021	51.94556	65.40458	44.87048	55.47986
0.3724021	52.02604	65.32472	45.10852	55.59724
0.4036505	52.10651	65.28479	45.10852	55.47986
0.4036505	52.10651	65.28479	45.10852	55.47986
0.4192643	52.10651	64.96535	45.22754	55.47986
0.4192643	51.86509	64.8855	45.54493	55.44073
0.4505252	51.86509	64.8855	45.54493	55.44073
0.4505252	51.94556	65.04521	45.38623	55.71461
0.4661495	51.86509	65.165	45.26721	55.79287
0.4661495	52.14674	64.76571	45.50525	55.71461
0.4974052	52.14674	64.76571	45.50525	55.71461
0.4974052	52.26746	65.00529	45.26721	55.55811
0.4974052	52.10651	64.96535	45.46558	55.59724
0.528634	52.10651	64.96535	45.46558	55.59724
0.528634	52.34793	64.84557	45.50525	55.55811
0.5442546	52.26746	64.8855	45.54493	55.55811
0.5442546	52.26746	64.8855	45.54493	55.55811
0.5442546	52.54911	64.52613	45.38623	55.55811
0.5911229	52.54911	64.52613	45.38623	55.55811
0.5911229	52.87101	64.52613	44.94983	55.44073
0.6223423	53.03195	64.52613	45.50525	55.40161
0.6223423	52.99171	64.52613	45.4259	55.51899
0.6536077	52.7503	64.28655	45.66394	55.40161
0.6536077	52.7503	64.28655	45.66394	55.40161
0.6536077	52.62959	63.96712	45.66394	55.36248
0.6798912	52.50888	63.52789	46.06068	55.71461
0.681132	52.50888	63.52789	46.06068	55.71461
0.7047662	52.46864	63.4081	46.14002	55.94937
0.7060312	52.14674	63.28831	46.41774	56.49712
0.7084991	52.14674	63.28831	46.41774	56.49712
0.7263948	51.74438	62.92895	46.33839	56.96663
0.7263948	51.74438	62.92895	46.33839	56.96663
0.7420144	51.46272	62.88902	46.49708	57.084
0.7420144	51.30178	62.92895	46.65578	57.35788
0.7576064	51.30178	62.92895	46.65578	57.35788
0.773251	50.97988	62.76923	46.41774	57.12313
0.773251	51.2213	62.76923	46.49708	57.63176
0.8044866	51.2213	62.76923	46.49708	57.63176
0.8044866	50.7787	62.76923	46.49708	57.67089
0.8044866	50.7787	62.76923	46.49708	57.67089
0.8201149	51.02012	62.84909	46.6161	57.43613
0.8201149	50.89941	63.04874	46.41774	57.67089
0.8513563	50.89941	63.04874	46.41774	57.67089
0.8513563	51.02012	62.84909	46.57643	57.51439
0.8513563	51.02012	62.84909	46.45741	57.35788
0.8669828	51.02012	62.84909	46.45741	57.35788
0.8669828	51.02012	63.00881	46.53675	57.47526
0.8982225	51.46272	63.00881	46.29872	57.47526
0.8982225	51.46272	63.00881	46.29872	57.51439
0.9294576	51.34201	63.32824	46.33839	57.16225
0.9294576	51.34201	63.32824	46.33839	57.16225
0.9450865	51.70414	63.44803	46.33839	57.20138
0.9450865	51.70414	63.44803	46.33839	57.20138
0.976327	51.66391	63.52789	46.29872	57.27963
0.976327	51.66391	63.68761	46.25904	57.12313
0.976327	51.66391	63.68761	46.25904	57.12313
0.9952815	51.74438	63.68761	45.90199	56.81013
0.9952815	51.74438	63.68761	45.90199	56.81013
1.0298961	51.78461	63.76747	46.021	56.65363
1.0311341	51.62367	63.52789	45.90199	56.69275
1.032388	51.62367	63.52789	45.90199	56.69275
1.054769	51.58343	63.88726	45.62427	56.53625
1.0559904	52.02604	64.08691	45.74329	56.458
1.0763823	52.02604	64.08691	45.74329	56.458
1.0763823	52.14674	64.32648	45.62427	56.22324
1.0763823	52.14674	64.32648	45.62427	56.22324
1.0920125	52.22722	64.2067	45.78296	56.53625
1.0920125	52.18698	64.32648	45.5846	56.41887
1.1232532	52.18698	64.32648	45.5846	56.41887
1.1232532	52.14674	64.40634	45.5846	56.06674
1.1232532	52.38816	64.44627	45.10852	55.83199
1.1544884	52.38816	64.44627	45.10852	55.83199
1.1544884	52.30769	64.28655	45.4259	56.02762
1.1701164	52.30769	64.28655	45.4259	56.02762
1.1701164	52.58935	64.44627	44.79113	55.87112
1.2013613	52.4284	64.32648	44.9895	55.94937
1.2013613	52.7503	64.56606	45.06884	55.91024
1.2326019	53.1929	64.8855	44.83081	55.63636
1.2326019	53.1929	64.8855	44.83081	55.63636
1.2326019	53.07219	64.76571	44.79113	55.83199
1.2482068	53.03195	64.4862	44.59277	55.59724
1.2794589	52.99171	64.52613	44.71178	55.67549
1.2794589	52.99171	64.52613	44.71178	55.67549
1.2794589	53.03195	64.4862	44.47375	55.59724
1.2950905	53.15266	64.12684	44.59277	55.40161
1.2950905	53.15266	64.12684	44.59277	55.40161
1.3263622	53.07219	64.28655	44.67211	55.67549
1.3263622	53.07219	64.28655	44.67211	55.67549
1.3263622	53.11243	64.52613	44.67211	55.51899
1.3419662	53.11243	64.44627	44.94983	55.44073
1.3419662	53.11243	64.44627	44.94983	55.44073
1.3732489	53.23314	64.24662	45.26721	55.83199
1.3732489	52.95148	64.00705	45.22754	56.10587
1.4044306	52.95148	64.00705	45.22754	56.10587
1.4044306	52.91124	63.84733	45.22754	56.10587
1.4201194	52.4284	63.76747	45.22754	56.22324
1.4201194	52.50888	63.56782	45.4259	56.34062
1.4513065	52.50888	63.56782	45.4259	56.34062
1.4513065	52.46864	63.76747	45.26721	56.458
1.4513065	52.50888	63.68761	45.4259	56.37975
1.4669248	52.50888	63.68761	45.4259	56.37975
1.4669248	52.62959	63.60775	45.38623	56.57537
1.4981657	52.79053	63.56782	45.26721	56.14499
1.4981657	52.79053	63.56782	45.26721	56.14499
1.4981657	52.95148	63.84733	45.50525	56.49712
1.5293996	52.95148	63.84733	45.50525	56.49712
1.5293996	52.66982	63.64768	45.70362	56.458
1.5450283	52.79053	63.56782	45.38623	56.30149
1.5450283	52.79053	63.56782	45.38623	56.30149
1.5450283	52.66982	63.44803	45.46558	56.41887
1.5763045	52.66982	63.72754	45.38623	56.02762
1.5763045	52.66982	63.72754	45.38623	56.02762
1.5919081	53.11243	63.84733	45.54493	55.91024
1.5919081	53.11243	63.84733	45.54493	55.91024
1.6074765	52.99171	63.72754	45.30688	55.94937
1.6231281	53.27337	63.20845	45.4259	55.83199
1.6231281	53.27337	63.20845	45.4259	55.83199
1.6543907	53.27337	63.4081	45.34656	56.06674
1.6543907	53.35385	63.28831	45.46558	55.67549
1.6543907	53.35385	63.28831	45.46558	55.67549
1.6700118	53.43432	62.84909	45.54493	56.02762
1.6700118	53.43432	62.84909	45.54493	56.02762
1.7047436	53.31361	63.1286	45.5846	55.98849
1.7058775	53.43432	63.04874	45.82264	55.91024
1.7109834	53.43432	63.04874	45.82264	55.91024
1.7274146	53.23314	62.80916	45.78296	56.18412
1.7274146	53.43432	62.52966	46.14002	56.06674
1.7431777	53.43432	62.52966	46.14002	56.06674
1.7431777	53.67574	62.84909	46.14002	56.37975
1.7588017	53.67574	62.84909	46.14002	56.37975
1.7744422	53.47456	62.64944	45.94166	56.18412
1.7744422	53.59526	62.25014	46.14002	56.30149
1.7900675	53.59526	62.25014	46.14002	56.30149
1.8055237	53.35385	62.29008	45.70362	56.30149
1.8055237	53.39408	61.81092	46.25904	56.18412
1.8213168	53.39408	61.81092	46.25904	56.18412
1.8213168	53.27337	62.17029	46.25904	56.30149
1.8525501	53.27337	62.17029	46.25904	56.30149
1.8525501	52.99171	61.77099	46.21937	56.22324
1.8681902	52.99171	62.0505	46.25904	56.6145
1.8681902	52.91124	61.93071	46.49708	56.65363
1.8993975	53.27337	61.89078	46.41774	56.69275
1.8993975	53.27337	61.89078	46.41774	56.69275
1.9150215	53.11243	61.77099	46.45741	56.69275
1.930495	53.11243	61.77099	46.45741	56.69275
1.9462642	52.91124	61.6512	46.6161	56.771
1.9462642	52.91124	61.6512	46.6161	56.771
1.9775037	52.66982	61.53141	46.37806	56.84925
1.9775037	52.87101	61.49149	46.53675	57.00575
1.9775037	52.87101	61.49149	46.53675	57.00575
2.0048966	52.83077	61.45156	46.41774	56.81013
2.0061159	52.83077	61.45156	46.41774	56.81013
2.0297253	52.95148	61.53141	46.45741	57.00575
2.0309649	53.15266	61.6512	46.53675	57.12313
2.0321099	53.15266	61.6512	46.53675	57.12313
2.0446547	52.83077	61.6512	46.85414	56.84925
2.0446547	52.87101	61.49149	46.73512	57.084
2.0760455	52.87101	61.49149	46.73512	57.084
2.0760455	52.79053	61.3717	46.81447	57.00575
2.0760455	52.79053	61.3717	46.81447	57.00575
2.091667	52.87101	61.41162	46.85414	57.16225
2.091667	52.62959	61.09219	46.97316	57.04488
2.1229121	52.62959	61.09219	46.97316	57.04488
2.1229121	52.58935	61.13212	47.05251	57.43613
2.1229121	52.46864	61.17205	47.05251	57.47526
2.1542092	52.46864	61.17205	47.05251	57.47526
2.1542092	52.62959	61.13212	47.01284	57.39701
2.1697737	52.62959	61.13212	47.01284	57.39701
2.1697737	52.83077	61.33177	46.93349	57.31876
2.1697737	52.58935	61.21198	47.01284	57.51439
2.2010462	52.58935	61.21198	47.01284	57.51439
2.2010462	52.34793	60.89254	47.2112	57.67089
2.216651	52.34793	61.05226	47.01284	57.51439
2.216651	52.34793	61.05226	47.01284	57.51439
2.2322386	52.14674	61.01233	47.01284	57.82739
2.2478923	52.14674	61.01233	47.01284	57.82739
2.2478923	51.9858	60.81268	46.89381	58.10126
2.2791388	51.94556	60.65297	47.13186	58.06214
2.2791388	51.94556	60.65297	47.13186	58.06214
2.2791388	51.90533	60.41339	47.13186	58.17952
2.2947557	51.74438	60.65297	46.89381	58.33602
2.2947557	51.74438	60.65297	46.89381	58.33602
2.3259996	51.78461	60.65297	47.44924	58.33602
2.3259996	51.78461	60.65297	47.44924	58.33602
2.3259996	51.82485	60.69289	47.01284	58.17952
2.3416242	51.82485	60.73283	47.2112	58.49252
2.3416242	51.82485	60.73283	47.2112	58.49252
2.3728635	51.90533	60.81268	47.17153	58.4534
2.3728635	51.70414	60.5731	47.56826	58.37514
2.3728635	51.70414	60.5731	47.56826	58.37514
2.4041086	51.70414	60.49325	47.29055	58.68815
2.4041086	51.70414	60.49325	47.29055	58.68815
2.4197289	51.74438	60.45332	47.3699	58.53165
2.4197289	51.78461	60.65297	47.3699	58.49252
2.4197289	51.78461	60.65297	47.3699	58.49252
2.4509577	51.94556	60.49325	47.60793	58.41427
2.4509577	51.54319	60.41339	47.40957	58.68815
2.466578	51.54319	60.41339	47.40957	58.68815
2.466578	51.74438	60.33353	47.33022	58.7664
2.4821642	51.74438	60.33353	47.33022	58.7664
2.5134616	51.46272	60.5731	47.25087	58.41427
2.5134616	51.54319	60.37346	47.40957	58.64902
2.5134616	51.74438	60.53318	47.60793	58.49252
2.5446912	51.82485	60.65297	47.29055	58.57077
2.5446912	51.82485	60.65297	47.29055	58.57077
2.5759325	51.82485	60.77275	47.44924	58.6099
2.5759325	52.02604	60.5731	47.2112	58.49252
2.5915533	51.34201	60.49325	47.13186	58.4534
2.5915533	51.34201	60.49325	47.13186	58.4534
2.6227984	51.2213	60.09395	47.25087	58.4534
2.6227984	51.2213	60.09395	47.25087	58.4534
2.6540427	51.2213	60.01409	47.44924	58.68815
2.6540427	51.2213	60.01409	47.44924	58.68815
2.6540427	51.14083	60.09395	47.68728	58.68815
2.6797307	51.34201	60.21374	47.8063	58.96202
2.680976	51.34201	60.21374	47.8063	58.96202
2.7047447	51.38225	60.05402	47.8063	58.96202
2.7059794	51.26154	60.05402	47.84597	59.00115
2.7072282	51.26154	60.05402	47.84597	59.00115
2.7266805	50.93964	60.05402	47.76663	58.88377
