TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0029923	73.17522	56.34058	61.77129	49.41542
0.006986	72.89439	56.22079	62.00933	49.53279
0.0329836	73.5764	56.3805	61.85064	49.57192
0.0341803	73.5764	56.3805	61.85064	49.57192
0.0380806	73.37581	56.34058	62.04901	49.45454
0.0538562	73.45605	56.26072	61.53326	49.25892
0.0538562	73.45605	56.26072	61.53326	49.25892
0.0694784	73.69675	56.50029	61.73162	49.06329
0.0694784	73.69675	56.50029	61.73162	49.06329
0.0849517	74.0177	56.42043	61.49358	49.06329
0.100711	74.25841	56.62008	61.1762	48.90679
0.100711	74.25841	56.62008	61.1762	48.90679
0.1319705	74.17817	56.66001	61.09685	48.82854
0.1319705	74.53923	56.7798	60.62077	48.39816
0.1319705	74.53923	56.7798	60.62077	48.39816
0.1475725	74.69971	56.69994	60.5811	48.04603
0.1475725	74.69971	56.69994	60.5811	48.04603
0.1788378	74.86018	56.62008	60.73979	47.8504
0.1788378	75.22124	56.54022	60.22404	47.5374
0.1944276	75.22124	56.54022	60.22404	47.5374
0.1944276	75.46194	56.89959	60.18436	47.49828
0.2256845	75.62242	57.33881	60.10502	47.34177
0.2256845	76.42478	57.57839	60.10502	47.30265
0.2569188	76.42478	57.57839	60.10502	47.30265
0.2569188	76.26431	57.89783	59.86698	47.02877
0.2725618	76.54514	57.69818	59.86698	47.18527
0.3079409	76.14395	57.69818	59.3909	46.95052
0.3091843	76.14395	57.69818	59.3909	46.95052
0.310482	76.4649	58.01762	59.3909	46.79402
0.3329814	76.4649	58.01762	59.3909	46.79402
0.3341188	77.02655	58.17733	59.11319	46.24626
0.3545389	77.1469	58.33705	59.2322	46.28539
0.3545389	77.1469	58.33705	59.2322	46.28539
0.3545389	77.26726	58.73635	58.59743	46.05063
0.3701791	77.74867	58.89606	58.75613	45.89413
0.3701791	77.74867	58.89606	58.75613	45.89413
0.4014294	77.78879	59.05578	58.59743	45.62025
0.4014294	77.78879	59.17557	58.2007	45.46375
0.4014294	77.78879	59.17557	58.2007	45.46375
0.4326714	77.86903	59.33529	57.76429	45.26812
