TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.008467	79.83481	54.78333	57.20887	32.82624
0.0175191	80.07552	54.74339	57.36756	32.86536
0.0404704	80.07552	54.74339	57.36756	32.86536
0.0429666	80.4767	55.30241	57.16919	32.70886
0.0573985	80.87788	55.58191	56.93116	32.86536
0.0573985	80.87788	55.58191	56.93116	32.86536
0.0682351	80.67728	55.4222	57.0105	32.86536
0.0900696	80.71741	55.78156	56.93116	32.63061
0.0920188	80.71741	55.78156	56.93116	32.63061
0.1074252	80.71741	55.66177	56.77246	32.86536
0.1074252	80.71741	55.66177	56.77246	32.86536
0.1182301	80.4767	55.66177	56.49475	32.74799
0.1405272	80.27611	55.66177	56.4154	32.66973
0.1417325	80.27611	55.66177	56.4154	32.66973
0.1584109	80.11563	55.22255	56.09801	32.59148
0.1584109	79.99528	55.10276	56.37573	32.47411
0.1682173	79.99528	55.10276	56.37573	32.47411
0.190445	80.15575	55.4222	56.33606	32.63061
0.2067059	79.75457	55.82149	56.69312	32.94361
0.2081181	79.91505	55.94128	56.77246	32.74799
0.2416894	79.91505	55.94128	56.77246	32.74799
0.2427657	80.23598	56.3805	56.81213	33.02187
0.2606901	80.11563	56.02114	57.05017	32.90449
0.2606901	80.35634	55.7017	56.81213	32.82624
0.2682055	79.83481	55.54198	56.89148	32.66973
0.284123	79.83481	55.54198	56.89148	32.66973
0.284123	79.99528	55.38227	56.69312	32.74799
0.3105261	79.99528	55.38227	56.69312	32.74799
0.3105261	79.83481	55.50206	56.49475	32.74799
0.3341284	79.91505	55.66177	57.05017	32.78711
0.3341284	79.91505	55.66177	57.05017	32.78711
0.3656272	79.83481	55.58191	57.08985	32.74799
0.3668179	79.83481	55.58191	57.08985	32.74799
0.3850224	79.87492	55.74163	57.12952	33.02187
0.3850224	79.87492	55.74163	57.12952	33.02187
0.3931827	79.87492	55.62185	57.08985	32.94361
0.4123059	79.91505	55.7017	56.97083	32.74799
0.4123059	79.91505	55.7017	56.97083	32.74799
0.4341319	79.63422	55.58191	56.73279	32.90449
0.4341319	79.5941	55.30241	56.89148	32.74799
0.4431886	79.5941	55.30241	56.89148	32.74799
0.4608391	79.35339	55.7017	56.85181	33.33487
0.4608391	79.35339	55.7017	56.85181	33.33487
0.4841292	79.71445	55.98121	56.81213	32.98274
0.4841292	79.63422	56.14093	57.24854	33.17837
0.4932687	79.63422	56.14093	57.24854	33.17837
0.5133235	79.51386	55.74163	57.28822	32.98274
0.5133235	79.75457	55.38227	57.48658	32.94361
0.5354509	79.75457	55.38227	57.48658	32.94361
0.5354509	79.67434	55.18262	57.24854	32.82624
0.5432171	79.67434	55.18262	57.24854	32.82624
0.5620964	79.47375	55.14269	57.12952	32.47411
0.5620964	79.43363	54.94304	57.24854	32.78711
0.5841133	79.43363	54.94304	57.24854	32.78711
0.5841133	79.51386	54.94304	57.56593	32.51323
0.5931829	79.51386	55.10276	57.6056	32.82624
0.6121371	79.51386	55.10276	57.6056	32.82624
0.6121371	79.43363	55.38227	57.88331	32.98274
0.6341138	79.43363	55.38227	57.88331	32.98274
0.6341138	79.79469	55.4222	57.96266	33.02187
0.6431795	79.35339	55.50206	58.16103	33.10012
0.6625741	79.35339	55.50206	58.16103	33.10012
0.6625741	79.39351	55.34234	58.28005	33.10012
0.6866682	79.43363	55.26248	58.08168	32.98274
0.6866682	79.43363	55.26248	58.08168	32.98274
0.6932719	79.11269	55.0229	58.12135	32.78711
0.7121718	79.11269	55.0229	58.12135	32.78711
0.7121718	79.5941	54.98297	57.80397	32.78711
0.7341025	79.5941	54.90311	57.6056	32.63061
0.7341025	79.5941	54.90311	57.6056	32.63061
0.7431788	79.67434	55.22255	57.20887	32.78711
0.7606444	80.39646	55.22255	57.05017	32.59148
0.7606444	80.39646	55.22255	57.05017	32.59148
0.7896048	80.59705	55.0229	57.48658	32.70886
0.7916305	80.59705	55.0229	57.48658	32.70886
0.7950315	80.91799	55.46212	57.05017	32.39586
0.8087617	80.75752	55.62185	56.97083	32.86536
0.816955	80.75752	55.62185	56.97083	32.86536
0.845113	80.75752	55.14269	56.65344	32.35673
0.8467611	80.87788	55.22255	56.25671	32.55236
0.8615677	80.87788	55.06283	55.979	32.20023
0.8615677	80.87788	55.06283	55.979	32.20023
0.8892767	81.1587	55.38227	55.979	32.23936
0.8908643	81.31918	55.50206	55.89965	32.27848
0.9143118	81.31918	55.50206	55.89965	32.27848
0.9167697	81.72035	56.02114	55.54259	32.39586
0.9393207	82.00118	55.7017	55.89965	32.31761
0.9417667	82.28201	56.02114	55.8203	32.63061
0.9597037	82.28201	56.02114	55.8203	32.63061
0.9720393	82.40236	55.50206	55.66161	32.12198
0.990479	82.56283	55.30241	55.58226	32.04373
0.9911818	82.28201	54.98297	55.70128	32.23936
1.0152614	82.32212	54.94304	55.74096	31.92635
1.0167318	82.32212	54.94304	55.74096	31.92635
1.0179858	82.64307	54.94304	55.62194	32.0046
1.0394168	82.64307	54.94304	55.62194	32.0046
1.0417625	82.9239	55.06283	55.46325	31.8481
1.05976	82.68319	55.34234	55.54259	31.92635
1.05976	82.68319	55.34234	55.54259	31.92635
1.0890612	82.52271	54.54375	56.05834	31.73072
1.0917184	82.52271	54.54375	56.05834	31.73072
1.1101603	82.36224	54.46389	56.05834	31.61335
1.1101603	82.16165	54.46389	56.33606	32.0046
1.1180535	82.16165	54.46389	56.33606	32.0046
1.1364553	82.44247	54.6236	56.49475	31.73072
1.1364553	82.44247	54.6236	56.49475	31.73072
1.1589971	82.20177	54.38403	56.4154	31.88723
1.1589971	82.16165	54.90311	56.37573	31.88723
1.1764303	82.20177	54.86318	56.65344	32.12198
1.1764303	81.88083	54.86318	56.65344	32.12198
1.2086926	81.88083	54.78333	56.5741	32.12198
1.2086926	82.08141	54.46389	56.49475	32.0046
1.2197931	82.08141	54.46389	56.49475	32.0046
1.2405026	81.68024	54.06459	56.49475	31.73072
1.24176	81.39941	54.14445	56.61377	31.65247
1.2645155	81.39941	54.14445	56.61377	31.65247
1.2666917	81.31918	54.22431	56.73279	31.80898
1.2681952	81.31918	54.22431	56.73279	31.80898
1.2865382	81.39941	54.54375	57.0105	32.27848
1.2865382	81.76048	55.10276	57.08985	32.31761
1.3090791	81.76048	55.10276	57.08985	32.31761
